,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,13,2017-04-16,CIN,MIL,GS-3,L(0-1),99,3.0,3,3,2,4,2,2,1,6.0,18,82,39,9,1,3,8,1,2,0,41.0,,,1,0,0,12,1,0,0,0,0,1,1.23,-0.161,1.61,-0.13%,-1.43,1t start tie,3t 3 out d3,,CIN,2.333333333333333,L,2,4,,
1,2,85,2017-07-06,CIN,COL,GS-5,W(1-1),80,5.0,6,2,2,1,6,0,0,4.5,20,84,56,19,11,9,4,3,0,0,52.0,,,0,1,1,19,1,0,0,1,0,0,1.23,0.106,0.3,0.02%,1.02,1b start a 1,5b 3 out a1,,COL,1.4,W,6,3,,
2,3,93,2017-07-18,CIN,ARI,GS-5,L(1-2),11,4.0,6,6,6,5,3,0,0,7.5,22,93,50,21,6,8,6,3,0,0,24.0,,,0,0,0,16,4,1,1,1,1,0,1.19,-0.39899999999999997,0.12,-0.03%,-3.83,1t start tie,5t --3 0 out d3,,CIN,2.75,L,2,11,,
3,4,98,2017-07-23,CIN,MIA,GS-6,W(2-2),4,6.0,3,1,1,1,7,1,0,5.5,22,98,66,19,12,7,7,3,2,0,68.0,,,1,0,0,21,0,0,0,0,0,0,1.02,0.217,0.04,0.01%,2.13,1t start tie,6t 3 out a3,,CIN,0.6666666666666666,W,6,3,,
4,5,103,2017-07-28,CIN,MIA,GS-4,,4,3.2,2,2,0,6,5,0,0,4.57,20,78,41,17,10,5,4,1,0,0,52.0,,,0,0,0,12,1,0,0,0,1,1,1.64,-0.12,0.02,0.00%,-0.88,1b start a 3,4b 123 2 out a1,,MIA,2.5,L,4,7,,
5,6,108,2017-08-03,CIN,PIT,GS-6,L(2-3),5,6.0,8,4,4,0,3,0,0,4.88,26,102,70,21,5,12,11,4,2,0,43.0,,,0,0,0,26,1,0,0,0,0,0,0.5,-0.193,0.01,0.00%,-0.99,1b start tie,6b 3 out d4,,PIT,1.3333333333333333,L,0,6,,
6,7,113,2017-08-08,CIN,SDP,GS-6,L(2-4),4,6.0,9,5,5,2,2,1,1,5.35,29,91,53,11,6,13,11,7,0,0,34.0,,,0,0,0,22,3,0,0,0,2,0,0.75,-0.2,0.01,0.00%,-1.87,1t start tie,6t 3 out d5,,CIN,1.8333333333333333,L,3,7,,
7,8,118,2017-08-13,CIN,MIL,GS-5,L(2-5),4,5.0,8,7,6,1,6,1,1,6.05,24,90,56,19,9,9,7,3,1,0,30.0,,,0,1,0,21,4,1,0,0,0,0,0.72,-0.379,0.01,0.00%,-4.39,1b start tie,5b 3 out d5,,MIL,1.8,L,4,7,,
8,9,123,2017-08-18,CIN,ATL,GS-7,W(3-5),4,7.0,5,1,1,2,3,1,0,5.32,27,102,56,17,4,13,9,3,1,0,64.0,,,0,0,0,25,1,0,0,1,0,0,0.73,0.22399999999999998,0.0,0.00%,2.62,1b start tie,7b 3 out a4,,ATL,1.0,W,5,3,,
9,10,128,2017-08-24,CIN,CHC,GS-7,,5,7.0,6,2,2,3,7,1,0,4.96,29,100,63,19,12,10,9,3,1,0,61.0,,,0,0,0,26,2,0,1,1,0,0,1.07,0.11800000000000001,0.0,0.00%,1.66,1t start tie,7t 3 out d1,,CIN,1.2857142857142858,W,4,2,,
10,11,132,2017-08-29,CIN,NYM,GS-6,W(4-5),4,6.0,6,3,3,2,5,0,0,4.91,26,96,59,17,6,10,9,5,1,0,51.0,,,0,0,0,24,2,0,0,0,0,0,0.76,0.07,0.0,0.00%,0.13,1t start tie,6t 3 out a4,,CIN,1.3333333333333333,W,14,4,,
11,12,137,2017-09-03,CIN,PIT,GS-6,L(4-6),4,5.2,4,2,1,4,2,1,0,4.62,25,95,63,16,8,12,7,2,2,0,53.0,,,0,0,0,20,1,0,0,0,0,0,0.95,0.006999999999999999,0.0,0.00%,0.24,1b start tie,6b 123 2 out d2,,PIT,1.5384615384615383,L,1,3,,
12,13,144,2017-09-10,CIN,NYM,GS-5,,6,5.0,8,2,2,0,6,0,0,4.54,22,97,66,20,15,8,8,5,1,0,49.0,,,0,1,0,22,1,0,0,0,0,0,1.09,0.06,0.0,0.00%,0.43,1b start a 2,5b 3 out tie,,NYM,1.6,W,10,5,,
13,14,149,2017-09-16,CIN,PIT,GS-8,W(5-6),5,8.0,5,0,0,0,6,0,0,4.07,28,97,74,15,11,13,9,6,1,0,78.0,,,0,1,0,28,1,0,0,0,0,0,1.03,0.528,0.0,0.00%,4.18,1t start tie,8t 3 out a2,,CIN,0.625,W,2,1,,
14,15,154,2017-09-22,CIN,BOS,GS-4,L(5-7),5,4.0,5,5,5,4,3,1,0,4.43,20,80,49,16,4,5,8,4,1,0,31.0,,,0,0,0,15,2,0,0,0,1,0,1.16,-0.344,0.0,0.00%,-2.91,1t start tie,4t 3 out d1,,CIN,2.25,L,4,5,,
15,16,159,2017-09-28,CIN,MIL,GS-6,L(5-8),5,5.2,7,4,3,2,7,0,1,4.45,26,113,69,18,10,8,8,7,0,0,46.0,,,0,0,0,22,2,0,0,1,1,0,1.14,-0.276,0.0,0.00%,-1.24,1b start tie,6b --3 2 out d1,,MIL,1.7307692307692306,L,3,4,,
16,17,3,2018-04-01,CIN,WSN,GS-6,L(0-1),99,6.0,4,3,3,4,2,2,0,4.5,25,95,53,18,4,14,5,1,0,0,50.0,,,1,0,0,21,0,0,1,1,0,0,0.68,-0.06,0.57,-0.03%,-0.04,1t start tie,6t 3 out d3,,CIN,1.3333333333333333,L,5,6,6.7,15.0
17,18,7,2018-04-07,CIN,PIT,GS-5,,5,5.0,7,4,4,1,1,0,0,5.73,24,77,56,14,4,9,13,6,3,0,37.0,,,0,0,0,21,1,0,0,0,1,1,0.68,-0.20600000000000002,0.58,-0.11%,-1.68,1b start tie,5b 3 out d2,,PIT,1.6,W,7,4,0.45,6.0
18,19,12,2018-04-12,CIN,STL,GS-5,,4,4.1,6,4,4,4,4,1,0,6.46,23,95,54,18,8,7,8,2,1,0,35.0,,,0,0,0,19,0,0,0,0,0,0,1.35,-0.379,0.87,-0.15%,-3.1,1t start tie,5t 123 1 out tie,,CIN,2.4390243902439033,L,4,13,3.75,13.0
19,20,17,2018-04-17,CIN,MIL,GS-6,L(0-2),4,5.0,4,2,2,2,4,1,0,5.75,21,79,45,15,4,8,7,2,1,0,53.0,,,0,0,0,19,0,0,0,0,0,0,0.95,-0.016,0.43,0.00%,0.08,1b start tie,6b 1-- 0 out d2,,MIL,1.2,L,0,2,11.65,21.0
20,21,22,2018-04-23,CIN,ATL,GS-6,W(1-2),5,6.0,4,2,1,1,5,1,0,4.78,23,98,63,18,5,8,9,3,0,0,62.0,,,0,0,0,22,1,0,0,0,0,0,0.83,0.07400000000000001,0.18,0.01%,0.96,1t start tie,6t 3 out tie,,CIN,0.8333333333333334,W,10,4,22.5,42.0
21,22,27,2018-04-28,CIN,MIN,GS-5,L(1-3),4,4.2,6,3,2,2,1,1,0,4.65,21,89,52,11,1,8,10,3,1,0,41.0,,,0,0,0,18,3,0,0,0,1,0,1.01,-0.145,0.22,-0.02%,-0.86,1b start tie,5b 12- 2 out d2,,MIN,1.9047619047619049,L,1,3,3.7,11.0
22,23,32,2018-05-04,CIN,MIA,GS-6,W(2-3),5,5.1,3,1,1,2,2,1,1,4.21,21,93,57,18,4,7,9,2,2,0,58.0,,,0,0,0,18,0,0,0,1,0,0,0.78,0.07,0.1,0.01%,0.78,1t start tie,6t 1-3 1 out a3,,CIN,0.9803921568627452,W,4,1,14.4,31.0
23,24,37,2018-05-09,CIN,NYM,GS-6,,4,6.0,4,1,1,1,7,0,0,3.83,23,96,62,17,6,6,9,5,1,0,66.0,,,1,0,0,22,1,1,0,0,0,0,1.03,0.187,0.09,0.01%,1.96,1t start tie,6t 3 out d1,,CIN,0.8333333333333334,W,2,1,22.5,36.0
24,25,42,2018-05-14,CIN,SFG,GS-3,L(2-4),4,2.1,8,6,6,2,2,0,0,4.84,17,66,38,10,5,4,9,6,1,0,17.0,,,0,0,0,15,4,0,0,0,0,0,0.84,-0.4,0.15,-0.04%,-5.51,1b start tie,3b 12- 1 out d5,,SFG,4.761904761904762,L,7,10,-8.75,-5.0
25,26,47,2018-05-19,CIN,CHC,GS-5,L(2-5),4,5.0,6,7,7,6,6,1,0,5.62,27,98,62,19,9,6,9,6,2,0,27.0,,,0,0,0,21,1,1,1,0,0,0,1.05,-0.258,0.13,-0.02%,-4.53,1t start tie,5t 3 out d7,2.0,CIN,2.4,L,0,10,2.05,12.0
26,27,52,2018-05-25,CIN,COL,GS-6,L(2-6),5,5.1,8,5,5,4,5,1,0,5.89,27,78,43,12,7,11,7,3,1,0,33.0,,,0,0,0,23,1,1,1,1,0,0,1.38,-0.299,0.14,-0.02%,-2.6,1b start a 2,6b --3 1 out d1,,COL,2.3529411764705883,L,4,5,4.8,16.0
27,28,57,2018-05-30,CIN,ARI,GS-5,W(3-6),4,5.0,7,4,4,0,3,2,0,6.0,22,81,54,20,5,4,15,7,1,0,40.0,,,0,0,0,22,1,0,0,0,0,0,0.65,-0.11599999999999999,0.03,0.00%,-1.46,1b start tie,5b 3 out tie,,ARI,1.4,W,7,4,9.05,24.0
28,29,62,2018-06-06,CIN,COL,GS-6,L(3-7),6,5.0,6,5,5,1,6,1,0,6.23,22,93,62,18,8,7,8,4,1,0,40.0,,,0,0,0,21,4,0,0,0,0,0,0.79,-0.311,0.03,-0.01%,-2.16,1t start tie,6t -2- 0 out d1,,CIN,1.4,L,3,6,9.05,18.0
29,30,67,2018-06-12,CIN,KCR,GS-8,,5,8.0,4,1,1,1,2,1,0,5.67,29,106,68,14,9,13,13,6,0,0,71.0,,,0,0,0,28,0,0,0,1,0,1,0.8,0.24600000000000002,0.02,0.00%,3.09,1b start tie,8b 3 out d1,,KCR,0.625,W,5,1,17.0,27.0
30,31,72,2018-06-19,CIN,DET,GS-7,W(4-7),6,7.0,4,0,0,4,6,0,0,5.18,27,107,74,18,17,9,8,4,3,0,71.0,,,1,0,0,23,0,0,0,1,0,0,0.74,0.23199999999999998,0.02,0.00%,3.45,1t start tie,7t 3 out a8,,CIN,1.1428571428571428,W,9,5,26.95,51.0
31,32,77,2018-06-24,CIN,CHC,GS-5,,4,5.0,8,5,5,1,6,1,0,5.4,23,80,53,11,8,7,9,7,0,0,36.0,,,0,0,0,22,2,0,0,0,0,0,1.11,-0.217,0.12,-0.01%,-2.53,1t start tie,5t 3 out d5,,CIN,1.8,W,8,6,7.85,18.0
32,33,82,2018-06-29,CIN,MIL,GS-5,L(4-8),4,5.0,7,2,2,2,5,1,1,5.3,25,84,55,11,13,9,8,3,2,0,48.0,,,1,0,0,21,0,0,0,0,0,0,1.2,0.003,0.12,0.00%,0.47,1t start tie,5t 3 out d2,,CIN,1.8,L,2,8,11.25,24.0
33,34,87,2018-07-04,CIN,CHW,GS-5,W(5-8),4,5.0,6,4,4,0,6,2,0,5.4,21,95,62,13,14,8,7,4,1,0,45.0,,,1,0,0,21,1,0,0,0,0,0,0.84,-0.163,0.07,-0.01%,-1.53,1t start tie,5t 3 out a2,,CIN,1.2,W,7,4,15.65,33.0
