Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,2,2013-04-03,CHC,PIT,6-6,,99,1.0,0,0,0,2,2,0,0,0.00,5,23,9,4,1,0,1,0,0,0,,0,0,1,0,0,3,0,0,1,0,0,0,.64,0.023,.73,0.02%,0.42,6b --- 0 out d2,6b 3 out d2,,PIT,2.0,L,0,3,,
2,4,2013-04-05,CHC,ATL,8-GF(8),,1,1.0,1,0,0,0,2,0,1,0.00,5,17,10,1,6,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.005,.09,0.00%,0.45,8b --- 0 out d3,8b end d 3,,ATL,1.0,L,1,4,,
3,6,2013-04-07,CHC,ATL,7-7,,1,1.0,0,0,0,0,2,0,1,0.00,3,12,7,1,4,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.25,0.010,.25,0.01%,0.45,7b --- 0 out d3,7b 3 out d3,,ATL,0.0,L,1,5,,
4,8,2013-04-09,CHC,MIL,7-7,,1,0.2,0,0,0,0,0,0,0,0.00,2,7,4,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.34,0.017,.31,0.01%,0.24,7t --- 1 out d2,7t 3 out d2,,CHC,0.0,W,6,3,,
5,12,2013-04-14,CHC,SFG,7-7,,4,1.0,2,1,1,0,1,0,0,1.93,5,21,14,4,3,2,2,1,0,0,,0,0,1,0,0,5,1,0,0,0,0,0,.97,-0.095,.81,-0.05%,-0.55,7t --- 0 out d1,7t 3 out d2,,CHC,2.0,L,7,10,,
6,16,2013-04-20,CHC,MIL,7-7,,5,1.0,1,0,0,2,1,0,0,1.59,6,20,7,2,2,1,2,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,.12,0.005,.09,0.00%,0.46,7b --- 0 out d4,7b 3 out d4,,MIL,3.0,L,1,5,,
7,21,2013-04-25,CHC,MIA,7-7,,4,1.0,0,0,0,0,0,0,0,1.35,3,6,5,2,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.13,0.084,.54,0.02%,0.45,7b --- 0 out tie,7b 3 out tie,,MIA,0.0,W,4,3,,
8,26,2013-04-30,CHC,SDP,7-8,,4,2.0,4,4,4,1,0,1,1,5.19,12,45,28,9,4,1,9,2,1,0,,0,0,0,0,0,10,2,0,0,0,0,0,.09,-0.022,.06,-0.01%,-3.10,7t --- 0 out d5,8t 3 out d8,,CHC,2.5,L,7,13,,
9,30,2013-05-04,CHC,CIN,8-GF,BS(1),3,2.0,2,1,1,2,0,0,0,5.06,10,31,14,3,1,2,6,1,0,0,,3,3,0,0,0,6,0,0,1,0,2,0,2.26,-0.398,1.35,-0.14%,-1.28,8t 123 0 out a2,9t end d 2,,CHC,2.0,L,4,6,,
10,35,2013-05-10,CHC,WSN,6-6,,5,1.0,0,0,0,0,0,0,0,4.63,3,13,8,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.004,.03,0.00%,0.46,6b --- 0 out d5,6b 3 out d5,,WSN,0.0,L,3,7,,
