Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,51,2017-06-02,MIN,LAA,8-GF,,99,2.0,3,3,3,0,1,1,0,13.50,9,36,22,9,2,5,3,0,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.01,0.001,.01,0.00%,-1.98,8b --- 0 out a9,9b end a 6,,LAA,1.5,W,11,5,,
2,54,2017-06-06,MIN,SEA,3-4,,3,0.1,4,5,5,0,1,0,1,30.86,6,28,16,2,1,3,1,1,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,.51,-0.111,.68,-0.09%,-3.99,3b --3 2 out d5,4b 1-3 0 out d6,,SEA,40.0,L,3,12,,
3,42,2018-05-19,CHC,CIN,6-7,,99,2.0,0,0,0,1,2,0,0,0.00,7,27,17,3,5,4,0,0,0,0,,2,0,0,0,0,6,0,0,1,0,0,0,.73,0.126,.79,0.08%,2.47,6b -23 0 out d2,7b 3 out d2,1,CIN,0.5,L,4,5,7.90,12.00
4,49,2018-05-27,CHC,SFG,3-5,W(1-0),7,2.1,1,0,0,2,3,0,0,0.00,9,35,22,8,4,4,0,0,0,0,,3,0,0,0,0,7,0,0,0,1,0,0,1.60,0.189,1.68,0.12%,1.78,3t 123 2 out tie,5t 3 out a3,,CHC,1.4285714285714286,W,8,3,13.45,28.00
5,52,2018-05-30,CHC,PIT,6-6,,2,1.0,1,0,0,0,0,0,0,0.00,3,10,7,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.81,0.044,1.06,0.04%,0.46,6b --- 0 out d1,6b 3 out d1,,PIT,1.0,L,1,2,1.65,3.00
6,54,2018-06-01,CHC,NYM,6-7,W(2-0),1,1.2,0,0,0,0,1,0,0,0.00,5,19,14,3,3,2,2,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.21,0.146,1.51,0.11%,1.29,6b 12- 1 out d2,7b 3 out a1,,NYM,0.0,W,7,4,9.75,20.00
7,56,2018-06-03,CHC,NYM,8-8,H(1),1,0.2,0,0,0,1,0,0,0,0.00,3,14,8,2,1,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.27,0.040,2.94,0.03%,0.24,8b --- 0 out a2,8b 1-- 2 out a2,,NYM,5.0,W,2,0,0.90,2.00
8,57,2018-06-05,CHC,PHI,8-GF,,1,2.0,3,1,1,1,0,0,0,0.93,10,44,27,6,4,4,5,4,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,.08,-0.003,.10,0.00%,0.00,8t --- 0 out d5,9t end d 5,,CHC,2.0,L,1,6,0.10,3.00
9,60,2018-06-08,CHC,PIT,7-8,H(2),2,1.0,0,0,0,1,2,0,0,0.84,4,16,9,3,5,0,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.52,0.086,2.32,0.08%,0.63,7t --3 2 out a2,8t 1-- 2 out a2,,CHC,1.0,W,3,1,5.65,9.00
10,63,2018-06-11,CHC,MIL,9-10,W(3-0),2,2.0,0,0,0,0,1,0,0,0.71,6,24,18,4,1,3,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.80,0.272,3.25,0.29%,0.99,9b --- 0 out tie,10b 3 out tie,,MIL,0.0,W,7,2,10.50,21.00
