,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,11,2013-04-13,ANA,HOU,8-GF,W(1-0),99,2.0,0,0,0,0,4,0,0,0.0,6,22,15,6,3,1,1,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.31,0.046,0.21,0.02%,0.91,8t --- 0 out d3,9t end d 1,,LAA,0.0,W,5,4
1,2,13,2013-04-15,ANA,MIN,5-7,,1,2.0,1,1,1,1,2,0,0,2.25,8,30,21,5,1,3,2,0,0,0,,2.0,0.0,0,0,0,6,0,0,0,0,0,0,0.62,-0.003,0.51,0.00%,0.47,5b -23 2 out d2,7b --- 2 out d3,,MIN,1.0,L,2,8
2,3,16,2013-04-20,ANA,DET,8-8,,4,1.0,2,0,0,0,1,0,0,1.8,4,15,9,1,2,1,2,2,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.03,0.001,0.02,0.00%,0.46,8t --- 0 out a9,8t 3 out a9,,LAA,2.0,W,10,0
3,4,18,2013-04-22,ANA,TEX,7-7,,1,0.0,1,1,1,0,0,0,0,3.6,1,4,3,1,0,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1.64,-0.07200000000000001,1.57,-0.04%,-0.6,7t 1-- 0 out a3,7t 12- 0 out a3,,LAA,inf,L,6,7
4,5,20,2013-04-24,ANA,TEX,GS-4,L(1-1),1,3.1,6,5,5,2,2,0,0,7.56,18,75,46,12,5,6,8,4,1,0,28.0,,,1,0,0,16,0,0,0,0,0,0,1.16,-0.16899999999999998,1.06,-0.09%,-1.7,1t start tie,4t 123 1 out d2,,LAA,2.5806451612903225,L,3,11
5,6,23,2013-04-27,ANA,SEA,7-7,,2,0.1,1,0,0,0,1,0,0,7.27,2,7,4,0,1,0,1,1,0,0,,2.0,1.0,0,0,0,2,0,0,0,0,0,0,2.99,-0.105,2.36,-0.05%,-0.44,7b 12- 0 out tie,7b 12- 1 out d1,,SEA,10.0,L,2,3
6,7,25,2013-04-29,ANA,OAK,7-8,,1,1.0,3,3,3,0,0,0,0,9.31,6,23,13,5,1,5,1,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.47,-0.08199999999999999,0.35,-0.04%,-1.51,7b --- 0 out a5,8b 12- 0 out a4,,OAK,3.0,L,8,10
7,8,38,2013-05-13,ANA,KCR,5-7,,13,2.1,6,4,4,0,2,0,0,10.5,13,49,31,8,2,5,6,5,0,0,,1.0,0.0,0,0,0,13,2,0,0,0,0,0,0.06,-0.016,0.03,0.00%,-2.79,5t -2- 2 out d6,7t 3 out d8,,LAA,2.8571428571428568,L,4,11
8,9,40,2013-05-15,ANA,KCR,4-5,,1,2.0,1,0,0,0,2,0,0,9.0,6,26,17,5,3,3,1,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,0,0.09,0.009000000000000001,0.04,0.00%,0.91,4t --- 0 out d7,5t 3 out d6,,LAA,0.5,L,5,9
9,10,84,2013-07-03,ANA,STL,4-5,,48,1.0,2,2,2,1,0,0,1,9.6,6,26,12,5,1,1,3,2,0,0,,2.0,0.0,0,1,0,4,1,0,0,0,0,0,0.16,-0.013999999999999999,0.08,0.00%,-1.35,4t 12- 2 out d6,5t 1-- 2 out d8,,LAA,3.0,L,2,12
10,11,87,2013-07-06,ANA,BOS,7-7,,2,1.0,0,0,0,1,2,0,0,9.0,5,28,16,4,3,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.32,0.017,0.11,0.00%,0.46,7t --- 0 out d3,7t 3 out d3,,LAA,1.0,W,9,7
11,12,89,2013-07-09,ANA,CHC,8-GF(8),,2,1.0,0,0,0,1,1,0,0,8.47,4,22,11,5,1,0,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.45,8b --- 0 out d5,8b end d 5,,CHC,1.0,L,2,7
12,13,91,2013-07-12,ANA,SEA,8-GF(8),,2,1.0,1,0,0,0,0,0,0,8.0,4,13,8,3,0,0,4,3,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.45,8b --- 0 out d5,8b end d 5,,SEA,1.0,L,3,8
13,14,96,2013-07-21,ANA,OAK,9-GF,,8,1.0,0,0,0,0,0,0,0,7.58,3,19,12,1,3,0,3,1,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.46,9t --- 0 out d6,9t end d 6,,LAA,0.0,L,0,6
14,15,97,2013-07-22,ANA,MIN,9-GF,,0,1.0,0,0,0,0,0,0,0,7.2,3,12,9,3,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.45,0.033,0.13,0.01%,0.46,9t --- 0 out d1,9t end d 1,,LAA,0.0,L,3,4
15,16,86,2014-07-05,ANA,HOU,6-7,W(1-0),99,2.0,0,0,0,0,2,0,0,0.0,6,23,16,5,4,2,2,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.25,0.036000000000000004,0.33,0.03%,0.88,6t --- 0 out d3,7t 3 out d3,,LAA,0.0,W,11,5
16,17,109,2014-08-02,ANA,TBR,4-GF(8),,27,4.2,7,4,4,2,2,1,2,5.4,22,87,52,16,4,10,6,4,0,0,,2.0,0.0,2,0,0,18,1,0,1,3,0,0,0.27,0.055,0.29,0.04%,-1.35,4b 12- 1 out d3,8b end d 7,,TBR,2.142857142857143,L,3,10
