,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,122,2012-08-21,CHN,MIL,GS-5,L(0-1),99,5.0,1,1,1,2,4,0,2,1.8,19,76,40,14,7,8,3,1,0,0,63.0,,,1,0,0,15,0,0,0,1,0,0,1.14,0.12,0.0,0.00%,1.5,1b start tie,5b 3 out d1,,MIL,0.6,L,2,5,,
1,2,135,2012-09-04,CHN,WSN,GS-2,L(0-2),13,1.0,8,5,5,1,1,2,0,9.0,11,43,27,6,5,0,9,3,1,0,17.0,,,0,0,0,10,2,0,0,0,0,0,0.76,-0.34600000000000003,0.0,0.00%,-5.14,1b start tie,2b -2- 0 out d5,,WSN,9.0,L,5,11,,
2,3,140,2012-09-09,CHN,PIT,GS-5,,4,5.0,5,1,1,3,4,1,0,5.73,22,83,52,9,14,8,7,3,2,0,54.0,,,0,0,0,19,0,0,0,1,0,0,1.22,0.153,0.0,0.00%,1.26,1b start tie,5b 3 out a1,,PIT,1.6,W,4,2,,
3,4,144,2012-09-14,CHN,PIT,GS-6,W(1-2),4,5.0,4,2,2,0,6,0,1,5.06,20,78,56,13,11,7,6,4,1,0,57.0,,,0,1,1,19,1,0,0,0,0,1,0.99,0.159,0.0,0.00%,1.02,1t start tie,6t 1-- 0 out a3,,CHC,0.8,W,7,4,,
4,5,149,2012-09-19,CHN,CIN,GS-5,,4,5.0,10,5,5,2,2,0,0,6.0,25,87,54,12,7,10,11,6,2,0,27.0,,,1,0,0,23,2,0,0,1,0,0,0.85,-0.268,0.0,0.00%,-2.6,1t start tie,5t 3 out d4,,CHC,2.4,L,5,6,,
5,6,154,2012-09-25,CHN,COL,GS-4,L(1-3),5,3.2,7,6,6,1,0,1,0,7.3,18,72,42,9,3,8,9,5,1,0,22.0,,,0,0,0,17,1,2,0,1,0,0,1.33,-0.242,0.0,0.00%,-2.41,1b start a 3,4b -23 2 out a1,,COL,2.5,L,5,10,,
6,7,159,2012-09-30,CHN,ARI,GS-5,W(2-3),4,5.0,3,2,1,2,4,0,0,6.37,20,68,39,10,4,6,8,4,2,0,57.0,,,0,0,0,18,0,0,0,0,0,0,1.01,0.017,0.0,0.00%,0.45,1b start a 1,5b 3 out d1,,ARI,1.0,W,7,2,,
7,8,81,2013-07-02,CHN,OAK,GS-4,,99,3.1,6,3,3,0,2,2,0,8.1,16,61,37,13,4,6,8,3,1,0,38.0,,,1,0,0,16,0,0,0,0,0,0,0.6,-0.16,0.08,-0.01%,-1.35,1b start tie,4b --- 1 out a2,,OAK,1.9354838709677415,L,7,8,,
8,9,97,2013-07-22,CHN,ARI,GS-6,W(1-0),19,5.0,2,2,2,2,4,0,0,5.4,18,78,46,17,8,6,6,1,2,0,57.0,,,0,0,0,16,1,0,0,0,0,0,0.91,0.145,0.09,0.01%,1.29,1b start tie,6b 12- 0 out a3,,ARI,0.8,W,4,2,,
9,10,102,2013-07-27,CHN,SFG,GS-7,,4,7.0,3,0,0,2,3,0,0,2.93,26,90,55,11,4,13,8,4,0,0,72.0,,,0,0,0,24,1,0,0,0,0,0,1.21,0.40700000000000003,0.11,0.02%,2.89,1b start tie,7b 3 out tie,,SFG,0.7142857142857143,W,1,0,,
10,11,108,2013-08-01,CHN,LAD,GS-6,L(1-1),4,5.0,7,4,4,3,4,0,0,3.98,25,94,55,17,9,8,10,3,1,0,38.0,,,0,0,0,22,2,0,1,0,0,0,1.3,-0.11,0.12,-0.01%,-0.71,1t start tie,6t 12- 0 out a1,,CHC,2.0,L,4,6,,
11,12,115,2013-08-09,CHN,STL,GS-6,W(2-1),7,6.0,7,0,0,2,5,0,0,3.08,26,90,56,19,7,5,14,10,1,0,61.0,,,0,0,0,24,2,0,2,1,0,0,1.23,0.34,0.02,0.00%,2.68,1b start tie,6b 3 out tie,,STL,1.5,W,3,0,,
12,13,120,2013-08-14,CHN,CIN,GS-6,L(2-2),4,6.0,3,2,2,1,3,1,0,3.06,21,76,50,11,10,8,9,1,2,0,60.0,,,0,0,0,20,1,0,0,0,0,0,0.65,0.021,0.0,0.00%,0.71,1t start tie,6t 3 out d2,,CHC,0.6666666666666666,L,0,5,,
13,14,125,2013-08-20,CHN,WSN,GS-6,L(2-3),5,5.2,10,2,2,2,2,0,0,3.08,25,81,49,12,8,11,10,8,0,0,41.0,,,0,1,1,23,3,0,0,1,0,0,1.28,-0.033,0.0,0.00%,0.3,1t start tie,6t 12- 2 out d1,,CHC,2.3076923076923075,L,2,4,,
14,15,130,2013-08-25,CHN,SDP,GS-7,,4,6.1,3,0,0,4,3,0,0,2.64,23,87,47,9,9,11,5,3,1,0,66.0,,,0,1,1,19,0,0,0,2,0,0,1.09,0.32,0.0,0.00%,2.38,1b start tie,7b 1-- 1 out tie,,SDP,1.1475409836065575,L,2,3,,
15,16,135,2013-08-31,CHN,PHI,GS-5,,5,5.0,4,3,2,3,3,1,2,2.74,25,84,51,12,10,9,8,3,1,0,49.0,,,1,0,0,20,1,1,0,0,0,1,1.05,-0.139,0.0,0.00%,-0.74,1t start tie,5t 3 out d1,,CHC,1.4,W,4,3,,
16,17,140,2013-09-06,CHN,MIL,GS-4,,5,3.2,7,2,2,2,1,1,0,2.89,20,85,54,15,5,8,9,5,1,0,38.0,,,0,0,0,16,0,0,0,0,1,0,0.78,0.01,0.0,0.00%,-0.6,1t start tie,4t 12- 2 out a5,,CHC,2.8125,W,8,5,,
17,18,146,2013-09-12,CHN,PIT,GS-7,L(2-4),5,7.0,4,2,2,0,2,0,1,2.85,25,79,56,18,4,14,8,7,0,0,63.0,,,0,0,0,24,1,0,0,0,0,0,1.0,0.01,0.0,0.00%,0.95,1b start tie,7b 3 out d1,,PIT,0.5714285714285714,L,1,3,,
18,19,152,2013-09-18,CHN,MIL,GS-4,L(2-5),5,4.0,4,6,6,2,3,2,0,3.52,18,65,41,9,2,5,8,2,0,0,31.0,,,0,0,0,16,0,0,0,0,0,0,0.63,-0.355,0.0,0.00%,-4.18,1b start tie,4b 3 out d6,,MIL,1.5,L,0,7,,
19,20,158,2013-09-24,CHN,PIT,GS-3,L(2-6),5,2.1,6,4,4,1,1,1,0,3.93,14,51,29,7,1,7,5,2,0,0,29.0,,,0,0,0,13,2,0,0,0,0,0,0.99,-0.321,0.0,0.00%,-3.99,1t start tie,3t -23 1 out d4,,CHC,3.333333333333333,L,2,8,,
20,21,11,2014-04-12,CHN,STL,4-GF(8),,99,5.0,3,1,1,1,1,0,0,1.8,19,55,36,12,0,7,10,5,3,0,,2.0,2.0,1,0,0,18,1,0,1,0,0,0,0.1,-0.013000000000000001,0.1,-0.01%,0.54,4b 1-3 0 out d5,8b end d 6,,STL,0.8,L,4,10,,
21,22,85,2014-07-05,CHN,WSN,3-6,,83,3.2,9,5,5,1,4,0,0,6.23,21,73,47,10,8,8,8,5,0,0,,1.0,1.0,0,0,0,19,3,0,0,1,0,0,0.14,-0.094,0.05,-0.02%,-4.29,3b -2- 0 out d3,6b 123 2 out d9,,WSN,3.125,L,0,13,,
22,23,112,2014-08-06,CHN,COL,7-GF(8),,31,2.0,3,4,4,3,1,1,0,8.44,11,39,20,5,3,3,4,2,1,0,,0.0,0.0,0,0,0,8,1,0,0,1,0,0,0.02,-0.013000000000000001,0.0,0.00%,-2.97,7b --- 0 out d5,8b end d 9,,COL,3.0,L,4,13,,
23,24,115,2014-08-09,CHN,TBR,7-8,,2,2.0,1,0,0,0,2,0,0,7.11,7,28,19,6,4,4,1,0,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.11,0.015,0.0,0.00%,0.9,7t --- 0 out d4,8t 3 out d4,,CHC,0.5,L,0,4,,
24,25,44,2015-05-26,COL,CIN,GS-7,,99,7.0,4,1,1,4,5,0,0,1.29,29,90,61,17,5,9,11,8,0,0,66.0,,,0,0,0,24,1,0,0,0,0,0,1.16,0.285,0.61,0.09%,2.25,1b start tie,7b 3 out tie,,CIN,1.1428571428571428,L,1,2,,
25,26,48,2015-05-31,COL,PHI,2-7,W(1-0),4,4.2,4,0,0,1,2,0,0,0.77,19,69,46,11,8,8,8,6,0,0,,1.0,1.0,0,0,0,18,2,0,0,0,0,0,1.02,-0.085,0.64,-0.03%,-0.54,2b 1-- 1 out a2,7b 123 0 out a3,,PHI,1.1904761904761905,W,4,1,,
26,27,54,2015-06-06,COL,MIA,GS-7,W(2-0),5,7.0,7,2,2,2,8,0,0,1.45,30,99,67,17,11,12,8,7,0,0,61.0,,,0,0,0,28,2,1,0,0,0,1,0.53,0.078,0.35,0.03%,1.84,1t start tie,7t 3 out a8,,COL,1.2857142857142858,W,10,5,,
27,28,59,2015-06-11,COL,MIA,GS-6,L(2-1),4,5.1,11,6,6,2,1,2,0,3.38,30,105,68,17,10,15,12,8,1,0,21.0,,,1,0,0,28,2,1,0,0,0,1,0.39,-0.336,0.26,-0.13%,-4.46,1b start tie,6b 1-3 1 out d6,,MIA,2.549019607843137,L,0,6,,
28,29,64,2015-06-16,COL,HOU,GS-4,L(2-2),4,4.0,9,7,7,2,4,2,0,5.14,22,92,55,14,10,9,7,3,0,0,18.0,,,1,0,0,20,0,0,1,1,0,0,1.0,-0.562,0.48,-0.16%,-5.11,1b start tie,4b 3 out d4,,HOU,2.75,L,5,8,,
29,30,69,2015-06-21,COL,MIL,GS-6,W(3-2),4,6.0,7,3,3,0,2,0,0,5.03,23,84,61,15,10,12,9,5,2,0,48.0,,,0,0,0,23,2,1,0,1,0,0,0.86,0.042,0.28,0.01%,0.29,1t start tie,6t 3 out a3,,COL,1.1666666666666667,W,10,4,,
30,31,74,2015-06-27,COL,SFG,GS-7,,5,6.1,10,5,2,1,4,1,0,4.69,29,98,64,19,8,11,13,10,2,0,42.0,,,0,0,0,28,2,0,0,2,0,1,1.43,-0.12,0.78,-0.04%,-1.27,1b start a 3,7b 1-- 1 out a1,,SFG,1.8032786885245904,L,5,7,,
31,32,79,2015-07-02,COL,ARI,GS-6,L(3-3),4,6.0,6,3,1,2,6,1,1,4.27,27,101,64,18,12,10,8,1,2,0,56.0,,,0,1,1,24,0,1,1,0,0,1,1.13,-0.149,0.37,-0.03%,-0.07,1b start tie,6b 3 out d2,,ARI,1.3333333333333333,L,1,8,,
32,33,84,2015-07-08,COL,LAA,GS-6,,5,6.0,5,2,2,2,2,2,0,4.13,24,95,58,18,5,14,6,3,1,0,54.0,,,0,0,0,22,0,0,0,1,0,0,0.92,0.102,0.16,0.01%,1.29,1t start tie,6t 3 out tie,,COL,1.1666666666666667,L,2,3,,
33,34,88,2015-07-12,COL,ATL,7-8,,3,2.0,2,0,0,1,1,0,0,3.98,9,33,23,7,1,3,4,2,0,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,0.26,0.023,0.06,0.00%,1.1,7t --- 0 out a5,8t 3 out a7,,COL,1.5,W,11,3,,
34,35,91,2015-07-20,COL,TEX,GS-6,,7,6.0,7,5,2,1,5,0,0,3.88,27,94,62,17,8,13,8,6,0,0,48.0,,,0,0,1,26,1,0,0,0,0,2,0.73,0.038,0.1,0.00%,-1.71,1t start tie,6t 3 out a2,,COL,1.3333333333333333,W,8,7,,
35,36,95,2015-07-25,COL,CIN,GS-5,L(3-4),4,5.0,10,5,4,0,5,1,0,4.13,24,92,64,8,15,12,7,5,0,0,34.0,,,1,1,1,24,0,0,0,1,0,1,0.73,-0.24,0.07,-0.02%,-2.26,1t start tie,5t 3 out d5,,COL,2.0,L,2,5,,
36,37,100,2015-07-30,COL,STL,GS-5,,4,5.0,10,6,6,0,5,2,0,4.61,23,87,62,13,10,10,8,4,1,0,28.0,,,0,1,1,23,1,1,0,0,0,0,0.98,-0.505,0.05,-0.02%,-3.66,1b start a 1,5b 3 out d1,,STL,2.0,L,8,9,,
37,38,106,2015-08-05,COL,SEA,GS-5,,5,5.0,8,3,3,3,3,0,0,4.66,26,96,59,12,7,11,9,8,0,0,39.0,,,0,0,0,23,4,0,0,0,0,0,1.07,-0.083,0.01,0.00%,-0.26,1t start tie,5t 3 out d3,,COL,2.2,W,7,5,,
38,39,111,2015-08-11,COL,NYM,GS-6,L(3-5),5,6.0,8,1,1,1,5,0,0,4.43,27,96,64,16,12,9,12,6,2,0,56.0,,,0,0,0,26,2,0,1,0,0,0,1.27,0.131,0.02,0.00%,1.7,1b start tie,6b 3 out d1,,NYM,1.5,L,0,4,,
39,40,116,2015-08-16,COL,SDP,SHO,W(4-5),4,9.0,5,0,0,1,4,0,0,3.99,32,106,71,20,6,14,13,5,1,0,80.0,,,0,0,0,31,0,0,0,1,0,0,1.06,0.509,0.0,0.00%,4.93,1t start tie,9t 3 out a5,,COL,0.6666666666666666,W,5,0,,
40,41,121,2015-08-22,COL,NYM,GS-3,L(4-6),5,2.0,12,11,11,2,3,1,0,4.97,20,69,41,9,6,4,11,11,0,0,-11.0,,,0,0,0,18,8,0,0,0,0,0,1.0,-0.653,0.0,0.00%,-9.54,1t start tie,3t -2- 0 out d7,,COL,7.0,L,9,14,,
41,42,127,2015-08-29,COL,PIT,GS-6,L(4-7),6,6.0,5,3,3,3,3,1,0,4.94,25,113,66,23,7,9,10,4,3,0,50.0,,,0,1,1,22,0,0,1,0,0,0,0.58,-0.106,0.0,0.00%,-0.24,1b start tie,6b 3 out d2,,PIT,1.3333333333333333,L,3,4,,
42,43,133,2015-09-03,COL,SFG,CG,W(5-7),4,9.0,6,3,3,1,5,1,0,4.78,32,103,69,23,5,16,10,4,0,0,67.0,,,0,0,0,31,1,0,0,2,0,0,0.46,0.076,0.0,0.00%,1.93,1t start tie,9t 3 out a8,,COL,0.7777777777777778,W,11,3,,
43,44,139,2015-09-09,COL,SDP,GS-3,L(5-8),5,3.0,8,6,6,1,1,2,1,5.14,18,70,41,14,2,6,9,6,1,0,19.0,,,0,0,0,16,3,0,0,1,0,0,1.22,-0.47100000000000003,0.0,0.00%,-4.68,1b start a 2,3b 3 out d4,,SDP,3.0,L,4,11,,
44,45,145,2015-09-15,COL,LAD,GS-7,,5,6.0,5,3,3,2,3,0,0,5.11,23,85,51,12,5,9,9,5,1,0,51.0,,,0,0,0,21,2,0,0,2,0,0,1.02,0.026000000000000002,0.0,0.00%,0.68,1b start tie,7b 12- 0 out a2,,LAD,1.1666666666666667,W,5,4,,
