Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2000-04-03,MIN,TBD,9-GF,,99,1.0,1,0,0,0,1,0,0,0.00,4,14,8,2,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.62,9t --- 0 out d7,9t end d 7,,MIN,1.0,L,0,7
2,5,2000-04-07,MIN,KCR,GS-5,,3,5.0,5,1,1,2,2,1,0,1.50,21,72,48,11,3,7,10,6,1,0,53,,,0,0,0,19,2,0,0,0,0,0,.82,0.194,.93,0.13%,2.08,1b start tie,5b 3 out a5,,KCR,1.4,L,6,10
3,10,2000-04-12,MIN,BOS,GS-4,L(0-1),4,3.2,10,7,7,1,2,0,0,7.45,21,87,48,13,3,4,14,8,1,0,14,,,0,0,1,19,3,0,0,0,1,0,.90,-0.382,.71,-0.18%,-5.11,1b start tie,4b 1-3 2 out d4,,BOS,3.4375,L,3,7
4,19,2000-04-22,MIN,TEX,GS-4,L(0-2),9,3.1,5,6,6,6,3,2,0,9.69,19,84,43,8,8,3,7,3,0,0,23,,,0,0,0,13,0,0,0,1,0,0,1.00,-0.279,.90,-0.15%,-3.10,1b start a 2,4b -23 1 out d2,,TEX,3.5483870967741935,L,3,8
5,26,2000-04-30,MIN,OAK,4-5,,7,2.0,5,3,3,1,2,1,0,10.20,12,46,27,5,5,2,7,4,1,0,,0,0,0,0,0,10,2,0,0,0,1,0,.28,-0.039,.22,-0.02%,-1.76,4t --- 0 out d5,5t 3 out d8,,MIN,3.0,L,2,8
6,30,2000-05-05,MIN,DET,8-GF,,4,2.0,2,1,1,4,2,0,0,9.53,12,57,28,5,9,1,5,2,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,1.28,-0.004,.94,0.00%,0.24,8t --- 0 out d1,9t end d 2,,MIN,3.0,L,8,10
7,39,2000-05-15,MIN,SEA,4-GF(8),,9,5.0,7,5,5,4,3,1,0,9.41,25,105,62,22,8,8,10,5,0,0,,0,0,0,0,0,21,2,2,0,1,0,0,.01,-0.001,.01,0.00%,-2.19,4b --- 0 out d9,8b end d14,,SEA,2.2,L,0,14
8,45,2000-05-21,MIN,OAK,2-6,,5,4.2,5,2,2,2,2,0,1,8.44,21,68,42,13,3,2,14,4,1,0,,0,0,0,0,0,18,1,0,0,1,0,0,.04,0.002,.03,0.00%,0.60,2b --- 1 out d8,6b 3 out d10,,OAK,1.6666666666666665,L,4,13
9,56,2000-06-03,MIN,CIN,5-6,,12,2.0,1,1,1,1,2,0,0,8.16,8,34,19,8,2,2,3,1,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,.20,-0.002,.14,0.00%,0.14,5b --- 0 out d4,6b 3 out d5,,CIN,1.0,L,3,9
10,59,2000-06-06,MIN,HOU,3-7,W(1-2),2,5.0,3,1,1,2,3,0,0,7.22,20,71,46,5,9,3,12,3,0,0,,0,0,0,0,0,18,1,0,0,0,0,0,.93,0.164,.38,0.04%,2.00,3b --- 0 out tie,7b 3 out d1,,HOU,1.0,W,3,1
11,66,2000-06-14,MIN,OAK,7-GF,,7,3.0,5,4,3,2,4,0,0,7.36,16,72,43,9,7,0,10,5,0,0,,0,0,0,0,0,14,2,0,0,0,0,0,.12,-0.023,.05,-0.01%,-2.13,7t --- 0 out d4,9t end d 8,,MIN,2.3333333333333335,L,6,9
12,69,2000-06-17,MIN,SEA,9-GF,,2,1.0,0,0,0,1,1,0,0,7.17,3,14,7,1,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.62,9t --- 0 out d9,9t end d 9,,MIN,1.0,L,3,12
13,70,2000-06-18,MIN,SEA,9-GF,,0,1.0,1,1,1,0,2,1,0,7.22,4,13,9,3,2,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,-0.001,.00,0.00%,-0.38,9t --- 0 out d7,9t end d 8,,MIN,1.0,L,2,10
14,74,2000-06-23,MIN,ANA,4-7,,4,3.1,5,3,3,3,3,2,0,7.29,18,64,37,8,6,7,5,2,0,0,,0,0,0,0,0,15,0,0,0,0,0,0,.56,-0.042,.09,0.00%,-1.18,4b --- 0 out d2,7b 1-- 1 out d5,,ANA,2.5806451612903225,L,3,8
15,83,2000-07-02,MIN,CLE,4-6,,8,2.1,0,2,2,3,1,0,0,7.31,9,34,16,5,5,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.22,0.005,.07,0.00%,0.30,4b --- 0 out d5,6b -23 1 out d4,,CLE,1.4285714285714286,L,1,7
16,84,2000-07-03,MIN,BOS,9-GF,,0,1.0,1,0,0,0,3,0,0,7.15,4,17,10,2,3,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.17,0.013,.04,0.00%,0.62,9t --- 0 out d3,9t end d 3,,MIN,1.0,L,8,11
17,85,2000-07-04,MIN,BOS,5-6,,0,2.0,1,0,0,0,2,0,0,6.85,7,30,18,4,6,2,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.004,.01,0.00%,1.24,5t --- 0 out d9,6t 3 out d9,,MIN,0.5,L,4,14
