Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,84,2016-07-05,OAK,MIN,7-8,,99,1.0,2,3,3,1,1,0,0,27.00,6,22,14,5,3,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.13,-0.014,.01,0.00%,-0.83,7b --- 2 out d6,8b 12- 2 out d4,,MIN,3.0,L,4,11
2,85,2016-07-06,OAK,MIN,7-GF(8),,0,1.1,2,1,1,0,0,0,0,15.43,6,23,16,3,1,3,3,0,0,0,,2,0,0,0,0,5,0,1,0,0,1,0,.12,-0.002,.01,0.00%,-0.05,7b 12- 2 out d3,8b end d 4,,MIN,1.8181818181818181,L,0,4
3,92,2016-07-17,OAK,TOR,9-GF,,10,0.1,0,0,0,0,1,0,0,13.50,1,6,3,2,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.87,0.022,.08,0.00%,0.76,9t 123 2 out d2,9t end d 2,,OAK,0.0,L,3,5
4,95,2016-07-20,OAK,HOU,8-GF,,2,2.0,5,4,4,2,2,0,0,15.43,13,53,33,6,5,1,8,1,2,0,,0,0,0,0,0,11,2,1,0,0,0,0,.23,-0.052,.03,-0.01%,-3.03,8t --- 0 out d3,9t end d 7,,OAK,3.5,L,0,7
5,110,2016-08-06,OAK,CHC,7-8,,16,2.0,0,0,0,3,2,0,0,10.80,9,44,20,8,2,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.16,0.018,.00,0.00%,0.98,7t --- 0 out d4,8t 3 out d4,,OAK,1.5,L,0,4
6,139,2016-09-07,PHI,MIA,7-7,,31,0.2,0,1,1,1,0,0,0,11.05,3,11,7,3,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.10,0.001,.00,0.00%,0.16,7b --- 0 out d4,7b -2- 2 out d4,,MIA,5.0,L,0,6
7,141,2016-09-09,PHI,WSN,7-7,,1,0.1,0,0,0,0,0,0,1,10.57,2,7,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.16,0.003,.00,0.00%,0.11,7b --- 2 out d3,7b 3 out d3,,WSN,0.0,L,4,5
8,142,2016-09-10,PHI,WSN,8-8,,0,0.0,1,2,2,1,0,1,0,12.91,2,11,4,2,1,0,1,1,0,0,,1,1,0,0,0,1,0,0,0,0,0,0,2.83,-0.362,.00,0.00%,-2.74,8b 1-- 1 out tie,8b --- 1 out d3,,WSN,inf,L,0,3
9,154,2016-09-23,PHI,NYM,7-7,,12,0.0,1,2,1,1,0,0,0,14.09,3,8,4,2,0,1,1,1,0,0,,1,1,0,0,0,1,0,0,0,0,0,0,.48,-0.066,.00,0.00%,-2.73,7b -2- 0 out d2,7b 1-3 0 out d4,,NYM,inf,L,5,10
10,156,2016-09-25,PHI,NYM,8-8,,1,0.2,3,5,5,1,2,0,1,18.36,7,24,14,7,2,0,3,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,.00,0.00%,-3.75,8b --- 0 out d11,8b 1-- 2 out d15,,NYM,20.0,L,0,17
11,161,2016-10-01,PHI,NYM,6-6,L(0-1),5,0.1,1,1,1,0,0,0,0,18.69,2,7,5,2,1,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.76,-0.030,.00,0.00%,-0.18,6t --- 0 out tie,6t -2- 1 out tie,,PHI,10.0,L,3,5
