Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
182,22,2000-04-28,ATL,SDP,8-8,H(1),99,0.2,0,0,0,1,1,0,0,0.00,3,18,10,3,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.25,0.074,4.18,0.06%,0.28,8b --- 0 out a1,8b 1-- 2 out a1,,SDP,5.0,W,7,2
183,23,2000-04-29,ATL,SDP,8-8,,0,1.0,1,0,0,0,1,0,0,0.00,4,14,11,3,4,2,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.30,0.109,2.88,0.08%,0.52,8b --- 0 out tie,8b 3 out tie,,SDP,1.0,W,7,4
184,25,2000-05-01,ATL,LAD,8-8,H(2),1,1.0,0,0,0,0,0,0,0,0.00,3,11,8,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.20,0.093,1.54,0.07%,0.53,8b --- 0 out a2,8b 3 out a2,,LAD,0.0,W,2,1
185,28,2000-05-05,ATL,PHI,9-GF,W(1-0),3,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,0,1,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,1.01,0.021,1.25,0.02%,0.25,9t 1-- 2 out d1,9t end d 1,,ATL,0.0,W,6,5
186,31,2000-05-08,ATL,FLA,9-9,L(1-1),2,0.2,1,1,0,0,0,0,0,0.00,3,18,12,4,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.79,0.013,3.93,0.01%,0.15,9b --- 0 out tie,9b --3 2 out tie,,FLA,5.0,L,2,3
187,33,2000-05-10,ATL,FLA,8-GF(8),,1,1.0,0,0,0,0,2,0,0,0.00,3,13,10,2,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,.28,0.01%,0.53,8b --- 0 out d2,8b end d 2,,FLA,0.0,L,3,5
188,35,2000-05-12,ATL,PHI,7-7,,1,0.2,3,4,4,1,2,1,0,6.75,6,17,10,1,5,1,2,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,2.15,-0.651,2.89,-0.53%,-4.42,7b 1-- 1 out a4,7b 3 out d1,,PHI,20.0,W,8,7
189,36,2000-05-13,ATL,PHI,9-9,W(2-1),0,1.0,1,0,0,1,2,0,1,5.68,6,21,10,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,3.89,0.149,5.26,0.12%,0.56,9b --- 0 out tie,9b 3 out tie,,PHI,2.0,W,3,2
190,38,2000-05-16,ATL,SFG,7-7,H(3),2,1.0,0,0,0,0,1,0,0,4.91,3,7,6,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.97,0.076,1.21,0.06%,0.56,7t --- 0 out a2,7t 3 out a2,,ATL,0.0,W,9,7
191,39,2000-05-17,ATL,SFG,8-GF,S(1),0,2.0,0,0,0,0,1,0,0,3.86,5,14,10,2,2,2,2,0,1,0,,3,1,0,0,0,5,0,0,0,1,0,0,2.91,0.490,3.66,0.37%,1.97,8t 123 0 out a2,9t end a 1,,ATL,0.0,W,5,4
192,43,2000-05-21,ATL,SDP,7-7,H(4),3,1.0,0,0,0,0,0,0,0,3.48,3,5,3,0,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.27,0.100,1.45,0.07%,0.56,7t --- 0 out a1,7t 3 out a1,,ATL,0.0,W,12,6
193,44,2000-05-23,ATL,MIL,8-GF(8),,1,1.0,0,0,0,0,1,0,0,3.18,4,16,11,0,5,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.58,0.034,.65,0.02%,0.54,8b --- 0 out d1,8b end d 1,,MIL,0.0,L,6,7
194,46,2000-05-25,ATL,MIL,8-8,,1,1.0,1,0,0,2,1,0,0,2.92,6,23,10,4,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.51,0.032,1.63,0.02%,0.54,8b --- 0 out a4,8b 3 out a4,,MIL,3.0,W,7,3
195,47,2000-05-26,ATL,HOU,10-GF(10),L(2-2),0,0.2,2,1,1,1,1,0,0,3.46,5,15,7,2,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.44,-0.343,3.45,-0.21%,-0.89,10b --- 0 out tie,10b end d 1,,HOU,15.0,L,4,5
196,49,2000-05-28,ATL,HOU,8-GF(8),BL(2-3),1,1.0,2,3,3,1,1,2,0,5.14,6,19,11,1,5,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.56,-0.623,1.54,-0.37%,-2.40,8b --- 0 out a2,8b end d 1,,HOU,3.0,L,3,4
197,52,2000-06-01,ATL,CHC,8-GF(8),,3,1.0,0,0,0,0,0,0,0,4.80,3,12,8,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.016,.19,0.01%,0.54,8b --- 0 out d2,8b end d 2,,CHC,0.0,L,3,5
198,54,2000-06-03,ATL,NYY,8-8,H(5),1,1.0,0,0,0,0,0,0,0,4.50,3,9,5,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.61,0.127,1.72,0.08%,0.56,8t --- 0 out a1,8t 3 out a1,,ATL,0.0,W,11,7
199,55,2000-06-04,ATL,NYY,7-8,,0,1.1,1,0,0,0,1,0,0,4.15,5,18,13,3,3,1,3,1,0,0,,1,0,1,0,0,5,0,0,0,0,0,0,1.07,0.088,1.17,0.06%,0.81,7t 1-- 2 out d1,8t 3 out d1,,ATL,0.9090909090909091,L,6,7
200,58,2000-06-07,ATL,TOR,8-8,,2,1.0,0,0,0,0,1,0,0,3.93,3,11,9,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.034,.47,0.02%,0.56,8t --- 0 out d2,8t 3 out d2,,ATL,0.0,L,8,12
201,59,2000-06-09,ATL,BOS,9-GF,S(2),1,1.0,0,0,0,0,2,0,0,3.72,3,14,9,4,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.04,0.083,1.20,0.06%,0.56,9t --- 0 out a2,9t end a 2,,ATL,0.0,W,6,4
202,60,2000-06-10,ATL,BOS,8-8,,0,1.0,1,0,0,1,2,0,0,3.54,5,23,16,5,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.36,0.015,.41,0.01%,0.56,8t --- 0 out a5,8t 3 out a5,,ATL,2.0,W,6,0
203,61,2000-06-11,ATL,BOS,8-8,L(2-4),0,0.0,2,2,2,1,0,0,0,4.43,3,11,6,1,1,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.43,-0.320,1.54,-0.21%,-2.02,8t --- 0 out tie,8t 12- 0 out d1,,ATL,inf,L,3,5
204,63,2000-06-13,ATL,PIT,8-8,H(6),1,0.2,0,0,0,0,0,0,0,4.29,3,10,6,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,1.57,0.029,1.68,0.02%,0.21,8b --- 0 out a3,8b -2- 2 out a3,,PIT,0.0,L,6,7
