Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
66,1,2000-04-04,PIT,HOU,8-8,,99,1.0,2,0,0,0,1,0,0,0.00,5,26,14,4,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.30,0.018,.30,0.01%,0.56,8t --- 0 out d3,8t 3 out d3,,PIT,2.0,L,2,5
67,3,2000-04-06,PIT,HOU,9-GF,,1,1.0,0,0,0,0,1,0,0,0.00,3,7,5,0,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,9t --- 0 out a9,9t end a 9,,PIT,0.0,W,10,1
68,4,2000-04-07,PIT,ARI,8-8,,0,1.0,1,0,0,0,0,0,0,0.00,4,12,10,5,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.33,0.019,.28,0.01%,0.58,8b --- 0 out a5,8b 3 out a5,,ARI,1.0,W,7,2
69,8,2000-04-12,PIT,MON,6-6,W(1-0),4,0.2,0,0,0,1,0,0,0,0.00,3,8,4,1,0,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.55,0.132,1.86,0.06%,1.24,6t 1-3 1 out d1,6t 3 out d1,,PIT,5.0,W,6,4
70,9,2000-04-13,PIT,MON,9-GF,W(2-0),0,1.0,2,0,0,0,1,0,0,0.00,5,14,10,2,1,1,3,2,1,0,,1,1,0,0,0,5,0,0,0,0,0,0,2.20,-0.200,1.80,-0.10%,-0.05,9t 1-- 0 out tie,9t end d 1,,PIT,2.0,W,4,3
71,10,2000-04-14,PIT,NYM,11-GF(12),L(2-1),0,2.0,7,4,4,1,0,1,0,5.40,12,35,25,6,1,2,9,7,0,0,,0,0,0,0,0,11,1,0,0,1,0,0,2.25,-0.330,1.95,-0.17%,-2.89,11t --- 0 out tie,12t end d 4,,PIT,4.0,L,5,8
72,13,2000-04-18,PIT,FLA,8-GF(8),,3,1.0,0,0,0,0,1,0,0,4.70,3,12,8,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.53,8b --- 0 out d9,8b end d 9,,FLA,0.0,L,5,12
73,15,2000-04-20,PIT,FLA,8-9,,1,1.2,0,0,0,1,2,0,0,3.86,6,24,14,4,3,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.64,0.206,1.35,0.10%,0.81,8b --- 1 out tie,9b 3 out tie,,FLA,0.8333333333333334,L,2,3
74,17,2000-04-22,PIT,ATL,8-GF(8),,1,1.0,2,1,1,0,2,0,0,4.35,5,17,11,3,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.71,-0.057,.53,-0.03%,-0.44,8b --- 0 out d1,8b end d 2,,ATL,2.0,L,2,4
75,19,2000-04-25,PIT,SDP,10-11,,2,1.2,2,0,0,0,3,0,0,3.75,7,34,21,7,2,2,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.97,0.259,2.00,0.10%,0.99,10t --- 0 out tie,11t --- 2 out tie,,PIT,1.6666666666666667,W,4,3
76,21,2000-04-27,PIT,SDP,8-GF,,1,2.0,5,6,1,1,2,1,1,3.86,14,40,24,6,2,3,7,4,0,0,,0,0,0,0,0,12,0,0,0,0,0,1,.27,-0.048,.20,-0.02%,-4.89,8t --- 0 out d2,9t end d 8,,PIT,3.0,L,4,12
77,23,2000-04-29,PIT,CIN,8-GF,BS(1),1,2.0,2,0,0,1,2,0,0,3.38,10,32,19,1,2,4,3,2,0,0,,2,2,0,0,0,8,0,0,1,0,0,1,2.06,-0.157,1.67,-0.08%,0.13,8t 12- 0 out a1,9t end d 1,,PIT,1.5,L,5,6
78,25,2000-05-02,PIT,STL,6-7,,2,1.1,3,2,2,0,1,2,0,4.15,7,29,20,3,3,3,3,1,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,1.14,-0.166,.82,-0.07%,-0.96,6b -2- 1 out tie,7b 1-- 2 out d2,,STL,2.727272727272727,W,10,7
79,29,2000-05-06,PIT,CHC,6-6,BS(2),3,0.1,4,4,4,0,0,1,0,6.11,5,18,10,2,1,1,4,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.62,-0.364,1.34,-0.18%,-2.41,6b --- 0 out a1,6b 12- 1 out d1,,CHC,40.0,W,11,9
80,32,2000-05-10,PIT,NYM,7-7,W(3-1),3,1.0,3,1,1,1,2,0,0,6.27,6,28,13,4,4,2,1,1,0,0,,0,0,0,1,0,5,1,0,1,0,0,0,1.83,-0.122,1.55,-0.06%,-0.45,7t --- 0 out tie,7t 3 out d1,,PIT,4.0,W,13,9
81,34,2000-05-12,PIT,MIL,6-6,,1,1.0,2,1,1,0,1,0,0,6.41,4,15,9,2,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.27,-0.026,.23,-0.01%,-0.45,6t --- 0 out d4,6t 3 out d5,,PIT,2.0,L,1,6
82,35,2000-05-13,PIT,MIL,3-5,,0,3.0,1,0,0,1,3,0,0,5.56,11,44,26,8,4,5,2,1,0,0,,2,0,0,0,0,10,0,0,1,0,0,0,.91,0.214,.74,0.11%,3.02,3t 1-3 0 out d3,5t 3 out a2,,PIT,0.6666666666666666,W,11,8
83,38,2000-05-17,PIT,CIN,5-6,W(4-1),3,1.1,1,0,0,0,1,0,0,5.25,5,19,12,3,2,1,3,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.27,0.105,1.23,0.06%,1.11,5b 1-3 2 out d1,6b 3 out d1,,CIN,0.9090909090909091,W,9,6
84,39,2000-05-18,PIT,CIN,8-9,,0,1.2,1,0,0,1,2,0,0,4.91,7,27,15,3,2,2,2,1,0,0,,0,0,0,1,0,6,1,0,1,0,0,1,2.91,0.218,3.08,0.14%,0.88,8b --- 1 out tie,9b 3 out tie,,CIN,1.6666666666666667,L,3,4
85,42,2000-05-21,PIT,STL,7-7,,2,1.0,1,0,0,0,2,0,0,4.73,4,19,14,7,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.33,0.024,.31,0.01%,0.56,7t --- 0 out d3,7t 3 out d3,,PIT,1.0,L,5,7
86,44,2000-05-24,PIT,ARI,7-7,,2,0.1,1,0,0,0,1,0,0,4.67,2,10,7,2,1,0,1,1,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,1.64,-0.092,1.03,-0.04%,-1.09,7b 1-3 1 out d1,7b -2- 2 out d3,,ARI,10.0,L,5,6
87,47,2000-05-27,PIT,COL,7-7,,2,0.0,1,0,0,0,0,0,0,4.67,1,2,2,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.48,-0.066,1.38,-0.02%,-0.41,7b 1-- 1 out a1,7b 12- 1 out a1,,COL,inf,L,6,7
88,48,2000-05-28,PIT,COL,8-GF(8),,0,1.0,3,0,0,0,0,0,0,4.50,5,15,12,3,1,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.70,8b --- 0 out d9,8b end d 9,,COL,3.0,L,2,11
89,49,2000-05-29,PIT,FLA,7-8,,0,1.1,0,0,0,1,1,0,0,4.30,5,11,7,3,1,0,3,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.11,0.012,.05,0.00%,0.81,7t 1-- 2 out a6,8t 3 out a6,,PIT,0.9090909090909091,W,10,4
90,51,2000-05-31,PIT,FLA,8-9,H(1),1,1.2,2,0,0,0,0,0,0,4.06,6,33,23,4,3,1,5,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.75,0.073,.41,0.02%,0.86,8t --- 0 out a3,9t 1-- 2 out a3,,PIT,1.6666666666666667,W,5,2
