Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,37,2004-05-17,COL,PHI,7-7,,99,1.0,1,0,0,0,0,0,0,0.00,4,17,9,3,0,0,4,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.08,0.005,.05,0.00%,0.59,7t --- 0 out d6,7t 3 out d6,,COL,1.0,W,7,6
2,38,2004-05-18,COL,CIN,8-8,,0,1.0,0,0,0,1,2,0,0,0.00,4,16,10,5,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.39,0.015,.26,0.01%,0.50,8b --- 0 out a5,8b 3 out a5,,CIN,1.0,W,8,3
3,41,2004-05-21,COL,NYM,4-5,,2,1.1,3,1,1,1,1,0,1,2.70,9,44,26,6,4,3,3,0,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,.58,-0.094,.37,-0.04%,-1.57,4b --- 0 out d3,5b 123 1 out d2,,NYM,3.6363636363636362,L,7,9
4,44,2004-05-25,COL,SDP,6-6,,3,0.2,1,0,0,1,0,0,0,2.25,4,10,6,2,0,0,3,1,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.92,0.004,1.12,0.00%,0.04,6t --- 0 out tie,6t 1-3 2 out tie,,COL,10.0,L,6,11
5,48,2004-05-29,COL,SFG,6-6,,3,0.1,1,0,0,0,0,0,0,2.08,2,5,4,1,1,1,1,1,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,1.62,-0.248,.65,-0.06%,-1.55,6b 12- 2 out tie,6b 3 out d2,,SFG,10.0,L,3,5
6,49,2004-05-30,COL,SFG,8-GF(8),,0,1.0,1,0,0,0,1,0,0,1.69,4,13,10,2,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,0.007,.04,0.00%,0.53,8b --- 0 out d3,8b end d 3,,SFG,1.0,L,1,3
7,53,2004-06-04,COL,SFG,6-7,,4,2.0,3,5,5,2,2,1,0,7.36,11,42,21,4,6,1,6,2,1,0,,0,0,0,0,0,8,1,0,0,0,1,0,.12,-0.053,.04,-0.01%,-3.83,6t --- 0 out d5,7t 3 out d10,,COL,2.5,L,7,13
8,55,2004-06-06,COL,SFG,9-GF,,1,1.0,2,1,0,0,0,0,0,6.48,6,24,14,1,3,1,5,1,0,0,,0,0,0,0,0,6,2,0,0,0,0,1,.00,0.000,.00,0.00%,-0.41,9t --- 0 out d13,9t end d14,,COL,2.0,L,4,16
9,56,2004-06-07,COL,SFG,9-GF,,0,0.1,1,0,0,0,0,0,0,6.23,2,6,3,1,0,1,1,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.05,0.001,.01,0.00%,0.12,9t --- 2 out d5,9t end d 5,,COL,10.0,L,5,10
10,59,2004-06-10,COL,NYY,8-GF(8),,2,1.0,0,0,0,0,2,0,0,5.59,3,21,13,5,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.55,8b --- 0 out d6,8b end d 6,,NYY,0.0,L,4,10
11,63,2004-06-15,COL,BOS,6-6,H(1),4,0.2,1,0,0,1,0,0,0,5.23,4,16,7,2,0,2,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.91,0.004,.12,0.00%,0.04,6t --- 0 out a1,6t 1-3 2 out a1,,COL,10.0,W,6,3
12,87,2004-07-11,COL,SDP,6-7,,25,1.0,1,1,1,0,2,1,0,5.56,4,15,11,2,3,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.36,-0.026,.04,0.00%,-0.53,6b --- 0 out d2,7b --- 0 out d3,,SDP,1.0,L,2,4
13,90,2004-07-17,COL,SFG,8-8,,5,0.2,0,0,0,0,0,0,0,5.25,2,7,4,1,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,.25,0.015,.01,0.00%,0.75,8t -2- 1 out d4,8t 3 out d4,,COL,0.0,L,0,4
14,92,2004-07-19,COL,SDP,6-7,,1,2.0,3,3,3,1,1,0,0,6.43,10,35,22,4,2,2,6,2,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,.07,-0.012,.00,0.00%,-1.83,6t --- 0 out d7,7t 3 out d7,,COL,2.0,L,6,13
15,93,2004-07-20,COL,SDP,7-7,,0,1.0,1,0,0,0,3,0,1,6.00,5,25,14,5,5,0,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.15,0.009,.00,0.00%,0.59,7t --- 0 out d5,7t 3 out d5,,COL,1.0,L,7,9
