Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,51,2019-05-25,CLE,TBR,7-8,,99,1.2,3,0,0,0,3,0,0,0.00,8,28,20,5,4,3,2,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.12,0.011,.12,0.01%,0.88,7.95,14.00,7t --- 1 out d5,8t 3 out d5,,CLE,2.5,L,2,6
2,53,2019-05-27,CLE,BOS,7-7,,1,1.0,1,1,1,1,2,0,1,3.38,6,35,22,9,1,1,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.08,-0.007,.07,0.00%,-0.42,2.45,6.00,7b --- 0 out d5,7b 3 out d6,,BOS,2.0,L,5,12
3,59,2019-06-02,CLE,CHW,8-8,,5,0.2,0,1,1,2,1,0,0,5.40,4,17,9,6,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.62,0.006,.55,0.00%,0.08,0.30,2.00,8b --- 0 out d1,8b 12- 2 out d1,,CHW,10.0,L,0,2
4,62,2019-06-06,CLE,MIN,9-GF,,3,0.1,2,0,0,0,1,0,0,4.91,3,10,7,3,1,1,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.50,0.006,.56,0.00%,0.12,1.55,4.00,9t --- 2 out d2,9t end d 2,,CLE,20.0,L,4,5
5,67,2019-06-12,CLE,CIN,7-7,,5,0.1,0,0,0,1,1,0,0,4.50,2,13,7,3,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.18,0.004,.14,0.00%,0.12,2.15,4.00,7t --- 2 out d4,7t 3 out d4,,CLE,10.0,L,2,7
6,68,2019-06-14,CLE,DET,9-GF,,1,1.0,1,1,1,1,1,0,0,5.40,5,20,16,6,2,2,1,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.00,0.000,.00,0.00%,-0.44,1.05,3.00,9b --- 0 out a10,9b end a 9,,DET,2.0,W,13,4
7,117,2019-08-10,CLE,MIN,8-GF(8),,56,1.0,0,0,0,1,1,0,0,4.50,4,24,12,3,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.008,.23,0.01%,0.55,3.65,6.00,8b --- 0 out d3,8b end d 3,,MIN,1.0,L,1,4
8,120,2019-08-13,CLE,BOS,5-7,,2,2.1,1,2,2,2,2,0,1,5.40,11,49,27,10,2,1,5,1,1,0,,2,0,0,0,0,8,1,0,1,0,0,0,.48,-0.031,.68,-0.03%,-0.37,2.85,7.00,5t 12- 2 out d3,7t 3 out d3,,CLE,1.4285714285714286,L,6,7
9,150,2019-09-16,MIA,ARI,8-GF(8),,33,1.0,0,0,0,0,1,0,0,4.82,3,16,11,2,4,0,2,1,1,0,,2,0,0,0,0,3,0,0,0,0,0,0,.48,0.039,.00,0.00%,1.54,4.25,6.00,8b 12- 0 out d2,8b end d 2,,ARI,0.0,L,5,7
10,152,2019-09-18,MIA,ARI,6-6,,1,0.1,0,0,0,0,0,0,0,4.66,1,5,3,1,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.10,0.031,.00,0.00%,0.52,0.75,1.00,6b 1-3 2 out d2,6b 3 out d2,,ARI,0.0,L,4,5
11,154,2019-09-21,MIA,WSN,10-GF(10),,2,0.1,2,3,3,2,1,0,0,7.20,5,16,9,2,2,1,1,1,0,0,,2,2,0,0,0,3,1,0,1,0,0,0,.64,-0.164,.00,0.00%,-4.57,-5.65,-5.00,10t 12- 2 out d1,10t end d 6,,MIA,40.0,L,4,10
12,158,2019-09-25,MIA,NYM,6-7,,3,1.0,1,1,1,1,0,0,1,7.36,6,23,12,5,1,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.01,0.000,.00,0.00%,0.11,-1.55,0.00,6b --- 0 out d9,7b 1-- 0 out d9,,NYM,2.0,L,3,10
13,160,2019-09-27,MIA,PHI,5-6,,1,0.2,0,0,0,0,0,0,0,6.94,3,12,8,2,0,0,3,0,0,0,,1,1,0,0,0,2,0,0,0,0,1,1,1.30,-0.102,.00,0.00%,-0.66,1.50,2.00,5b --3 1 out a1,6b -2- 0 out tie,,PHI,0.0,L,4,5
14,161,2019-09-28,MIA,PHI,8-GF(8),,0,1.0,0,0,0,0,0,0,0,6.39,3,17,10,3,0,0,3,0,3,0,,1,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.93,2.25,3.00,8b 1-- 0 out d6,8b end d 6,,PHI,0.0,L,3,9
