,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,113,2018-08-10,ATL,MIL,9-GF,,99,1.0,0,0,0,0,1,0,0,0.0,3,12,8,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.01,0.00%,0.49,4.25,6.0,9t --- 0 out a9,9t end a 9,,ATL,0.0,W,10,1
1,2,116,2018-08-13,ATL,MIA,8-GF,,2,2.0,0,0,0,3,3,0,0,0.0,9,44,24,6,8,0,3,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.02,0.003,0.04,0.00%,0.98,8.7,15.0,8t --- 0 out a7,9t end a 8,1.0,ATL,1.5,W,9,1
2,3,120,2018-08-16,ATL,COL,9-GF,,2,0.1,0,0,0,0,0,0,0,0.0,1,4,2,0,0,0,1,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,0.36,0.008,0.58,0.01%,0.23,0.75,1.0,9t 1-- 2 out d2,9t end d 2,,ATL,0.0,L,3,5
3,4,121,2018-08-17,ATL,COL,6-7,,0,1.2,1,0,0,1,4,0,0,0.0,7,26,18,6,4,0,2,2,0,0,,1,1,1,0,0,6,0,0,0,0,0,0,0.09,-0.002,0.17,0.00%,0.42,10.55,17.0,6t --3 1 out d5,7t 3 out d6,,ATL,1.6666666666666667,L,5,11
4,5,125,2018-08-21,ATL,PIT,9-GF,,3,1.0,1,1,1,0,2,1,0,1.5,4,14,10,6,0,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.07,0.003,0.14,0.00%,-0.54,3.65,6.0,9b --- 0 out a6,9b end a 5,,PIT,1.0,W,6,1
5,6,129,2018-08-25,ATL,MIA,6-7,,3,1.1,2,2,2,0,2,1,0,3.68,6,24,14,3,2,2,2,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,0.76,-0.10099999999999999,1.18,-0.10%,-1.14,1.8,4.0,6b 12- 2 out d1,7b 3 out d3,,MIA,1.818181818181818,L,1,3
6,7,142,2018-09-08,ATL,ARI,9-9,W(1-0),13,0.1,0,0,0,1,0,0,0,3.52,2,5,1,0,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,1,0,0,0,5.39,0.11199999999999999,10.6,0.13%,0.44,4.15,13.0,9b 12- 2 out tie,9b 3 out tie,,ARI,10.0,W,5,4
7,8,143,2018-09-09,ATL,ARI,6-7,,0,1.1,0,0,0,2,1,0,0,3.0,6,18,11,4,2,0,3,1,1,0,,2,0,0,0,0,4,0,0,1,0,0,0,0.72,0.054000000000000006,1.23,0.06%,1.01,3.8,7.0,6b 1-3 2 out d2,7b 3 out d2,,ARI,1.818181818181818,W,9,5
8,9,148,2018-09-15,ATL,WSN,5-5,,5,0.1,0,0,0,0,0,0,0,2.89,1,5,4,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.87,0.025,0.34,0.01%,0.23,0.75,1.0,5t 1-- 2 out d1,5t 3 out d1,,ATL,0.0,L,1,7
9,10,149,2018-09-16,ATL,WSN,8-8,,0,1.0,0,0,0,1,0,0,0,2.61,4,15,8,3,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.26,0.013999999999999999,0.14,0.01%,0.49,1.65,3.0,8t --- 0 out d3,8t 3 out d3,,ATL,1.0,L,4,6
10,11,153,2018-09-20,ATL,PHI,9-GF,,3,1.0,0,0,0,0,3,0,0,2.38,3,11,9,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.08,0.00%,0.49,8.25,12.0,9t --- 0 out a5,9t end a 5,,ATL,0.0,W,8,3
11,12,154,2018-09-21,ATL,PHI,8-8,H(1),0,1.0,0,0,0,0,1,0,0,2.19,3,15,10,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.96,0.073,0.59,0.03%,0.49,4.25,6.0,8t --- 0 out a2,8t 3 out a2,,ATL,0.0,W,6,5
