,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,56,2007-06-05,TBA,TOR,GS-7,,99,7.0,8,6,6,0,5,1,0,7.71,29,90,67,20,14,9,15,3,1,0,42.0,,,0,1,0,29,3,0,0,0,0,1,0.71,0.005,0.31,0.00%,-2.15,1b start tie,7b 3 out a4,,TOR,1.1428571428571428,L,11,12
1,2,61,2007-06-10,TBA,FLA,GS-7,W(1-0),4,7.0,7,2,2,0,10,2,0,5.14,27,99,71,22,15,4,13,2,1,0,65.0,,,0,1,0,27,1,0,0,0,0,0,0.66,0.19899999999999998,0.26,0.05%,1.57,1b start tie,7b 3 out a4,,FLA,1.0,W,9,4
2,3,66,2007-06-16,TBA,COL,GS-5,L(1-1),5,5.0,6,7,7,2,5,3,0,7.11,23,98,60,14,9,4,12,3,5,0,30.0,,,0,0,0,21,1,0,1,0,0,0,0.7,-0.349,0.23,-0.07%,-4.19,1b start tie,5b 3 out d2,,COL,1.6,L,5,10
3,4,71,2007-06-22,TBA,LAD,GS-7,L(1-2),5,7.0,10,4,4,1,1,1,0,6.58,30,97,63,19,3,12,16,8,2,0,41.0,,,1,0,0,29,2,0,0,2,0,0,0.75,-0.08,0.19,-0.01%,-0.23,1t start tie,7t 3 out d2,,TBD,1.5714285714285714,L,3,6
4,5,76,2007-06-27,TBA,CHW,GS-7,,4,6.1,6,2,2,0,6,0,1,5.85,24,105,72,22,8,7,10,4,2,0,59.0,,,0,0,0,23,0,0,0,2,0,0,1.04,0.192,0.18,0.02%,1.82,1t start tie,7t 12- 1 out a2,,TBD,0.9836065573770492,L,3,5
5,6,81,2007-07-02,TBA,CLE,GS-6,L(1-3),4,6.0,7,3,3,2,3,1,0,5.63,26,101,60,18,6,7,14,2,2,0,47.0,,,0,0,0,23,2,0,0,0,1,0,0.6,-0.064,0.05,0.00%,0.34,1b start tie,6b 3 out d3,,CLE,1.5,L,2,10
6,7,86,2007-07-07,TBA,KCR,GS-7,,4,7.0,6,4,3,1,5,1,0,5.36,27,97,66,17,5,8,13,2,2,0,55.0,,,0,2,0,24,1,1,0,0,1,0,1.1,0.018000000000000002,0.02,0.00%,-0.15,1b start tie,7b 3 out a2,,KCR,1.0,L,7,8
7,8,90,2007-07-14,TBA,NYY,GS-7,L(1-4),6,6.1,9,5,5,1,3,2,0,5.57,29,104,64,21,6,9,16,6,1,0,37.0,,,0,0,0,28,3,0,0,0,0,0,1.13,-0.222,0.01,0.00%,-1.67,1t start tie,7t -23 1 out d1,,TBD,1.639344262295082,L,4,6
8,9,94,2007-07-19,TBA,LAA,GS-7,L(1-5),4,7.0,8,3,3,0,6,0,1,5.37,28,109,81,20,16,11,10,4,1,0,55.0,,,0,1,0,27,3,0,0,1,0,0,0.9,0.004,0.01,0.00%,0.77,1t start tie,7t 3 out d3,,TBD,1.1428571428571428,L,0,3
9,10,100,2007-07-25,TBA,BAL,GS-6,L(1-6),5,6.0,7,5,5,3,4,0,0,5.57,28,106,68,25,5,5,16,4,1,0,39.0,,,0,0,0,24,1,0,0,0,1,0,0.7,-0.19,0.0,0.00%,-1.66,1b start tie,6b 3 out d4,,BAL,1.6666666666666667,L,1,6
