Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,77,2011-06-24,SDP,ATL,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,3,12,8,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.43,9t --- 0 out a9,9t end a 9,,SDP,0.0,W,11,2
2,78,2011-06-25,SDP,ATL,7-7,,0,1.0,0,0,0,0,2,0,0,0.00,3,14,9,2,4,0,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.67,0.048,.12,0.01%,0.79,7t 1-- 0 out d2,7t 3 out d2,,SDP,0.0,L,1,10
3,79,2011-06-26,SDP,ATL,6-7,,0,1.1,0,0,0,0,2,0,0,0.00,4,13,9,4,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.11,0.107,.17,0.01%,0.63,6t --- 0 out tie,7t --- 1 out tie,,SDP,0.0,W,4,1
4,82,2011-06-29,SDP,KCR,8-8,H(1),2,0.2,2,0,0,0,0,0,0,0.00,4,14,10,5,1,0,4,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.69,-0.004,.14,0.00%,-0.03,8t --- 0 out a3,8t 1-3 2 out a3,,SDP,10.0,W,4,1
5,85,2011-07-03,SDP,SEA,8-GF(8),,3,1.0,1,0,0,0,1,0,0,0.00,4,14,11,2,4,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.012,.04,0.00%,0.45,8b --- 0 out d2,8b end d 2,,SEA,1.0,L,1,3
6,86,2011-07-04,SDP,SFG,6-6,H(2),0,0.2,0,0,0,1,0,0,0,0.00,3,12,6,1,1,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.11,0.044,.36,0.01%,0.22,6b --- 1 out a1,6b 3 out a1,,SFG,5.0,W,5,3
7,88,2011-07-06,SDP,SFG,11-11,,1,1.0,1,0,0,0,1,0,0,0.00,3,10,7,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.21,0.121,.96,0.03%,0.42,11b --- 0 out tie,11b 3 out tie,,SFG,1.0,L,5,6
8,90,2011-07-08,SDP,LAD,8-GF(8),,1,0.2,0,0,0,1,1,0,0,0.00,3,11,4,0,2,0,1,0,0,0,,2,0,0,0,0,2,0,0,1,0,0,0,1.20,0.065,.24,0.01%,1.13,8b 1-3 1 out d1,8b end d 1,,LAD,5.0,L,0,1
9,91,2011-07-09,SDP,LAD,7-7,,0,0.1,0,0,0,0,1,0,0,0.00,1,5,4,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.50,0.037,.26,0.00%,0.21,7b --- 0 out tie,7b --- 1 out tie,,LAD,0.0,L,0,1
10,92,2011-07-10,SDP,LAD,8-8,,0,0.1,1,1,1,0,0,1,0,1.13,2,3,3,0,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.21,-0.028,.03,0.00%,-0.79,8b --- 0 out d2,8b --- 1 out d3,,LAD,10.0,L,1,4
11,93,2011-07-14,SDP,SFG,11-11,,3,0.1,0,0,0,0,0,0,0,1.08,1,6,3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.20,0.029,.17,0.00%,0.09,11t --- 2 out tie,11t 3 out tie,,SDP,0.0,L,2,6
12,95,2011-07-16,SDP,SFG,8-8,,1,1.0,1,0,0,0,1,0,0,0.96,4,15,11,5,1,2,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.01,0.000,.00,0.00%,0.43,8t --- 0 out a9,8t 3 out a9,,SDP,1.0,W,11,3
