Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
6,79,2001-06-30,SEA,ANA,GS-6,W(1-0),99,5.2,8,3,3,1,4,1,0,4.76,26,96,65,16,12,5,16,6,1,0,44,,,1,0,0,24,0,1,0,0,1,0,1.16,-0.096,.03,0.00%,-0.49,1b start tie,6b 123 2 out a1,,ANA,1.7307692307692306,W,5,3
7,84,2001-07-05,SEA,TEX,GS-4,L(1-1),4,3.0,9,9,9,0,1,2,0,12.46,18,70,47,13,4,5,12,4,0,0,6,,,0,0,0,18,2,1,0,0,0,0,.75,-0.376,.00,0.00%,-6.64,1b start a 1,4b 1-3 0 out d6,,TEX,3.0,L,2,14
8,149,2001-09-22,SEA,OAK,3-5,,78,3.0,3,3,3,2,5,2,0,11.57,14,58,36,14,6,3,4,1,1,0,,0,0,0,0,0,12,0,0,0,0,0,0,.18,-0.037,.00,0.00%,-1.39,3b --- 0 out d6,5b 3 out d7,,OAK,1.6666666666666667,L,2,11
9,161,2001-10-06,SEA,TEX,GS-3,,13,3.0,1,0,0,1,2,0,0,9.20,10,39,22,7,3,4,3,1,0,0,58,,,0,0,0,9,1,0,0,1,0,0,1.02,0.159,.00,0.00%,1.54,1t start tie,3t 3 out a1,,SEA,0.6666666666666666,W,1,0
10,38,2002-05-13,COL,FLA,GS-6,W(1-0),99,6.0,2,0,0,2,2,0,0,0.00,20,76,41,10,4,8,8,0,4,0,68,,,2,1,0,18,0,0,0,1,0,0,1.01,0.365,.60,0.13%,3.42,1t start tie,6t 3 out a2,,COL,0.6666666666666666,W,7,3
11,43,2002-05-18,COL,ATL,GS-7,W(2-0),4,7.0,4,1,1,1,5,1,0,0.69,26,80,53,13,9,8,12,4,1,0,69,,,0,0,0,25,0,0,0,1,0,1,.74,0.186,.41,0.06%,2.99,1t start tie,7t 3 out a6,,COL,0.7142857142857143,W,7,3
12,48,2002-05-24,COL,SFG,GS-5,W(3-0),5,5.0,6,2,2,4,3,0,0,1.50,23,95,51,16,3,6,10,6,0,0,46,,,0,0,0,19,3,0,0,0,0,0,1.17,0.113,.97,0.06%,0.85,1t start tie,5t 3 out a4,,COL,2.0,W,8,5
13,53,2002-05-29,COL,SDP,GS-6,L(3-1),4,5.1,5,8,6,7,2,1,0,3.47,29,99,55,15,6,11,9,4,0,0,25,,,0,0,0,20,0,1,0,1,0,2,.88,-0.481,.88,-0.29%,-4.83,1b start tie,6b 123 1 out d3,,SDP,2.3529411764705883,L,3,11
14,58,2002-06-03,COL,LAD,GS-7,,4,6.1,5,2,2,2,4,0,0,3.34,26,100,67,11,7,5,15,7,3,0,57,,,0,0,0,24,2,1,0,0,0,0,.88,0.136,1.09,0.10%,1.26,1t start tie,7t -2- 1 out a2,,COL,1.1475409836065575,L,5,11
15,64,2002-06-10,COL,BOS,6-7,,6,2.0,2,1,1,2,1,0,0,3.41,10,43,20,9,0,3,4,1,1,0,,0,0,2,0,0,8,0,0,0,0,0,0,.16,-0.014,.10,-0.01%,0.12,6b --- 0 out d4,7b 3 out d5,,BOS,2.0,L,3,7
