Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,106,2012-08-03,OAK,TOR,GS-6,,99,6.0,5,1,1,1,5,0,0,1.50,24,102,70,18,13,5,13,4,4,0,62,,,0,0,0,22,2,0,0,0,1,0,1.00,0.205,1.50,0.19%,1.83,1t start tie,6t 3 out a3,,OAK,1.0,W,5,4,,
2,111,2012-08-08,OAK,LAA,GS-5,,4,4.2,8,5,5,1,5,4,0,5.06,23,103,64,21,5,3,14,5,3,0,32,,,1,0,0,22,0,0,0,0,0,0,1.06,-0.369,1.78,-0.37%,-2.74,1t start tie,5t --- 2 out d1,,OAK,2.142857142857143,W,9,8,,
3,117,2012-08-16,OAK,KCR,GS-7,W(1-0),7,6.1,3,0,0,2,2,0,0,3.18,23,99,67,18,5,8,11,1,3,0,67,,,0,1,0,21,0,0,0,0,0,0,1.18,0.363,1.49,0.27%,3.01,1b start tie,7b 1-- 1 out a2,,KCR,0.819672131147541,W,3,0,,
4,141,2012-09-11,OAK,LAA,GS-7,W(2-0),25,6.2,7,3,3,1,8,2,1,3.42,29,104,70,16,18,5,14,5,1,0,55,,,1,0,0,27,0,0,0,0,0,0,1.09,0.033,2.20,0.04%,0.16,1b start tie,7b --- 2 out a1,,LAA,1.2903225806451613,W,6,5,,
5,146,2012-09-16,OAK,BAL,GS-5,L(2-1),4,4.2,5,4,4,5,1,2,0,4.13,24,92,51,14,6,8,10,2,3,0,34,,,0,0,0,18,1,0,1,0,0,0,1.04,-0.281,1.57,-0.26%,-2.39,1t start tie,5t 123 2 out d2,,OAK,2.380952380952381,L,5,9,,
6,153,2012-09-24,OAK,TEX,GS-7,,7,6.2,5,2,1,2,8,1,1,3.60,29,99,59,15,13,7,11,3,3,0,64,,,0,0,0,26,2,0,0,0,0,2,1.32,0.227,3.19,0.33%,1.67,1b start tie,7b --- 2 out a2,,TEX,1.129032258064516,L,4,5,,
7,158,2012-09-29,OAK,SEA,GS-5,,4,4.1,3,4,3,4,3,2,0,3.89,20,74,39,12,3,2,11,2,2,0,42,,,1,0,0,16,0,0,0,0,0,0,.72,-0.247,1.56,-0.32%,-2.80,1t start tie,5t 1-3 1 out d3,,OAK,1.707317073170732,W,7,4,,
8,5,2013-04-05,OAK,HOU,GS-7,W(1-0),99,6.2,5,2,2,0,11,0,0,2.70,25,102,69,12,25,5,9,2,4,0,67,,,0,0,0,25,2,0,0,0,0,0,.50,0.236,.53,0.15%,2.05,1b start a 1,7b -2- 2 out a7,,HOU,0.8064516129032258,W,8,3,,
9,27,2013-04-29,OAK,LAA,GS-5,,23,4.2,7,6,6,1,6,2,1,6.35,23,88,55,13,15,5,10,6,0,0,31,,,0,0,0,20,1,0,0,0,1,1,.86,-0.342,1.03,-0.25%,-3.94,1t start tie,5t -2- 2 out d5,,OAK,1.9047619047619047,W,10,8,,
10,32,2013-05-05,OAK,NYY,GS-6,,5,5.1,4,3,3,3,4,0,0,5.94,22,85,60,9,9,4,11,4,3,0,49,,,1,0,0,19,1,0,0,0,0,0,1.21,0.092,1.34,0.06%,1.01,1b start tie,6b 12- 1 out a3,,NYY,1.3725490196078431,W,5,4,,
11,37,2013-05-10,OAK,SEA,GS-6,L(1-1),4,5.0,6,6,6,4,4,1,0,7.06,25,95,58,21,6,10,7,0,0,0,31,,,1,0,0,21,2,0,0,0,0,0,.61,-0.304,.73,-0.22%,-4.14,1b start tie,6b 1-- 0 out d4,,SEA,2.0,L,3,6,,
12,42,2013-05-15,OAK,TEX,GS-5,L(1-2),4,4.1,4,5,4,4,2,0,2,7.27,22,87,47,21,6,7,7,3,0,0,35,,,3,1,0,16,0,0,0,1,0,1,1.10,-0.172,1.36,-0.13%,-1.79,1t start tie,5t 1-3 1 out d3,,OAK,1.9512195121951221,L,2,6,,
13,47,2013-05-21,OAK,TEX,GS-7,W(2-2),5,7.0,2,0,0,0,5,0,0,5.73,22,88,63,12,10,8,9,1,1,0,78,,,0,1,1,22,0,0,0,0,0,0,1.06,0.494,1.59,0.45%,3.49,1b start tie,7b 3 out a1,,TEX,0.2857142857142857,W,1,0,,
14,52,2013-05-27,OAK,SFG,GS-6,W(3-2),5,6.0,4,1,1,1,1,0,0,5.08,23,78,52,13,5,8,13,4,1,0,60,,,0,0,0,22,0,0,0,0,0,0,1.23,0.224,1.46,0.16%,1.85,1t start tie,6t 3 out a1,,OAK,0.8333333333333334,W,4,1,,
15,57,2013-06-01,OAK,CHW,GS-6,,4,6.0,6,1,1,0,8,0,0,4.60,24,91,67,21,16,6,10,2,1,0,64,,,0,0,0,24,1,0,0,0,0,0,1.18,0.242,1.57,0.19%,1.85,1t start tie,6t 3 out a2,,OAK,1.0,W,4,3,,
16,62,2013-06-06,OAK,CHW,GS-7,,4,7.0,6,4,4,2,3,0,0,4.67,28,95,58,10,8,4,19,8,3,0,50,,,2,0,0,26,2,0,0,0,0,0,.89,-0.066,1.15,-0.05%,-0.48,1b start tie,7b 3 out tie,,CHW,1.1428571428571428,W,5,4,,
17,67,2013-06-12,OAK,NYY,GS-7,W(4-2),5,6.2,3,2,2,1,3,0,1,4.45,26,85,61,21,8,12,9,3,3,0,62,,,1,0,0,23,0,0,0,0,1,1,.99,0.146,1.36,0.12%,1.01,1t start tie,7t -2- 2 out a1,,OAK,0.6451612903225806,W,5,2,,
18,72,2013-06-17,OAK,TEX,GS-5,,4,4.2,8,6,6,1,1,2,0,4.97,23,82,55,18,3,4,17,9,0,0,24,,,1,0,0,22,3,0,0,0,0,0,1.08,-0.306,2.06,-0.35%,-2.83,1b start tie,5b -2- 2 out a1,,TEX,2.142857142857143,L,7,8,,
19,77,2013-06-22,OAK,SEA,GS-4,,4,3.1,6,2,2,3,5,1,0,5.00,19,78,47,9,9,4,7,3,0,0,42,,,0,0,0,16,2,0,0,0,0,0,1.11,-0.113,1.53,-0.09%,-0.85,1b start tie,4b -2- 1 out d1,,SEA,2.903225806451613,L,5,7,,
20,86,2013-07-04,OAK,CHC,GS-7,W(5-2),11,7.0,1,0,0,3,6,0,0,4.52,23,87,56,21,11,4,10,4,2,0,78,,,0,1,0,20,0,0,0,0,0,0,.97,0.433,1.37,0.36%,3.32,1t start tie,7t 3 out tie,,OAK,0.5714285714285714,W,1,0,,
21,91,2013-07-09,OAK,PIT,GS-7,W(6-2),4,6.1,2,1,1,3,7,1,0,4.28,23,89,57,11,13,8,5,1,0,0,69,,,1,0,0,19,0,0,0,1,0,0,1.07,0.170,1.49,0.14%,1.33,1b start tie,7b -2- 1 out a1,,PIT,0.819672131147541,W,2,1,,
22,97,2013-07-20,OAK,LAA,GS-7,L(6-3),10,7.0,8,2,2,0,4,1,1,4.14,29,97,71,21,11,9,15,7,1,0,57,,,0,0,0,27,1,0,0,1,1,0,.80,0.072,1.19,0.06%,1.19,1b start tie,7b 3 out d2,,LAA,1.1428571428571428,L,0,2,,
23,102,2013-07-25,OAK,LAA,GS-5,L(6-4),4,4.1,7,5,5,2,5,0,1,4.43,23,84,54,12,13,4,11,8,0,0,32,,,0,0,0,19,1,0,0,0,1,0,1.16,-0.431,1.59,-0.35%,-3.29,1t start tie,5t -2- 1 out d3,,OAK,2.1951219512195124,L,3,8,,
24,107,2013-07-30,OAK,TOR,GS-5,L(6-5),4,4.2,6,5,2,2,2,2,0,4.41,23,96,61,17,6,9,10,7,2,0,38,,,0,0,0,21,0,0,0,0,0,1,.83,-0.183,.72,-0.10%,-2.05,1t start tie,5t 12- 2 out d4,,OAK,1.9047619047619047,L,0,5,,
25,112,2013-08-06,OAK,CIN,GS-4,L(6-6),6,4.0,6,2,2,1,3,1,0,4.41,18,75,48,9,9,5,9,5,2,0,44,,,0,0,0,17,0,0,0,1,0,0,.97,-0.069,1.58,-0.07%,-0.21,1b start tie,4b 3 out d2,,CIN,1.75,L,1,3,,
26,117,2013-08-12,OAK,TOR,GS-8,,5,7.1,6,1,1,3,5,0,0,4.19,29,94,60,14,11,10,11,1,5,0,64,,,0,1,0,25,0,0,0,1,0,0,1.40,0.312,2.60,0.35%,2.78,1b start a 1,8b 1-3 1 out a1,,TOR,1.267605633802817,W,5,1,,
27,122,2013-08-17,OAK,CLE,GS-6,L(6-7),4,5.2,6,3,3,4,7,1,0,4.22,25,103,58,27,7,3,11,5,2,0,48,,,0,1,0,21,4,0,0,0,0,0,.71,-0.089,1.43,-0.11%,-0.47,1t start tie,6t -2- 2 out d3,,OAK,1.923076923076923,L,1,7,,
28,127,2013-08-23,OAK,BAL,GS-4,,5,3.1,4,6,6,4,2,2,0,4.56,18,79,41,10,2,4,8,0,2,0,26,,,0,0,0,14,0,0,0,0,0,0,1.45,-0.490,3.25,-0.66%,-4.27,1b start a 1,4b --- 1 out d3,,BAL,2.5806451612903225,L,7,9,,
29,132,2013-08-28,OAK,DET,GS-6,W(7-7),4,6.0,8,1,1,2,4,1,0,4.41,26,103,64,14,11,8,12,2,2,0,54,,,1,0,0,24,1,0,0,1,0,0,.86,0.141,1.79,0.18%,2.02,1b start tie,6b 3 out a9,,DET,1.6666666666666667,W,14,4,,
30,137,2013-09-02,OAK,TEX,GS-5,W(8-7),4,5.0,3,2,2,3,4,1,0,4.38,21,91,54,12,10,2,12,3,3,0,54,,,0,0,0,18,1,0,0,0,0,0,.97,0.004,2.75,0.01%,0.37,1t start tie,5t 3 out tie,,OAK,1.2,W,4,2,,
31,142,2013-09-07,OAK,HOU,GS-7,W(9-7),4,7.0,2,0,0,1,7,0,0,4.15,23,103,67,15,20,8,7,2,1,0,79,,,0,0,0,22,1,0,0,0,0,0,.99,0.450,1.76,0.48%,3.32,1t start tie,7t 3 out a1,,OAK,0.42857142857142855,W,2,1,,
32,147,2013-09-13,OAK,TEX,GS-6,W(10-7),5,5.2,2,2,2,4,4,0,1,4.11,25,104,61,22,6,6,10,2,4,0,57,,,0,0,0,19,0,0,0,0,1,1,.84,0.027,1.48,0.03%,0.22,1b start a 3,6b 123 2 out a7,,TEX,1.1538461538461537,W,9,8,,
33,153,2013-09-19,OAK,MIN,GS-6,,5,5.2,3,3,2,3,6,0,0,4.08,24,105,66,13,16,6,9,4,1,0,56,,,0,0,0,21,0,0,0,1,0,1,1.46,0.140,.45,0.03%,1.36,1t start tie,6t 1-3 2 out a1,,OAK,1.1538461538461537,W,8,6,,
34,159,2013-09-25,OAK,LAA,GS-7,L(10-8),5,6.2,7,3,1,2,5,0,0,3.96,28,100,65,12,14,13,8,3,4,0,55,,,1,0,0,24,0,0,0,1,0,1,.98,-0.064,.23,-0.01%,0.09,1b start tie,7b --- 2 out d2,,LAA,1.4516129032258065,L,1,3,,
35,5,2014-04-05,OAK,SEA,GS-6,L(0-1),99,6.0,6,3,3,1,7,2,0,4.50,25,91,59,13,12,3,14,3,5,0,54,,,0,0,0,24,2,0,1,0,0,0,.89,-0.103,.95,-0.07%,-0.27,1t start tie,6t 3 out d3,,OAK,1.1666666666666667,L,1,3,,
36,9,2014-04-10,OAK,MIN,GS-7,W(1-1),4,7.0,3,1,1,2,5,1,0,2.77,25,100,60,16,10,10,8,3,0,0,70,,,0,0,0,23,0,0,0,1,0,0,.75,0.155,.82,0.10%,2.31,1b start tie,7b 3 out a5,,MIN,0.7142857142857143,W,6,1,,
37,14,2014-04-15,OAK,LAA,GS-4,,4,3.2,7,6,6,1,3,1,0,5.40,19,67,43,10,12,7,8,2,1,0,25,,,1,0,0,18,2,0,0,0,0,0,1.11,-0.535,1.50,-0.44%,-4.33,1b start tie,4b --- 2 out d3,,LAA,2.5,W,10,9,,
38,19,2014-04-21,OAK,TEX,GS-5,,5,5.0,6,3,3,2,6,1,1,5.40,23,84,50,16,8,3,11,9,2,0,47,,,0,1,0,20,1,0,0,0,0,0,1.29,-0.108,1.91,-0.10%,-0.72,1t start tie,5t 3 out tie,,OAK,1.6,L,3,4,,
39,24,2014-04-26,OAK,HOU,GS-7,,4,6.1,4,3,3,2,7,2,0,5.14,24,89,54,14,15,7,8,1,0,0,58,,,0,0,0,22,1,0,0,0,0,0,.81,-0.065,.99,-0.05%,-0.24,1b start a 2,7b 1-- 1 out tie,,HOU,0.9836065573770493,L,6,7,,
40,29,2014-05-02,OAK,BOS,GS-5,L(1-2),5,4.1,4,2,2,3,3,0,0,5.01,20,82,40,13,5,3,11,2,1,0,47,,,1,0,0,17,3,0,0,0,0,0,1.00,-0.114,1.27,-0.09%,-0.97,1b start tie,5b -23 1 out d1,,BOS,1.707317073170732,L,1,7,,
41,34,2014-05-07,OAK,SEA,GS-6,,4,6.0,3,3,3,4,3,2,0,4.93,23,95,56,12,14,6,10,2,1,0,53,,,2,0,0,18,0,0,0,1,1,0,.97,-0.121,1.47,-0.11%,-0.27,1t start tie,6t 3 out d2,1,OAK,1.1666666666666667,L,4,6,,
