,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,137,2018-09-02,NYA,DET,9-GF,,99,1.0,3,3,3,2,1,0,0,27.0,8,25,12,4,2,3,2,2,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,0,0.18,-0.031,0.04,0.00%,-2.49,-4.75,-3.0,9t --- 0 out d3,9t end d 6,,NYY,5.0,L,7,11
1,2,140,2018-09-05,NYA,OAK,8-8,,2,0.2,1,0,0,0,2,0,0,16.2,3,11,9,3,2,0,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.27,4.9,8.0,8b --- 0 out d6,8b 1-- 2 out d6,,OAK,5.0,L,2,8
2,3,145,2018-09-11,NYA,MIN,7-GF(8),,5,2.0,1,0,0,1,0,0,0,7.36,8,28,17,5,0,3,4,3,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.04,0.005,0.01,0.00%,1.03,3.3,6.0,7b --- 0 out d5,8b end d 5,,MIN,1.0,L,5,10
3,4,148,2018-09-15,NYA,TOR,7-7,,3,0.1,1,0,0,0,0,0,0,6.75,2,3,2,0,0,1,1,1,0,0,,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0.13,-0.006,0.03,0.00%,-0.49,0.15,1.0,7t 1-3 2 out d6,7t 3 out d7,,NYY,10.0,L,7,8
4,5,152,2018-09-20,NYA,BOS,9-GF,,4,0.2,0,0,0,1,2,0,0,5.79,3,14,9,4,2,0,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.03,0.001,0.0,0.00%,0.27,4.9,8.0,9t --- 1 out d5,9t end d 5,,NYY,5.0,L,6,11
5,6,153,2018-09-21,NYA,BAL,8-8,,0,0.1,0,0,0,0,1,0,0,5.4,1,5,3,0,3,0,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.28,0.006999999999999999,0.05,0.00%,0.24,2.75,4.0,8t --- 0 out a5,8t --- 1 out a5,,NYY,0.0,W,10,8
6,7,156,2018-09-24,NYA,TBR,2-2,,2,1.0,0,0,0,0,1,0,0,4.5,3,10,8,3,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.67,0.051,0.14,0.01%,0.5,4.25,6.0,2b --- 0 out tie,2b 3 out tie,,TBR,0.0,W,4,1
7,8,157,2018-09-25,NYA,TBR,7-7,,0,0.2,0,0,0,0,1,0,0,4.05,2,9,6,2,2,0,1,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.1,0.005,0.02,0.00%,0.26,3.5,5.0,7b --- 1 out a6,7b 3 out a6,,TBR,0.0,W,9,2
8,9,161,2018-09-29,NYA,BOS,2-2,,3,0.2,0,0,0,0,1,0,0,3.68,2,14,8,3,1,0,1,0,0,0,,2.0,0.0,2,0,0,2,0,0,0,0,0,0,1.84,0.091,0.0,0.00%,0.94,3.5,5.0,2b 12- 1 out tie,2b 3 out tie,,BOS,0.0,W,8,5
9,10,162,2018-09-30,NYA,BOS,5-6,,0,1.2,0,0,0,2,4,0,0,3.0,8,34,20,7,3,2,0,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.02,0.002,0.0,0.00%,0.61,10.55,17.0,5b --- 0 out d8,6b 12- 2 out d8,,BOS,1.6666666666666667,L,2,10
