Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,34,2005-05-10,PHI,MIL,8-GF(8),,99,1.0,0,0,0,2,0,0,0,0.00,4,24,11,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.17,0.007,.12,0.00%,0.51,8b --- 0 out d3,8b end d 3,,MIL,2.0,L,5,8
2,37,2005-05-13,PHI,CIN,9-GF,,2,1.0,1,0,0,0,1,0,0,0.00,4,19,11,3,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.53,9t --- 0 out a10,9t end a10,,PHI,1.0,W,12,2
3,41,2005-05-18,PHI,STL,7-GF,,4,3.0,0,0,0,2,4,0,1,0.00,12,52,29,7,10,3,2,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.08,0.016,.06,0.01%,1.60,7t --- 0 out d5,9t end d 4,,PHI,0.6666666666666666,L,4,8
4,46,2005-05-23,PHI,FLA,8-GF(8),,4,0.2,1,0,0,1,1,0,0,0.00,4,21,10,3,3,0,2,1,1,0,,1,0,0,0,0,3,1,0,1,0,0,0,.19,0.006,.16,0.00%,0.50,8b 1-- 1 out d3,8b end d 3,,FLA,10.0,L,2,5
5,50,2005-05-28,PHI,ATL,6-6,H(1),4,1.0,0,0,0,0,0,0,0,0.00,3,7,5,0,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.075,.91,0.04%,0.51,6b --- 0 out a2,6b 3 out a2,,ATL,0.0,W,12,5
6,51,2005-05-29,PHI,ATL,7-8,,0,1.0,1,3,2,2,1,0,0,2.35,7,25,16,5,3,2,2,0,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.29,-0.026,.30,-0.02%,-2.33,7b --- 0 out d2,8b 123 0 out d3,,ATL,3.0,L,2,7
7,53,2005-06-01,PHI,SFG,6-6,,2,0.1,0,0,0,2,0,0,0,2.25,3,15,7,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.07,0.001,.95,0.00%,-0.09,6t -2- 1 out d2,6t 123 2 out d2,,PHI,20.0,W,10,6
8,55,2005-06-04,PHI,ARI,6-8,,2,2.0,1,3,3,3,2,1,1,4.50,10,46,22,8,1,0,4,0,2,0,,0,0,0,1,0,6,0,0,0,0,0,0,.09,0.007,.10,0.01%,-1.33,6t --- 0 out a7,8t 1-- 0 out a7,1,PHI,2.0,W,10,6
9,60,2005-06-08,PHI,TEX,GS-5,,3,5.0,2,0,0,2,4,0,0,3.00,18,81,49,9,9,5,7,2,1,0,65,,,0,0,0,16,1,0,0,1,0,0,.90,0.287,1.05,0.20%,2.66,1t start tie,5t 3 out tie,,PHI,0.8,W,2,0
10,68,2005-06-17,PHI,OAK,GS-6,W(1-0),8,5.2,4,0,0,3,1,0,0,2.18,23,84,48,18,2,9,10,4,0,0,59,,,0,0,0,20,1,0,0,1,0,0,1.43,0.277,2.00,0.23%,2.55,1b start tie,6b -23 2 out a1,,OAK,1.346153846153846,W,6,1
