,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,44,2009-05-22,,FLA,7-GF,S(1),99,3.0,3,1,1,0,0,0,0,3.0,12,45,30,5,2,2,10,2,1,0,,0,0,0,0,0,12,1,0,0,0,0,0,0.0,0.001,0.0,0.00%,0.52,7b --- 0 out a14,9b end a13,,FLA,1.0,W,15,2
1,2,47,2009-05-25,,CLE,8-9,,2,1.1,5,4,2,1,0,0,0,6.23,9,38,22,4,0,3,5,3,1,0,,0,0,0,0,0,8,0,0,0,1,0,0,0.15,-0.004,0.15,0.00%,-1.9,8b --- 0 out a8,9b 12- 1 out a6,,CLE,5.454545454545454,L,10,11
2,3,49,2009-05-27,,CLE,8-GF(8),,1,1.0,0,0,0,0,0,0,0,5.06,3,10,7,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.52,8b --- 0 out d5,8b end d 5,,CLE,0.0,L,7,12
3,4,96,2009-07-23,,CHW,8-GF(8),,56,1.0,0,0,0,0,1,0,0,4.26,3,10,7,4,0,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.03,0.00%,0.57,8b --- 0 out d5,8b end d 5,,CHW,0.0,L,0,5
4,5,98,2009-07-25,,TOR,6-6,,1,0.2,0,0,0,0,0,0,0,3.86,2,9,6,3,0,0,2,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,0.03,0.002,0.04,0.00%,0.96,6b 12- 1 out d8,6b 3 out d8,,TOR,0.0,W,10,9
5,6,99,2009-07-26,,TOR,8-8,,0,0.2,1,0,0,0,1,0,0,3.52,3,13,9,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.06,0.002,0.08,0.00%,0.3,8b --- 0 out d4,8b 1-- 2 out d4,,TOR,5.0,L,1,5
6,7,141,2009-09-12,,BOS,3-4,,47,1.1,2,1,1,0,2,1,0,4.0,6,16,14,6,1,1,3,1,0,0,,1,1,1,0,0,6,0,0,0,0,0,0,0.08,-0.013999999999999999,0.0,0.00%,-1.08,3b -2- 2 out d7,4b 3 out d9,,BOS,1.818181818181818,L,1,9
7,8,154,2009-09-26,,TEX,5-6,,13,1.1,3,1,1,0,1,1,0,4.35,7,32,20,5,1,1,5,2,1,0,,2,0,0,0,0,7,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.04,5b 12- 2 out d9,6b 3 out d10,,TEX,2.727272727272727,L,3,15
8,9,156,2009-09-28,,BAL,7-7,,1,0.1,0,0,0,0,0,0,0,4.22,1,4,2,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.6,0.016,0.0,0.00%,0.34,7t -2- 2 out d3,7t 3 out d3,,TBR,0.0,W,7,6
9,10,160,2009-10-02,,NYY,8-8,,3,1.0,2,2,2,0,1,1,0,5.4,5,20,13,2,3,1,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,-1.47,8t --- 0 out a11,8t 3 out a9,,TBR,2.0,W,13,4
10,11,162,2009-10-04,,NYY,7-8,,1,2.0,2,0,0,0,2,0,0,4.61,8,33,20,5,3,2,4,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.02,0.002,0.0,0.00%,1.06,7t --- 0 out d8,8t 3 out d8,,TBR,1.0,L,2,10
