,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,1,2014-03-31,ATL,MIL,7-7,,99,0.1,1,0,0,0,0,0,0,0.0,2,7,6,2,1,2,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.32,-0.001,0.32,0.00%,-0.03,7b --- 0 out d2,7b 1-- 1 out d2,,MIL,10.0,L,0,2
1,2,5,2014-04-05,ATL,WSN,8-8,,4,1.0,1,0,0,0,2,0,0,0.0,4,22,14,2,4,0,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.33,0.024,0.39,0.02%,0.46,8b --- 0 out a4,8b 3 out a4,,WSN,1.0,W,6,2
2,3,7,2014-04-08,ATL,NYM,8-8,,2,0.1,2,1,1,0,0,0,0,5.4,3,9,6,2,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.2,-0.008,0.22,-0.01%,-0.4,8t --- 0 out d3,8t 12- 1 out d3,,ATL,20.0,L,0,4
3,4,9,2014-04-10,ATL,NYM,9-GF,,1,1.0,0,0,0,0,3,0,0,3.38,3,16,10,3,4,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.18,0.013000000000000001,0.2,0.01%,0.43,9t --- 0 out d2,9t end d 2,,ATL,0.0,L,4,6
4,5,12,2014-04-13,ATL,WSN,7-7,,2,1.0,0,0,0,0,1,0,0,2.45,3,12,10,7,0,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.17,0.013000000000000001,0.23,0.01%,0.43,7t --- 0 out a5,7t 3 out a5,,ATL,0.0,W,10,2
5,6,13,2014-04-14,ATL,PHI,7-7,H(1),0,0.2,0,0,0,0,0,0,0,2.08,3,12,7,3,0,2,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,1,1.4,0.053,1.73,0.04%,0.24,7b --- 0 out a1,7b 1-- 2 out a1,,PHI,0.0,W,9,6
6,7,18,2014-04-20,ATL,NYM,7-7,,5,1.0,1,0,0,0,0,0,0,1.69,4,11,7,3,0,2,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.2,0.08,1.66,0.07%,0.42,7b --- 0 out tie,7b 3 out tie,,NYM,1.0,L,3,4
7,8,24,2014-04-27,ATL,CIN,10-GF(10),W(1-0),6,0.1,0,0,0,0,0,0,0,1.59,1,6,3,1,1,0,1,0,1,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,4.35,0.107,5.42,0.08%,0.4,10t 12- 2 out tie,10t end tie,,ATL,0.0,W,1,0
8,9,27,2014-05-01,ATL,MIA,7-7,HL(1-1),3,0.1,2,2,2,0,0,0,0,4.5,3,15,9,4,0,0,3,2,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,3.03,-0.084,4.02,-0.07%,-0.41,7b --- 0 out a1,7b 12- 1 out a1,,MIA,20.0,L,4,5
9,10,28,2014-05-02,ATL,SFG,7-7,,0,0.1,0,0,0,2,0,0,0,4.26,3,13,5,1,1,1,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.37,-0.092,1.71,-0.07%,-0.9,7t --- 0 out d1,7t -23 1 out d1,,ATL,20.0,L,1,2
10,11,36,2014-05-11,ATL,CHC,7-7,H(3),8,0.2,0,0,0,1,2,0,0,3.86,3,12,6,2,4,0,0,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,2.44,0.09699999999999999,2.94,0.07%,0.47,7t 1-- 1 out a1,7t 3 out a1,,ATL,5.0,W,5,2
11,12,38,2014-05-13,ATL,SFG,7-8,,1,0.2,1,0,0,0,2,0,0,3.52,3,8,7,3,2,0,1,1,0,0,,2.0,0.0,0,0,0,3,1,0,0,0,0,0,0.31,0.01,0.38,0.01%,0.2,7b 12- 2 out a5,8b -2- 1 out a5,,SFG,5.0,W,5,0
12,13,40,2014-05-16,ATL,STL,8-GF(8),,2,0.2,0,0,0,0,1,0,0,3.24,2,14,8,3,1,1,0,0,0,0,,2.0,0.0,1,0,0,2,0,0,0,0,0,0,0.22,0.013000000000000001,0.28,0.01%,1.13,8b 1-3 1 out d3,8b end d 3,,STL,0.0,L,2,5
13,14,46,2014-05-22,ATL,MIL,6-6,,5,0.2,0,0,0,1,1,0,0,3.0,2,8,4,1,3,0,0,0,0,0,,2.0,0.0,0,0,1,1,0,0,1,0,0,0,0.74,0.049,0.97,0.04%,1.12,6t 1-3 1 out d3,6t 3 out d3,,ATL,5.0,W,5,4
14,15,50,2014-05-26,ATL,BOS,7-7,L(1-2),3,0.2,2,2,2,2,0,0,0,4.66,6,29,13,4,1,3,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,1,0,2.45,-0.34,3.16,-0.26%,-2.02,7t --- 0 out tie,7t 1-3 2 out d2,,ATL,20.0,L,6,8
15,16,51,2014-05-27,ATL,BOS,9-GF,,0,1.0,0,0,0,0,1,0,0,4.22,3,10,8,4,0,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.1,0.01%,0.43,9t --- 0 out d3,9t end d 3,,ATL,0.0,L,3,6
16,17,13,2015-04-21,ATL,NYM,5-5,,99,1.0,0,0,0,1,0,0,0,0.0,3,10,5,3,0,1,1,0,1,0,,2.0,0.0,0,0,0,2,0,0,0,1,0,0,0.36,0.028999999999999998,0.5,0.02%,1.42,5b 12- 0 out d4,5b 3 out d4,,NYM,1.0,L,1,7
17,18,15,2015-04-23,ATL,NYM,5-5,,1,0.1,0,0,0,2,1,0,0,0.0,3,16,6,4,1,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,2.59,-0.002,3.41,0.00%,-0.1,5b -2- 1 out tie,5b 123 2 out tie,,NYM,20.0,L,3,6
18,19,18,2015-04-26,ATL,PHI,7-7,,2,1.0,1,1,0,0,1,0,0,0.0,5,21,14,3,1,3,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,1,0.84,-0.078,0.88,-0.05%,-0.55,7b --- 0 out d1,7b 3 out d2,,PHI,1.0,L,4,5
19,20,22,2015-04-30,ATL,CIN,9-GF,,3,1.0,1,1,1,0,1,1,0,2.7,4,16,11,4,2,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.03,-0.006,0.03,0.00%,-0.55,9t --- 0 out d4,9t end d 5,,ATL,1.0,L,1,5
20,21,41,2015-05-22,ATL,MIL,6-7,,21,2.0,2,1,1,2,2,0,0,3.38,10,44,25,10,4,0,5,2,1,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.1,6t --- 0 out d10,7t 3 out d11,,ATL,2.0,L,0,11
