Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
75,1,2000-04-03,STL,CHC,8-8,,99,1.0,1,0,0,1,0,0,0,0.00,4,19,8,4,0,1,2,1,0,0,,0,0,0,1,1,3,1,0,0,0,0,0,.21,0.008,.21,0.01%,0.57,8t --- 0 out a6,8t 3 out a6,,STL,2.0,W,7,1
76,4,2000-04-07,STL,MIL,6-7,,3,2.0,0,0,0,1,0,0,0,0.00,7,24,13,4,2,4,2,0,1,0,,0,0,0,1,0,6,0,0,0,0,0,1,.98,0.123,1.15,0.09%,1.13,6t --- 0 out d1,7t 3 out d1,,STL,0.5,L,1,9
77,5,2000-04-08,STL,MIL,7-7,,0,0.0,0,0,0,2,0,0,1,0.00,3,17,8,4,0,0,0,0,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,2.25,-0.188,2.55,-0.13%,-3.00,7t 123 2 out a5,7t 123 2 out a2,,STL,inf,W,10,8
78,9,2000-04-12,STL,HOU,6-6,BS(1),3,1.0,2,1,1,0,0,1,0,2.25,4,16,10,1,2,1,3,1,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,1.32,-0.080,1.68,-0.06%,-0.40,6b --- 0 out a1,6b 3 out tie,,HOU,2.0,L,5,7
79,38,2000-05-16,STL,PHI,9-GF,,33,0.2,0,0,0,0,0,0,0,1.93,2,6,6,3,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.03,0.001,.03,0.00%,0.30,9b --- 1 out a6,9b end a 6,,PHI,0.0,W,8,2
80,40,2000-05-18,STL,PHI,8-8,,1,0.2,0,0,0,0,1,0,0,1.69,2,9,7,2,0,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.73,0.036,.92,0.03%,0.97,8b 12- 1 out a5,8b 3 out a5,,PHI,0.0,W,7,2
81,44,2000-05-23,STL,FLA,9-GF,,4,1.0,1,1,1,0,0,1,0,2.84,4,6,4,0,0,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,.02,0.00%,-0.43,9t --- 0 out a8,9t end a 7,,STL,1.0,W,10,3
82,47,2000-05-26,STL,NYM,7-7,L(0-1),2,0.2,0,2,2,3,0,0,0,5.14,5,20,5,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.58,-0.030,2.15,-0.02%,-0.25,7t --- 0 out tie,7t 123 2 out tie,,STL,15.0,L,2,5
83,48,2000-05-27,STL,NYM,6-7,H(1),0,2.0,1,0,0,2,1,0,0,4.00,9,35,19,6,2,2,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.37,0.161,1.88,0.13%,1.13,6t --- 0 out a1,7t 3 out a2,,STL,1.5,L,8,12
84,52,2000-05-31,STL,ARI,7-7,,3,0.2,0,0,0,1,1,0,0,3.72,3,14,6,3,1,0,1,0,0,0,,2,1,1,0,0,1,0,0,0,0,1,0,.22,-0.005,.31,0.00%,0.26,7b 1-3 1 out d3,7b 3 out d4,,ARI,5.0,L,2,6
85,55,2000-06-03,STL,CLE,8-9,,2,1.1,1,0,0,0,3,0,0,3.27,5,19,13,3,4,1,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.43,0.027,.57,0.02%,0.40,8t --- 0 out d2,9t -2- 1 out d2,,STL,0.9090909090909091,L,2,4
86,57,2000-06-05,STL,KCR,6-7,,1,2.0,2,4,2,2,2,0,0,4.15,11,50,29,12,4,4,3,1,1,0,,0,0,0,0,0,9,1,0,0,0,0,1,.70,-0.170,.91,-0.13%,-2.87,6t --- 0 out d2,7t 3 out d3,,STL,2.0,L,4,7
87,77,2000-06-28,STL,CIN,8-GF(8),,22,1.0,1,0,0,0,1,0,0,3.86,3,12,8,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.10,0.004,.11,0.00%,0.57,8b --- 0 out d4,8b end d 4,,CIN,1.0,L,3,7
88,78,2000-06-29,STL,CIN,9-GF,,0,1.0,0,0,0,0,1,0,0,3.60,3,9,7,0,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,9b --- 0 out a9,9b end a 9,,CIN,0.0,W,12,3
89,80,2000-07-01,STL,HOU,5-7,W(1-1),1,2.1,1,1,0,0,1,0,0,3.12,9,32,20,4,3,3,5,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.09,0.071,.78,0.03%,0.72,5t --- 0 out d1,7t 12- 1 out a3,,STL,0.47619047619047616,W,10,9
90,82,2000-07-04,STL,CIN,7-7,,2,1.0,1,1,1,0,1,1,0,3.44,4,17,12,2,1,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.000,.01,0.00%,-0.43,7t --- 0 out a11,7t 3 out a10,,STL,1.0,W,14,3
91,86,2000-07-08,STL,SFG,5-7,,3,2.2,2,1,1,1,5,0,0,3.43,11,60,35,9,9,2,3,1,0,0,,1,0,0,0,0,10,1,0,0,0,0,0,1.13,0.013,.86,0.01%,0.71,5t 1-- 1 out d2,7t 3 out d2,,STL,1.3636363636363635,L,6,7
92,90,2000-07-15,STL,CHW,5-7,,6,1.2,2,2,2,1,1,0,0,3.97,8,37,21,7,1,3,3,1,1,0,,2,0,0,0,0,7,0,0,0,0,0,0,.70,0.053,.46,0.02%,0.70,5b 12- 2 out d2,7b 12- 1 out d2,,CHW,2.5,L,7,15
93,97,2000-07-22,STL,HOU,4-5,,6,1.1,5,4,4,1,1,0,2,5.25,11,43,22,8,1,1,6,5,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.18,-0.054,.14,-0.03%,-3.41,4b --- 0 out d5,5b 1-- 1 out d9,,HOU,5.454545454545454,L,5,10
94,101,2000-07-27,STL,ARI,6-6,,4,1.0,4,4,0,0,0,1,0,5.04,8,21,14,2,0,3,5,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,1,.15,-0.048,.11,-0.02%,-3.43,6t --- 0 out d5,6t 3 out d9,,STL,4.0,L,5,17
