Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,11,2014-04-12,WSN,ATL,6-7,,99,2.0,2,0,0,0,1,0,0,0.00,8,30,20,1,5,3,4,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.24,0.023,.31,0.02%,0.87,6b --- 0 out d3,7b 3 out d3,,ATL,1.0,L,3,6,,
2,13,2014-04-14,WSN,MIA,8-GF,,1,2.0,2,0,0,1,3,0,0,0.00,9,33,20,5,6,4,1,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.14,0.003,.15,0.00%,0.88,8b --- 0 out a7,9b end a 7,,MIA,1.5,W,9,2,,
3,16,2014-04-17,WSN,STL,6-8,,2,2.2,7,1,1,1,3,0,0,1.35,16,60,39,13,7,6,5,4,0,1,,3,3,0,0,0,15,1,0,0,0,0,0,.12,-0.036,.13,-0.02%,-1.56,6t 123 1 out d4,8t 3 out d8,,WSN,3.6363636363636362,L,0,8,,
4,33,2014-05-06,WSN,LAD,GS-6,L(0-1),18,5.0,7,3,0,0,2,0,0,0.77,21,72,49,16,4,11,8,6,0,0,49,,,0,0,0,21,0,0,0,2,0,1,1.23,-0.064,1.43,-0.05%,-0.52,1t start tie,6t 123 0 out d1,,WSN,1.4,L,3,8,,
5,47,2014-05-22,WSN,PIT,GS-6,L(0-2),15,5.2,4,2,2,5,4,0,1,1.56,27,102,63,17,5,8,9,5,0,0,52,,,1,0,0,21,0,0,1,0,0,0,1.15,-0.052,1.33,-0.04%,0.17,1b start tie,6b 1-3 2 out d1,,PIT,1.7307692307692306,L,1,3,,
6,53,2014-05-30,WSN,TEX,8-GF,,7,2.0,2,0,0,0,1,0,0,1.40,7,23,17,5,2,3,3,1,1,0,,0,0,0,0,0,7,0,0,0,1,0,0,.15,0.006,.14,0.00%,0.92,8t --- 0 out a6,9t end a 7,,WSN,1.0,W,9,2,,
7,60,2014-06-07,WSN,SDP,GS-6,,7,6.0,5,2,2,0,1,0,0,1.78,22,63,42,10,1,13,8,6,0,0,55,,,0,0,0,22,3,0,0,1,0,0,.80,-0.041,1.02,-0.03%,0.44,1b start tie,6b 3 out d2,,SDP,0.8333333333333334,L,3,4,,
8,65,2014-06-12,WSN,SFG,GS-5,L(0-3),4,5.0,5,2,2,3,2,0,0,2.08,21,79,49,10,4,13,3,1,0,0,48,,,0,0,0,18,0,1,0,2,0,0,.97,-0.035,1.35,-0.03%,0.10,1b start tie,5b 3 out d1,,SFG,1.6,L,1,7,,
9,81,2014-06-28,WSN,CHC,GS-5,W(1-3),15,5.0,4,2,2,1,3,1,0,2.29,20,78,54,11,6,11,5,2,1,0,53,,,0,0,0,19,0,0,0,0,0,0,.87,-0.025,1.29,-0.02%,0.25,1b start tie,5b 3 out a4,2,CHC,1.0,W,7,2,,
10,108,2014-08-02,WSN,PHI,9-GF,,34,1.0,2,0,0,0,2,0,0,2.23,5,14,12,2,3,1,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,.00,0.00%,0.46,9t --- 0 out a11,9t end a11,,WSN,2.0,W,11,0,,
11,111,2014-08-05,WSN,NYM,8-GF,,2,2.0,3,1,1,0,1,0,1,2.35,8,27,18,3,3,1,5,5,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.14,-0.012,.25,-0.01%,-0.08,8t --- 0 out d4,9t end d 5,,WSN,1.5,L,1,6,,
12,138,2014-09-03,WSN,LAD,13-GF(14),W(2-3),28,2.0,2,0,0,0,2,0,0,2.23,8,26,20,5,4,6,1,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.07,0.154,.94,0.04%,0.85,13b --- 0 out tie,14b end a 3,,LAD,1.0,W,8,5,,
13,144,2014-09-10,WSN,ATL,9-GF,,6,1.0,1,0,0,0,1,0,0,2.18,3,8,7,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.46,9t --- 0 out d5,9t end d 5,,WSN,1.0,L,2,6,,
14,151,2014-09-17,WSN,ATL,GS-5,,6,5.0,3,0,0,1,3,0,0,1.94,18,55,36,14,5,9,5,2,1,0,63,,,0,0,0,17,0,0,0,1,0,0,1.12,0.273,.11,0.02%,2.17,1b start tie,5b 3 out a1,,ATL,0.8,L,1,3,,
15,157,2014-09-25,WSN,NYM,GS-5,,7,4.1,8,4,4,1,1,0,0,2.49,21,64,42,9,3,12,7,4,0,0,31,,,0,1,0,20,1,0,0,1,0,1,1.09,-0.167,.03,0.00%,-1.06,1t start tie,5t -23 1 out d1,1,WSN,2.1951219512195124,L,4,7,,
16,2,2015-04-08,WSN,NYM,8-8,H(1),99,1.0,1,0,0,0,0,0,0,0.00,3,14,8,2,3,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.20,0.117,2.26,0.07%,0.47,8t --- 0 out a1,8t 3 out a1,,WSN,1.0,W,2,1,,
17,4,2015-04-10,WSN,PHI,8-GF(8),,1,1.0,0,0,0,0,1,0,0,0.00,3,14,9,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.07,0.00%,0.45,8b --- 0 out d3,8b end d 3,,PHI,0.0,L,1,4,,
