Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,18,2018-04-17,OAK,CHW,9-GF,,99,1.0,2,0,0,1,2,0,0,0.00,6,25,12,4,3,1,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.000,.02,0.00%,0.50,4.45,9.00,9t --- 0 out a8,9t end a 8,,OAK,3.0,W,10,2
2,19,2018-04-18,OAK,CHW,12-GF(14),W(1-0),0,3.0,2,0,0,0,4,0,0,0.00,11,49,35,9,3,2,5,0,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,2.78,0.409,2.16,0.19%,1.49,17.55,33.00,12t --- 0 out tie,14t end tie,,OAK,0.6666666666666666,W,12,11
3,24,2018-04-24,OAK,TEX,8-8,H(1),5,0.2,1,0,0,0,2,0,0,0.00,3,16,11,2,2,0,1,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,2.17,0.014,2.06,0.01%,-0.42,4.90,8.00,8b 1-- 1 out a2,8b 3 out a1,,TEX,5.0,W,3,2
4,27,2018-04-28,OAK,HOU,4-4,,3,1.0,0,0,0,0,1,0,0,0.00,3,10,7,1,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.05,0.00%,0.51,4.25,6.00,4b --- 0 out d7,4b 3 out d7,,HOU,0.0,L,0,11
5,29,2018-05-01,OAK,SEA,5-6,,2,1.1,2,1,1,1,1,0,0,1.29,7,19,11,1,2,3,2,1,0,0,,2,0,1,0,0,5,0,0,0,0,1,0,.38,-0.012,.38,-0.01%,-0.10,1.20,4.00,5b 12- 2 out d3,6b 3 out d4,,SEA,2.727272727272727,L,3,6
6,31,2018-05-03,OAK,SEA,7-7,,1,1.0,1,0,0,0,0,0,0,1.13,4,13,7,1,1,4,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.26,0.012,.27,0.01%,0.48,1.65,3.00,7b --- 0 out d3,7b 3 out d3,,SEA,1.0,L,1,4
7,32,2018-05-04,OAK,BAL,6-7,W(2-0),0,1.2,1,0,0,1,1,0,0,0.93,6,12,10,2,3,2,2,1,0,0,,2,0,0,0,0,5,1,0,1,1,0,0,2.60,0.225,2.12,0.11%,1.40,8.55,20.00,6t 12- 1 out tie,7t 3 out a1,,OAK,1.6666666666666667,W,6,4
8,34,2018-05-06,OAK,BAL,8-8,H(2),1,1.0,0,0,0,0,0,0,0,0.84,3,6,4,0,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.120,1.40,0.06%,0.50,2.25,3.00,8t --- 0 out a1,8t 3 out a1,,OAK,0.0,W,2,1
9,36,2018-05-08,OAK,HOU,6-7,,1,1.1,2,0,0,0,2,0,0,0.75,6,17,13,0,5,2,2,1,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.66,0.052,.69,0.03%,0.72,5.80,10.00,6t 1-- 2 out d2,7t 3 out d2,,OAK,1.8181818181818181,L,2,4
10,38,2018-05-11,OAK,NYY,7-7,,2,0.0,0,0,0,2,0,0,0,0.75,2,10,2,1,1,0,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,4.05,-0.188,3.16,-0.09%,-1.17,-1.20,0.00,7b -23 1 out a2,7b 123 1 out a1,,NYY,inf,W,10,5
11,42,2018-05-15,OAK,BOS,7-8,H(3),3,2.0,1,0,0,1,2,0,0,0.64,8,30,18,5,5,2,3,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.23,0.166,.99,0.08%,1.06,7.30,12.00,7b --- 0 out a1,8b 3 out a3,,BOS,1.0,W,5,3
12,44,2018-05-17,OAK,TOR,8-GF,,1,1.1,1,0,0,1,0,0,0,0.59,6,19,11,2,2,4,1,1,0,0,,2,1,0,0,0,5,0,0,0,0,0,0,.68,0.011,.56,0.01%,-0.06,1.80,4.00,8b 12- 2 out a5,9b end a 5,,TOR,1.8181818181818181,W,10,5
13,46,2018-05-19,OAK,TOR,8-8,H(4),1,1.0,0,0,0,1,0,0,0,0.55,4,16,10,2,4,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.00,0.142,1.95,0.08%,0.50,1.65,3.00,8b --- 0 out a1,8b 3 out a1,,TOR,1.0,W,5,4
14,48,2018-05-22,OAK,SEA,8-8,,2,1.0,0,0,0,1,3,0,0,0.52,4,18,12,3,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.106,2.29,0.08%,0.50,7.65,12.00,8t --- 0 out tie,8t 3 out tie,,OAK,1.0,L,2,3
15,50,2018-05-24,OAK,SEA,8-8,H(5),1,0.2,2,1,1,1,0,0,0,1.00,4,15,10,2,3,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.28,-0.003,2.29,0.00%,0.00,-2.30,-1.00,8t --- 0 out a2,8t 1-3 2 out a2,,OAK,15.0,W,4,3
16,53,2018-05-27,OAK,ARI,8-8,H(6),2,1.0,0,0,0,0,2,0,0,0.95,3,14,10,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.120,1.31,0.06%,0.50,6.25,9.00,8t --- 0 out a1,8t 3 out a1,,OAK,0.0,W,2,1
17,54,2018-05-28,OAK,TBR,10-10,,0,1.0,0,0,0,1,1,0,0,0.90,4,17,9,2,3,1,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.28,0.136,2.19,0.08%,0.50,3.65,6.00,10t --- 0 out tie,10t 3 out tie,,OAK,1.0,L,0,1
18,60,2018-06-03,OAK,KCR,6-7,W(3-0),5,2.0,0,0,0,1,2,0,0,0.82,7,26,16,1,3,3,1,0,0,0,,0,0,2,0,0,6,0,0,0,0,0,0,1.45,0.164,1.08,0.07%,1.02,11.90,24.00,6b --- 0 out tie,7b 3 out tie,,KCR,0.5,W,5,1
19,61,2018-06-05,OAK,TEX,8-8,L(3-1),1,0.1,2,3,3,1,1,2,0,2.01,4,13,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.85,-0.352,.67,-0.17%,-2.74,-5.05,-5.00,8b --- 0 out tie,8b --- 1 out d3,,TEX,30.0,L,4,7
20,63,2018-06-07,OAK,KCR,7-7,H(7),1,1.0,1,0,0,0,1,0,0,1.93,4,20,13,2,5,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.86,0.046,.54,0.02%,0.50,3.65,6.00,7t --- 0 out a3,7t 3 out a3,,OAK,1.0,W,4,1
21,64,2018-06-08,OAK,KCR,8-GF,S(1),0,1.1,0,0,0,0,2,0,0,1.82,4,13,9,4,2,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.25,0.026,.17,0.01%,0.93,7.00,10.00,8t 12- 2 out a4,9t end a 5,,OAK,0.0,W,7,2
22,70,2018-06-15,OAK,LAA,9-GF,,6,1.0,0,0,0,0,0,0,0,1.75,3,9,6,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.01,0.00%,0.50,2.25,3.00,9t --- 0 out d5,9t end d 5,,OAK,0.0,L,4,8
23,71,2018-06-16,OAK,LAA,8-8,H(8),0,1.0,1,0,0,0,1,0,0,1.69,4,12,8,2,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.06,0.042,.36,0.01%,0.50,3.65,6.00,8t --- 0 out a3,8t 3 out a3,,OAK,1.0,W,6,4
24,73,2018-06-19,OAK,SDP,8-9,W(4-1),2,2.0,0,0,0,0,2,0,0,1.57,6,22,14,2,5,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.05,0.154,.37,0.03%,0.90,12.50,24.00,8b --- 0 out d1,9b 3 out tie,,SDP,0.0,W,4,2
25,77,2018-06-23,OAK,CHW,6-7,BW(5-1),3,1.2,0,0,0,0,4,0,0,1.48,5,18,15,3,5,1,0,0,0,0,,3,1,0,0,0,5,0,0,0,0,0,0,2.11,0.149,1.04,0.04%,1.08,15.75,29.00,6b 123 1 out a1,7b 3 out tie,,CHW,0.0,W,7,6
26,79,2018-06-25,OAK,DET,7-8,W(6-1),1,1.2,1,1,1,0,2,1,0,1.69,7,27,20,4,7,2,3,2,0,0,,2,2,0,0,0,7,0,0,0,0,0,0,1.32,-0.085,.64,-0.03%,-1.04,9.15,20.00,7b -23 1 out tie,8b 3 out tie,,DET,0.8333333333333334,W,5,4
27,81,2018-06-27,OAK,DET,9-GF,S(2),1,1.0,0,0,0,0,1,0,0,1.64,3,14,9,3,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.56,0.044,.32,0.02%,0.53,4.25,6.00,9b --- 0 out a3,9b end a 3,,DET,0.0,W,3,0
28,82,2018-06-28,OAK,DET,8-8,H(9),0,1.0,0,0,0,0,2,0,0,1.59,3,16,11,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.20,0.093,.70,0.03%,0.53,6.25,9.00,8b --- 0 out a2,8b 3 out a2,,DET,0.0,W,4,2
29,84,2018-06-30,OAK,CLE,9-GF,S(3),1,0.2,0,0,0,0,0,0,0,1.56,1,3,2,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,1.04,0.034,.67,0.01%,1.57,1.50,2.00,9t 123 1 out a5,9t end a 5,,OAK,0.0,W,7,2
30,86,2018-07-03,OAK,SDP,8-8,,2,1.0,0,0,0,1,0,0,0,1.51,4,21,12,3,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.023,.20,0.01%,0.50,1.65,3.00,8t --- 0 out a4,8t 3 out a4,,OAK,1.0,W,6,2
31,87,2018-07-04,OAK,SDP,8-8,W(7-1),0,0.2,0,0,0,2,0,0,0,1.49,4,11,7,1,1,0,2,0,0,0,,1,0,0,0,0,2,0,0,1,0,0,0,3.63,0.150,2.25,0.06%,0.68,4.30,14.00,8t -2- 1 out tie,8t 3 out tie,,OAK,10.0,W,4,2
32,89,2018-07-07,OAK,CLE,8-9,,2,2.0,3,0,0,0,3,0,0,1.41,8,30,21,6,3,2,3,3,0,0,,0,0,0,1,0,8,0,0,0,0,0,0,1.85,0.252,1.10,0.09%,1.05,8.70,15.00,8b --- 0 out tie,9b 3 out tie,,CLE,1.5,W,6,3
33,91,2018-07-09,OAK,HOU,7-8,H(10),1,2.0,0,0,0,0,3,0,0,1.34,6,19,14,2,2,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.30,0.198,1.03,0.09%,1.01,10.50,15.00,7b --- 0 out a1,8b 3 out a2,,HOU,0.0,W,2,0
34,94,2018-07-12,OAK,HOU,9-GF,S(4),2,1.0,0,0,0,0,2,0,0,1.31,3,14,8,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.21,0.092,1.11,0.05%,0.51,6.25,9.00,9b --- 0 out a2,9b end a 2,,HOU,0.0,W,6,4
35,96,2018-07-14,OAK,SFG,7-8,H(11),1,2.0,0,0,0,2,3,0,0,1.25,8,36,22,5,4,1,2,1,0,0,,0,0,1,0,0,6,0,0,1,0,0,0,2.28,0.236,1.77,0.11%,0.90,9.30,15.00,7b --- 0 out a1,8b 3 out a1,,SFG,1.0,W,4,3
36,97,2018-07-15,OAK,SFG,8-8,H(12),0,1.0,0,0,0,1,0,0,0,1.22,3,12,7,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.03,0.044,.85,0.02%,0.45,1.65,3.00,8b --- 0 out a3,8b 3 out a3,,SFG,1.0,W,6,2
