Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
239,2,2000-04-04,MON,LAD,9-GF,,99,1.0,0,0,0,0,3,0,0,0.00,3,10,9,3,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.58,9t --- 0 out d6,9t end d 6,,MON,0.0,L,4,10
240,3,2000-04-05,MON,LAD,8-8,BS(1),0,0.1,1,2,2,1,1,1,0,13.50,3,12,7,2,1,0,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.52,-0.562,1.29,-0.29%,-2.74,8t 1-- 2 out a2,8t 3 out d1,,MON,20.0,W,6,5
241,6,2000-04-08,MON,SDP,9-GF,S(1),2,1.0,2,1,1,0,1,0,0,11.57,5,14,11,2,3,1,3,2,1,0,,0,0,1,0,0,5,0,1,0,0,0,0,2.83,0.085,2.59,0.05%,-0.42,9t --- 0 out a2,9t end a 1,,MON,2.0,W,10,9
242,7,2000-04-09,MON,SDP,9-GF,S(2),0,1.0,0,0,0,1,0,0,0,8.10,3,8,4,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,3.82,0.179,3.67,0.10%,0.58,9t --- 0 out a1,9t end a 1,,MON,1.0,W,2,1
243,10,2000-04-13,MON,PIT,9-GF,BL(0-1),3,0.2,4,2,2,0,1,0,0,11.25,6,17,12,3,2,1,4,3,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,4.35,-0.782,4.37,-0.47%,-1.91,9b --- 0 out a1,9b end d 1,,PIT,20.0,L,3,4
244,13,2000-04-18,MON,CHC,8-GF,S(3),4,2.0,0,0,0,0,2,0,0,7.50,5,20,12,3,5,1,2,0,1,0,,1,0,0,0,0,5,0,0,0,1,0,0,2.23,0.393,2.15,0.23%,1.55,8t 1-- 0 out a1,9t end a 1,,MON,0.0,W,4,3
245,14,2000-04-19,MON,CHC,9-GF,,0,1.0,1,0,0,1,1,0,0,6.43,5,15,7,0,3,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.55,0.018,.56,0.01%,0.58,9t --- 0 out a4,9t end a 4,,MON,2.0,W,7,3
246,16,2000-04-21,MON,MIL,9-GF,S(4),1,0.2,0,0,0,0,1,0,0,5.87,2,4,4,1,1,0,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.69,0.043,.67,0.03%,1.26,9t 1-3 1 out a4,9t end a 4,,MON,0.0,W,5,1
247,18,2000-04-23,MON,MIL,8-GF,S(5),1,1.1,1,0,0,0,4,0,0,5.00,5,22,16,5,2,0,1,1,0,0,,2,1,0,0,0,5,0,0,0,0,0,0,1.54,0.097,1.55,0.06%,0.12,8t 1-3 2 out a3,9t end a 2,,MON,0.9090909090909091,W,6,4
248,20,2000-04-26,MON,COL,8-GF,S(6),2,1.2,0,0,0,0,1,0,0,4.22,4,18,13,5,2,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,.74,0.134,.77,0.08%,1.17,8t 1-- 1 out a1,9t end a 7,,MON,0.0,W,9,2
249,23,2000-04-30,MON,SFG,9-GF,S(7),3,1.0,0,0,0,1,1,0,0,3.86,4,17,10,0,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.91,0.207,3.27,0.14%,0.52,9b --- 0 out a1,9b end a 1,,SFG,1.0,W,4,3
250,27,2000-05-05,MON,MIL,9-9,,4,0.2,2,1,1,1,3,0,0,4.38,6,29,19,3,8,0,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.01,0.000,.01,0.00%,-1.26,9b --- 0 out a9,9b 123 2 out a8,,MIL,15.0,W,10,2
251,28,2000-05-06,MON,MIL,9-GF,S(8),0,1.0,0,0,0,0,3,0,0,4.05,3,19,13,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.75,0.215,2.98,0.14%,0.54,9b --- 0 out a1,9b end a 1,,MIL,0.0,W,3,2
252,1,2001-04-02,MON,CHC,10-GF(10),S(1),99,1.0,0,0,0,0,1,0,0,0.00,3,16,10,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.64,0.200,2.52,0.11%,0.50,10b --- 0 out a1,10b end a 1,,CHC,0.0,W,5,4
253,2,2001-04-04,MON,CHC,9-GF,S(2),1,1.0,1,0,0,1,0,0,0,0.00,4,19,10,1,4,3,0,0,0,0,,0,0,1,1,1,2,0,0,0,0,0,0,5.38,0.200,5.28,0.12%,0.50,9b --- 0 out a1,9b end a 1,,CHC,2.0,W,3,2
254,5,2001-04-07,MON,NYM,9-GF,,2,1.0,0,0,0,1,1,0,0,0.00,4,14,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.53,9t --- 0 out a10,9t end a10,,MON,1.0,W,10,0
255,6,2001-04-08,MON,NYM,9-GF,S(3),0,1.0,0,0,0,0,2,0,0,0.00,3,14,9,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,0.036,.57,0.03%,0.53,9t --- 0 out a3,9t end a 3,,MON,0.0,W,5,2
256,7,2001-04-09,MON,CHC,9-GF,S(4),0,1.0,0,0,0,0,0,0,0,0.00,3,10,7,3,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.078,1.12,0.05%,0.53,9t --- 0 out a2,9t end a 2,,MON,0.0,W,7,5
