,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,126,2018-08-21,HOU,SEA,2-7,W(1-0),99,4.1,2,1,0,1,4,0,3,0.0,19,67,42,13,7,6,5,2,0,0,,2.0,0.0,1,0,0,15,0,0,0,0,0,0,1.39,0.11699999999999999,3.22,0.16%,0.97,18.15,37.0,2b 12- 2 out tie,7b 1-- 0 out a2,,SEA,0.7317073170731708,W,3,2
1,2,130,2018-08-26,HOU,LAA,GS-5,W(2-0),4,5.0,2,1,1,3,3,0,0,0.96,20,77,42,16,5,11,3,2,0,0,59.0,,,0,0,0,17,0,0,0,1,0,0,1.1,0.168,1.6,0.15%,1.51,16.25,33.0,1b start tie,5b 3 out a2,,LAA,1.0,W,3,1
2,3,135,2018-08-31,HOU,LAA,GS-6,L(2-1),4,5.0,2,1,1,3,3,0,0,1.26,19,89,51,14,4,10,3,0,1,0,59.0,,,0,0,0,16,0,0,0,1,0,0,1.11,0.22899999999999998,1.45,0.18%,2.14,12.25,21.0,1t start tie,6t 1-- 0 out tie,,HOU,1.0,L,0,3
3,4,140,2018-09-05,HOU,MIN,GS-6,W(3-1),4,5.1,5,1,1,3,5,1,0,1.37,22,88,45,15,6,10,4,3,0,0,56.0,,,0,1,1,19,0,0,0,1,0,0,0.99,0.152,0.93,0.09%,0.84,19.2,40.0,1t start tie,6t 1-3 1 out a4,,HOU,1.5686274509803924,W,9,1
4,5,145,2018-09-11,HOU,DET,GS-4,,5,4.0,5,4,4,4,3,1,0,2.66,20,92,51,13,5,8,5,4,1,0,35.0,,,0,0,0,16,2,0,0,1,0,0,0.94,-0.11800000000000001,0.87,-0.07%,-1.89,1.6,9.0,1b start a 1,4b 3 out a1,,DET,2.25,W,5,4
5,6,150,2018-09-17,HOU,SEA,GS-5,,5,5.0,2,0,0,5,6,0,0,2.2,20,81,41,18,8,7,2,1,0,0,64.0,,,0,0,0,15,0,0,0,2,0,0,1.26,0.284,0.51,0.07%,2.53,19.05,33.0,1t start tie,5t 3 out a1,,HOU,1.4,L,1,4
6,7,155,2018-09-23,HOU,LAA,2-7,W(4-1),5,6.0,3,1,1,2,9,1,1,2.08,24,95,59,17,12,9,3,0,0,0,,0.0,0.0,0,0,0,21,1,0,0,0,0,0,0.86,0.235,0.46,0.08%,2.03,29.9,54.0,2t --- 0 out a2,7t 3 out a3,,HOU,0.8333333333333334,W,6,2
7,8,161,2018-09-29,HOU,BAL,5-7,H(1),5,2.1,1,1,1,3,1,0,0,2.19,10,44,24,3,6,4,2,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,1,0,0,1.54,-0.035,0.0,0.00%,-0.07,2.85,7.0,5b --- 0 out a1,7b 123 1 out a2,2.0,BAL,1.9047619047619049,W,5,2
8,9,6,2019-04-02,HOU,TEX,6-7,L(0-1),99,2.0,3,2,2,1,3,0,0,9.0,10,34,20,5,4,3,3,2,0,0,,0.0,0.0,0,0,0,9,1,0,0,0,0,0,1.31,-0.162,1.35,-0.10%,-0.77,4.1,9.0,6b --- 0 out tie,7b 3 out d2,,TEX,2.0,L,4,6
9,10,9,2019-04-06,HOU,OAK,9-GF,,3,1.0,1,0,0,0,0,0,0,6.0,3,9,5,1,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.12,0.003,0.12,0.00%,0.57,1.65,3.0,9t --- 0 out a6,9t end a 6,,HOU,1.0,W,6,0
10,11,21,2019-04-21,HOU,TEX,4-6,,14,2.1,1,1,1,3,3,0,0,5.06,10,37,19,10,1,2,2,0,1,0,,2.0,1.0,0,0,0,6,0,0,0,1,1,0,0.14,-0.02,0.19,-0.02%,0.48,6.85,13.0,4b -23 1 out d8,6b 1-- 2 out d5,,TEX,1.9047619047619049,L,10,11
11,12,24,2019-04-24,HOU,MIN,9-GF,,2,1.0,0,0,0,1,2,0,0,4.26,4,15,9,2,3,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.04,0.00%,0.57,5.65,9.0,9t --- 0 out a6,9t end a 6,,HOU,1.0,W,7,1
12,13,28,2019-04-28,HOU,CLE,7-8,W(1-1),3,2.0,1,0,0,0,2,0,0,3.24,7,23,19,3,3,4,1,0,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.99,0.113,1.25,0.09%,1.14,11.9,24.0,7t --- 0 out d1,8t 3 out a3,,HOU,0.5,W,4,1
13,14,29,2019-04-29,HOU,MIN,8-GF(8),,0,1.0,1,0,0,0,0,0,0,2.89,4,7,6,0,1,2,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.76,0.035,0.96,0.03%,0.55,1.65,3.0,8b --- 0 out d1,8b end d 1,,MIN,1.0,L,0,1
14,15,32,2019-05-02,HOU,MIN,4-6,,2,2.1,2,1,1,1,3,0,0,3.09,10,35,25,5,5,4,2,1,0,0,,1.0,0.0,0,0,0,9,0,1,0,0,0,0,0.08,-0.001,0.1,0.00%,0.45,7.45,13.0,4b -2- 2 out d6,6b 3 out d7,,MIN,1.4285714285714286,L,2,8
15,16,36,2019-05-07,HOU,KCR,6-8,,4,3.0,5,4,4,0,0,1,1,4.91,15,44,28,8,0,7,7,4,1,0,,0.0,0.0,0,0,0,14,0,0,0,0,0,0,0.05,-0.006999999999999999,0.07,-0.01%,-2.29,-4.85,-3.0,6t --- 0 out d8,8t 3 out d10,,HOU,1.6666666666666667,L,2,12
16,17,41,2019-05-12,HOU,TEX,8-8,,4,1.0,1,0,0,1,2,0,0,4.6,5,20,12,5,2,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.57,5.05,9.0,8t --- 0 out a12,8t 3 out a12,,HOU,2.0,W,15,5
17,18,43,2019-05-14,HOU,DET,9-GF,,1,1.0,0,0,0,2,0,0,0,4.32,4,21,10,2,0,1,1,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.05,0.002,0.06,0.00%,0.56,1.05,3.0,9b --- 0 out a7,9b end a 7,,DET,2.0,W,11,4
18,19,47,2019-05-19,HOU,BOS,6-7,L(1-2),4,1.2,3,1,1,0,1,0,0,4.42,8,28,19,5,5,3,4,3,1,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,1.44,-0.08900000000000001,1.59,-0.06%,-0.2,1.95,5.0,6b --- 0 out tie,7b -2- 2 out d1,,BOS,2.5,L,3,4
19,20,51,2019-05-23,HOU,CHW,4-6,,3,2.2,2,0,0,1,2,0,0,3.86,11,36,26,6,5,5,3,2,0,0,,1.0,0.0,0,0,0,10,0,0,0,0,0,0,0.52,0.066,0.59,0.05%,1.72,8.2,14.0,4t 1-- 1 out d4,6t 3 out d4,,HOU,1.3636363636363635,L,0,4
20,21,54,2019-05-26,HOU,BOS,9-GF,,2,1.0,0,1,0,1,0,0,0,3.68,4,15,7,1,2,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.38,-0.035,0.42,-0.02%,-0.43,1.65,3.0,9t --- 0 out d2,9t end d 3,,HOU,1.0,L,1,4
21,22,61,2019-06-03,HOU,SEA,4-7,W(2-2),7,4.0,2,0,0,2,3,0,0,3.12,16,65,37,11,8,5,5,2,1,1,,0.0,0.0,1,0,0,14,1,0,0,0,0,0,1.31,0.3,1.2,0.16%,2.05,16.6,33.0,4b --- 0 out a1,7b 3 out a2,,SEA,1.0,W,4,2
22,23,66,2019-06-08,HOU,BAL,GS-7,,4,7.0,5,1,1,0,7,1,1,2.73,27,84,57,14,11,16,3,1,0,0,70.0,,,0,0,0,26,0,0,0,0,0,0,0.96,0.301,0.67,0.13%,2.98,24.15,39.0,1t start tie,7t 3 out tie,,HOU,0.7142857142857143,L,1,4
23,24,71,2019-06-15,HOU,TOR,GS-6,W(3-2),6,6.0,4,2,2,2,8,0,0,2.77,24,82,51,14,12,11,3,2,0,0,62.0,,,1,0,0,21,0,0,0,1,1,0,0.96,0.21100000000000002,0.65,0.09%,1.42,25.9,48.0,1t start tie,6t 3 out a3,,HOU,1.0,W,7,2
24,25,76,2019-06-20,HOU,NYY,GS-4,L(3-3),4,3.1,4,5,5,3,3,2,0,3.61,17,64,37,16,4,5,6,2,1,0,32.0,,,0,0,0,14,1,0,0,0,0,0,0.81,-0.187,0.78,-0.11%,-2.39,-0.7,4.0,1b start tie,4b 1-- 1 out d4,,NYY,2.2580645161290316,L,6,10
25,26,81,2019-06-26,HOU,PIT,GS-3,L(3-4),5,3.0,8,6,6,1,2,1,0,4.57,18,69,43,6,8,8,7,6,0,0,20.0,,,1,0,0,17,2,0,0,0,0,1,0.82,-0.363,0.86,-0.23%,-4.29,-6.65,-3.0,1t start tie,3t 3 out d5,,HOU,3.0,L,2,14
26,27,91,2019-07-11,HOU,TEX,GS-1,L(3-5),14,0.2,4,4,4,3,0,0,0,5.28,9,28,12,3,0,5,1,1,0,0,25.0,,,0,0,0,6,3,0,0,0,0,0,1.05,-0.299,1.17,-0.20%,-4.24,-10.7,-10.0,1b start tie,1b 123 2 out d4,,TEX,35.0,L,0,5
27,28,95,2019-07-15,HOU,LAA,2-5,L(3-6),3,4.0,6,7,4,4,4,1,0,5.58,23,85,48,13,10,8,7,5,0,0,,0.0,0.0,0,0,0,18,3,0,0,0,1,1,1.15,-0.509,1.27,-0.34%,-4.83,3.0,12.0,2b --- 0 out a3,5b 3 out d4,,LAA,2.5,L,6,9
28,29,132,2019-08-25,HOU,LAA,GS-6,W(4-6),40,6.0,2,1,1,5,8,1,2,5.14,25,94,52,20,8,9,1,1,0,0,67.0,,,0,0,0,18,0,0,0,2,0,0,1.28,0.285,0.42,0.06%,2.42,26.1,51.0,1t start tie,6t 3 out a1,,HOU,1.1666666666666667,W,11,2
29,30,137,2019-08-31,HOU,TOR,GS-6,L(4-7),5,5.2,9,6,6,3,5,2,0,5.55,28,103,64,19,13,13,7,3,0,0,29.0,,,0,0,0,25,0,0,0,0,0,0,0.7,-0.254,0.16,-0.03%,-2.03,3.55,14.0,1b start a 1,6b 1-- 2 out d2,,TOR,2.3076923076923075,L,4,6
30,31,142,2019-09-06,HOU,SEA,GS-4,,5,4.0,2,3,3,6,6,0,0,5.62,20,85,45,13,10,6,2,1,1,0,46.0,,,3,0,0,14,0,0,0,0,0,0,1.36,-0.07200000000000001,0.29,-0.01%,-0.72,10.2,21.0,1t start tie,4t 3 out tie,,HOU,2.0,W,7,4
31,32,146,2019-09-10,HOU,OAK,6-GF,,3,4.0,4,2,2,1,3,0,0,5.56,17,53,36,7,6,9,4,2,0,0,,0.0,0.0,0,0,0,15,0,0,0,0,1,0,0.0,0.0,0.0,0.00%,0.28,8.0,15.0,6t --- 0 out d16,9t end d16,,HOU,1.25,L,7,21
32,33,151,2019-09-15,HOU,KCR,9-GF,,4,1.0,3,1,1,1,1,0,0,5.6,7,22,13,4,2,2,3,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.44,-0.15,3.0,9b --- 0 out a10,9b end a 9,,KCR,4.0,W,12,3
33,34,156,2019-09-22,HOU,LAA,7-7,,6,0.0,1,3,2,2,0,0,0,5.86,3,16,7,3,0,0,1,1,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.03,-0.003,0.0,0.00%,-1.85,-5.8,-6.0,7t --- 0 out a11,7t 123 0 out a11,,HOU,inf,W,13,5
