,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,83,49,2000-05-28,HOU,ATL,8-8,W(1-0),99,1.0,1,0,0,0,1,0,0,0.0,4,10,7,1,2,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.71,0.038,0.18,0.01%,0.6,8t --- 0 out d2,8t 3 out d2,,HOU,1.0,W,4,3
1,84,51,2000-05-30,HOU,COL,8-8,BL(1-1),1,0.1,2,4,1,1,0,0,0,6.75,5,15,8,3,0,2,2,2,0,0,,0,0,1,0,0,4,0,0,0,0,0,1,2.84,-0.401,0.78,-0.07%,-2.08,8b --- 0 out a1,8b 123 1 out tie,,COL,30.0,L,7,10
2,85,53,2000-06-02,HOU,CHW,7-8,,2,2.0,1,0,0,0,1,0,0,2.7,7,19,14,3,1,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.68,0.08199999999999999,0.13,0.01%,1.2,7t --- 0 out d2,8t 3 out d2,,HOU,0.5,L,4,7
3,86,55,2000-06-04,HOU,CHW,9-GF,,1,1.0,2,0,0,0,0,0,0,2.08,4,12,8,1,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.12,0.005,0.02,0.00%,0.6,9t --- 0 out d4,9t end d 4,,HOU,2.0,L,3,7
4,87,57,2000-06-06,HOU,MIN,8-GF,,1,1.1,0,0,0,0,1,0,0,1.59,4,11,9,2,1,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,0.38,0.042,0.07,0.01%,0.87,8t 1-- 2 out d2,9t end d 2,,HOU,0.0,L,1,3
5,88,60,2000-06-09,HOU,SDP,7-7,H(1),2,1.0,1,0,0,0,1,0,0,1.35,4,20,11,4,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.16,0.083,0.13,0.01%,0.52,7b --- 0 out a2,7b 3 out a2,,SDP,1.0,W,7,6
6,89,62,2000-06-11,HOU,SDP,8-8,,1,0.1,2,2,0,1,1,0,0,1.29,5,17,10,2,2,1,2,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,1,1.48,-0.318,0.22,-0.03%,-2.75,8b -2- 1 out tie,8b 12- 2 out d3,,SDP,30.0,L,1,4
7,90,63,2000-06-13,HOU,COL,7-7,,1,1.0,0,0,0,0,1,0,0,1.13,3,12,7,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.65,0.055,0.08,0.00%,0.7,7b --- 0 out a4,7b 3 out a4,,COL,0.0,W,6,3
8,91,65,2000-06-15,HOU,COL,7-8,,1,1.1,1,0,0,0,1,0,0,0.96,5,16,10,2,2,3,1,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,0.94,-0.09,0.13,-0.01%,0.1,7b -2- 2 out tie,8b 3 out d1,,COL,0.9090909090909092,L,4,5
9,92,67,2000-06-17,HOU,SFG,6-8,,1,1.2,0,0,0,3,2,0,0,0.82,8,33,13,4,2,2,1,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,0.54,0.057,0.05,0.00%,0.9,6b 123 2 out d2,8b 12- 1 out d2,,SFG,2.5,L,4,6
