Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
66,2,2000-04-04,TEX,CHW,4-5,,99,1.1,2,1,1,0,0,0,1,6.75,7,22,14,5,1,2,4,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,1.25,-0.018,1.35,-0.01%,-0.05,4t 12- 1 out d1,5t -23 2 out d2,,TEX,1.8181818181818181,W,12,8
67,3,2000-04-05,TEX,CHW,9-GF,,0,0.1,0,0,0,0,0,0,0,5.40,1,2,1,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,.08,0.002,.09,0.00%,0.49,9t 12- 2 out d5,9t end d 5,,TEX,0.0,L,8,12
68,5,2000-04-07,TEX,TOR,7-8,,1,1.1,0,0,0,0,2,0,0,3.00,4,15,10,3,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,0.012,.13,0.01%,0.73,7t --- 2 out a5,8t 3 out a6,,TEX,0.0,W,11,5
69,7,2000-04-09,TEX,TOR,8-8,,1,0.0,1,0,0,0,0,0,0,3.00,1,6,3,0,2,0,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,1.00,-0.057,1.03,-0.04%,-0.64,8t --- 0 out a3,8t -2- 0 out a3,,TEX,inf,W,7,5
70,8,2000-04-12,TEX,NYY,7-7,,2,0.0,2,0,0,0,0,0,0,3.00,2,8,4,0,1,0,2,2,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.93,-0.104,.99,-0.07%,-1.08,7b --3 2 out d1,7b 12- 2 out d2,,NYY,inf,L,6,8
71,13,2000-04-17,TEX,NYY,11-GF(11),,4,1.0,1,0,0,1,1,0,0,2.25,4,19,10,2,1,0,2,2,0,0,,1,1,0,1,0,3,0,0,0,0,0,0,3.32,-0.184,3.44,-0.11%,0.01,11t 1-- 0 out tie,11t end d 1,,TEX,2.0,L,4,5
72,16,2000-04-21,TEX,MIN,9-GF,,3,1.0,3,3,3,1,1,1,0,7.20,7,25,17,5,2,1,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.34,-0.078,.30,-0.04%,-2.40,9t --- 0 out d2,9t end d 5,,TEX,4.0,L,5,10
73,20,2000-04-25,TEX,BOS,7-7,,3,0.1,1,0,0,1,0,0,0,6.75,2,8,3,1,0,0,1,1,0,0,,1,1,0,0,0,1,1,0,0,0,0,0,1.15,-0.068,1.01,-0.04%,-0.64,7t -2- 2 out d2,7t 3 out d3,,TEX,20.0,L,3,6
74,21,2000-04-26,TEX,BOS,7-8,,0,1.1,3,1,1,1,2,0,0,6.75,8,30,15,4,5,3,2,2,0,0,,0,0,0,0,0,7,2,0,1,0,0,0,.08,0.002,.07,0.00%,-0.08,7t --- 0 out d6,8t 1-3 1 out d6,,TEX,3.6363636363636362,L,4,14
75,24,2000-04-30,TEX,BAL,8-8,H(1),3,0.1,0,0,0,0,0,0,0,6.43,1,5,2,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.12,0.061,1.47,0.03%,0.39,8b --3 2 out a2,8b 3 out a2,,BAL,0.0,W,8,4
76,25,2000-05-02,TEX,TBD,8-8,,1,0.1,0,0,0,0,0,0,0,6.14,1,2,2,0,1,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.27,0.006,.20,0.00%,0.00,8b 1-3 1 out a7,8b 1-- 2 out a6,,TBD,0.0,W,8,1
77,27,2000-05-04,TEX,TBD,7-7,H(2),1,0.1,0,0,0,0,0,0,0,5.87,1,4,2,1,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,2.91,0.037,2.50,0.02%,0.24,7b 1-- 0 out a1,7b -2- 1 out a1,,TBD,0.0,L,7,8
78,29,2000-05-06,TEX,OAK,8-8,,1,1.0,0,0,0,2,1,0,0,5.19,5,21,9,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.85,0.038,.84,0.02%,0.60,8t --- 0 out d2,8t 3 out d2,,TEX,2.0,W,11,10
79,30,2000-05-07,TEX,OAK,9-GF,,0,1.0,1,0,0,0,0,0,0,4.66,5,14,11,1,1,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.95,0.050,1.02,0.03%,0.60,9t --- 0 out d1,9t end d 1,,TEX,1.0,L,6,7
80,32,2000-05-09,TEX,SEA,9-GF,,1,1.0,0,0,0,1,1,0,0,4.22,4,17,10,6,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.60,9t --- 0 out d10,9t end d10,,TEX,1.0,L,3,13
81,34,2000-05-11,TEX,ANA,8-GF(8),,1,0.1,0,0,0,0,0,0,0,4.09,1,4,3,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.82,0.049,1.85,0.03%,0.85,8b 123 2 out d1,8b end d 1,,ANA,0.0,L,2,3
82,35,2000-05-12,TEX,ANA,7-8,,0,1.1,1,1,0,0,1,0,0,3.65,5,12,9,3,0,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.54,0.017,.54,0.01%,-0.11,7b --- 0 out a5,8b --- 1 out a5,,ANA,0.9090909090909091,W,13,11
83,36,2000-05-13,TEX,ANA,8-8,H(3),0,0.1,1,1,1,0,0,0,0,4.26,2,5,3,1,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.61,-0.026,1.76,-0.02%,-0.16,8b --- 0 out a2,8b -2- 1 out a2,,ANA,10.0,W,6,5
84,38,2000-05-15,TEX,TBD,8-8,,1,0.0,1,0,0,0,0,0,0,4.26,1,1,1,0,0,0,1,1,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,2.74,-0.109,2.43,-0.06%,-1.00,8t 12- 2 out a2,8t 12- 2 out a1,,TEX,inf,W,6,5
85,41,2000-05-18,TEX,BAL,7-8,H(4),2,1.1,0,0,0,0,0,0,0,3.86,4,19,13,5,0,3,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.00,0.217,2.13,0.14%,1.09,7t 12- 2 out a1,8t 3 out a1,,TEX,0.0,W,8,7
86,42,2000-05-20,TEX,BAL,8-8,H(5),1,1.0,0,0,0,0,0,0,0,3.60,2,12,10,3,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,1,0,0,2.20,0.216,2.46,0.15%,1.01,8t 1-- 0 out a1,8t 3 out a1,,TEX,0.0,W,2,1
87,43,2000-05-21,TEX,BAL,8-8,W(1-0),0,0.2,0,0,0,0,0,0,0,3.45,2,8,5,1,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.19,0.156,2.54,0.11%,0.76,8t -2- 1 out tie,8t 3 out tie,,TEX,0.0,W,6,5
88,48,2000-05-27,TEX,MIN,6-7,,5,1.1,1,1,1,0,1,0,1,3.71,6,25,15,4,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,.44,-0.039,.57,-0.03%,-0.53,6b --- 0 out d3,7b -2- 1 out d3,,MIN,0.9090909090909091,L,5,10
89,49,2000-05-28,TEX,MIN,8-GF(8),,0,1.0,1,0,0,1,0,0,0,3.50,4,18,10,1,1,1,2,1,0,0,,1,0,0,0,0,3,0,0,0,1,0,0,1.04,0.064,1.28,0.05%,1.03,8b 1-- 0 out d1,8b end d 1,,MIN,2.0,L,3,4
90,51,2000-05-30,TEX,DET,7-7,,1,0.2,0,0,0,0,0,0,0,3.38,2,6,4,0,0,0,2,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,.42,0.000,.49,0.00%,0.64,7b 123 1 out d3,7b 3 out d4,,DET,0.0,L,4,7
91,53,2000-06-02,TEX,ARI,9-9,,2,0.1,3,1,1,1,0,0,0,3.79,5,21,11,5,0,0,4,3,0,0,,0,0,1,0,0,3,0,0,0,0,1,0,.81,-0.130,.97,-0.09%,-2.08,9t --- 0 out d1,9t 123 1 out d2,,TEX,40.0,L,4,5
92,54,2000-06-03,TEX,ARI,8-8,,0,0.0,1,0,0,0,0,0,0,3.79,1,2,2,0,0,0,1,1,0,0,,1,1,0,0,0,1,1,0,0,0,0,0,1.57,-0.112,1.78,-0.08%,-1.00,8t -2- 2 out a2,8t -2- 2 out a1,,TEX,inf,W,4,3
93,59,2000-06-09,TEX,COL,8-8,,5,0.1,0,0,0,0,0,0,0,3.72,1,4,2,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.74,0.116,4.13,0.08%,0.62,8b 1-3 2 out tie,8b 3 out tie,,COL,0.0,L,2,3
94,60,2000-06-10,TEX,COL,7-GF(8),,0,1.1,1,1,1,0,1,0,0,3.92,5,18,12,1,0,2,2,1,0,0,,2,0,0,0,0,4,1,0,0,0,1,0,.05,0.003,.05,0.00%,0.32,7b 1-3 2 out d5,8b end d 6,,COL,0.9090909090909091,L,6,12
95,61,2000-06-11,TEX,COL,8-8,,0,0.0,2,3,3,1,0,0,0,5.23,3,9,5,1,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.31,-0.270,2.23,-0.16%,-1.84,8b --- 0 out a3,8b 123 0 out a3,,COL,inf,L,8,9
96,62,2000-06-13,TEX,BAL,8-GF(8),,1,1.0,0,0,0,1,0,0,0,4.98,3,11,5,1,0,1,1,1,0,0,,1,0,0,0,0,1,0,0,1,0,0,0,.94,0.058,.84,0.03%,0.97,8b 1-- 0 out d1,8b end d 1,,BAL,1.0,L,2,3
97,63,2000-06-14,TEX,BAL,8-8,,0,0.0,1,2,2,1,0,0,0,5.82,2,8,4,1,1,1,0,0,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,2.42,-0.174,2.00,-0.09%,-1.73,8b 1-3 1 out a4,8b 12- 1 out a2,,BAL,inf,L,10,11
98,67,2000-06-18,TEX,TBD,7-7,,3,0.1,0,0,0,0,0,0,0,5.73,1,4,3,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.12,0.003,.08,0.00%,0.36,7b -2- 2 out d5,7b 3 out d5,,TBD,0.0,L,1,6
99,69,2000-06-21,TEX,MIN,7-8,H(6),2,1.2,2,0,0,0,2,0,0,5.32,7,21,16,5,4,3,2,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.75,0.084,1.01,0.03%,0.65,7t --- 0 out a2,8t 1-3 2 out a2,,TEX,1.6666666666666667,W,7,5
100,70,2000-06-22,TEX,MIN,9-GF,,0,0.1,0,0,0,0,0,0,0,5.25,1,3,2,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.30,0.061,1.39,0.02%,0.84,9t 123 2 out d1,9t end d 1,,TEX,0.0,L,2,3
101,72,2000-06-24,TEX,TBD,8-GF,,1,1.2,2,0,0,0,0,0,0,4.91,6,16,13,1,2,4,2,0,1,0,,3,1,0,0,0,6,0,0,0,1,0,0,.26,0.007,.11,0.00%,1.29,8t 123 1 out d3,9t end d 4,,TEX,1.6666666666666667,L,7,9
102,74,2000-06-27,TEX,OAK,8-GF(8),,2,1.0,0,0,0,0,0,0,0,4.73,2,5,4,1,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.60,0.058,.30,0.02%,0.97,8b 1-- 0 out d1,8b end d 1,,OAK,0.0,L,6,7
103,75,2000-06-28,TEX,OAK,6-8,H(7),0,2.1,1,0,0,0,1,0,0,4.34,7,24,15,6,3,4,2,2,0,0,,3,0,0,0,0,7,0,0,0,1,0,0,1.89,0.311,.73,0.07%,1.97,6b 123 2 out a2,8b 3 out a2,,OAK,0.47619047619047616,W,5,3
104,76,2000-06-29,TEX,OAK,8-8,H(8),0,0.1,0,0,0,0,0,0,0,4.30,1,8,5,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.27,0.033,.64,0.01%,0.19,8b --- 1 out a2,8b --- 2 out a2,,OAK,0.0,W,3,1
105,78,2000-07-01,TEX,SEA,7-8,,1,1.0,0,0,0,0,1,0,0,4.15,3,13,7,3,0,0,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.18,0.016,.13,0.01%,1.04,7t -2- 1 out d5,8t --- 1 out d5,,TEX,0.0,L,3,6
106,80,2000-07-03,TEX,OAK,7-8,H(9),1,1.1,3,2,2,0,1,0,0,4.55,7,27,16,5,3,3,3,3,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,1.19,-0.173,.57,-0.05%,-1.56,7t --- 0 out a3,8t -2- 1 out a1,,TEX,2.727272727272727,W,8,3
107,81,2000-07-04,TEX,OAK,8-8,,0,0.0,2,0,0,0,0,0,0,4.55,2,9,6,0,1,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.58,-0.115,.91,-0.04%,-0.69,8t --- 1 out a2,8t 12- 1 out a2,,TEX,inf,W,10,7
108,84,2000-07-08,TEX,SDP,8-8,,3,0.1,0,0,0,0,0,0,0,4.50,1,4,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.11,0.003,.08,0.00%,0.28,8t --- 0 out a7,8t --- 1 out a7,,TEX,0.0,W,8,1
109,86,2000-07-13,TEX,ARI,8-8,,4,0.1,0,0,0,0,0,0,0,4.45,1,3,3,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.69,0.022,.42,0.01%,0.83,8b 123 1 out d2,8b 123 2 out d2,,ARI,0.0,W,6,4
110,88,2000-07-15,TEX,ARI,8-8,,1,0.2,1,0,0,0,1,0,0,4.36,3,9,7,2,2,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.49,0.020,1.60,0.01%,0.18,8b --- 0 out tie,8b --3 2 out tie,,ARI,5.0,W,6,5
111,89,2000-07-16,TEX,SFG,6-7,,0,1.2,1,0,0,0,0,0,0,4.15,6,19,12,1,0,3,3,1,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.79,0.096,.55,0.04%,1.46,6b 12- 1 out d2,7b 3 out d1,,SFG,0.8333333333333334,L,4,6
112,90,2000-07-17,TEX,SFG,6-6,,0,0.1,0,0,0,0,0,0,0,4.11,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.89,0.025,.57,0.01%,0.37,6b --3 2 out d2,6b 3 out d2,,SFG,0.0,L,8,10
113,91,2000-07-18,TEX,SFG,8-8,H(10),0,0.1,2,0,0,0,0,0,0,4.08,3,14,8,0,0,1,2,2,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,2.30,-0.092,1.20,-0.03%,-0.75,8b -2- 1 out a2,8b 12- 2 out a1,,SFG,20.0,L,3,5
