,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,54,2019-05-27,TOR,TBR,4-7,,99,4.0,3,3,2,1,7,0,1,4.5,17,75,50,10,13,3,5,3,1,0,,0.0,0.0,0,0,0,15,2,0,0,0,0,0,0.5,-0.157,0.13,-0.02%,-0.86,16.0,27.0,4b --- 0 out d1,7b 3 out d2,,TBR,1.0,L,3,8
1,2,87,2019-07-03,TOR,BOS,2-7,W(1-0),36,5.0,6,3,3,0,4,1,0,5.0,21,75,56,9,11,9,8,3,1,0,,0.0,0.0,0,0,0,21,2,0,0,0,0,0,1.01,-0.09,0.0,0.00%,-0.71,13.65,30.0,2t --- 0 out tie,7t 1-- 0 out a2,,TOR,1.2,W,6,3
2,3,96,2019-07-16,TOR,BOS,GS-5,,12,4.2,6,4,4,3,2,1,0,5.93,21,80,45,14,8,8,8,4,0,0,35.0,,,0,0,0,18,1,0,0,2,0,0,0.99,-0.233,0.0,0.00%,-1.65,1.1,8.0,1b start tie,5b 1-3 2 out tie,,BOS,2.142857142857143,W,10,4
3,4,101,2019-07-21,TOR,DET,GS-6,,4,5.1,9,3,3,0,7,1,1,5.68,25,94,63,13,11,6,11,7,1,0,45.0,,,0,0,0,24,2,0,0,1,0,0,0.97,-0.08800000000000001,0.0,0.00%,-0.59,14.0,28.0,1b start a 1,6b 12- 1 out d2,,DET,1.7647058823529411,L,3,4
4,5,105,2019-07-26,TOR,TBR,GS-6,L(1-1),4,5.0,6,3,3,3,2,0,0,5.63,23,93,54,13,5,9,9,2,3,0,42.0,,,1,0,0,20,0,1,0,0,0,0,1.16,-0.135,0.0,0.00%,-0.71,3.85,12.0,1t start tie,6t 1-- 0 out d2,,TOR,1.8,L,1,3
5,6,110,2019-07-31,TOR,KCR,GS-6,W(2-1),4,6.0,3,1,1,2,2,1,1,4.8,23,76,48,9,2,4,14,7,1,0,62.0,,,0,0,0,20,0,0,0,1,0,0,0.91,0.226,0.0,0.00%,2.35,15.9,33.0,1b start tie,6b 3 out tie,,KCR,0.8333333333333334,W,4,1
6,7,115,2019-08-05,TOR,TBR,GS-6,W(3-1),4,6.0,4,0,0,1,4,0,0,4.0,23,96,62,14,9,11,7,2,2,0,67.0,,,0,0,0,22,0,0,0,1,0,2,1.43,0.376,0.0,0.00%,3.22,22.5,42.0,1b start a 1,6b 3 out a2,,TBR,0.8333333333333334,W,2,0
7,8,120,2019-08-10,TOR,NYY,3-6,,4,3.2,3,3,3,3,2,2,0,4.31,17,76,43,11,4,3,9,3,2,0,,0.0,0.0,0,0,0,14,0,0,0,0,0,0,0.96,-0.162,0.0,0.00%,-0.97,2.65,8.0,3t --- 0 out tie,6t --- 2 out tie,,TOR,1.875,W,5,4
8,9,125,2019-08-16,TOR,SEA,GS-6,W(4-1),5,5.1,5,2,2,1,5,0,0,4.2,21,102,75,15,8,7,8,4,1,0,54.0,,,0,1,0,20,1,0,0,0,0,0,0.82,0.026000000000000002,0.0,0.00%,0.66,18.4,37.0,1t start tie,6t 1-- 1 out a4,,TOR,1.1764705882352942,W,7,3
9,10,130,2019-08-22,TOR,LAD,GS-7,,5,7.0,1,0,0,1,5,0,1,3.63,24,95,61,12,10,7,10,5,2,0,79.0,,,0,0,0,22,0,0,0,0,0,0,1.02,0.46,0.0,0.00%,3.56,23.95,36.0,1b start tie,7b 3 out a2,,LAD,0.2857142857142857,L,2,3
10,11,135,2019-08-28,TOR,ATL,GS-3,L(4-2),5,3.0,6,5,3,2,2,1,0,3.93,18,73,40,10,6,5,9,5,1,0,31.0,,,0,0,0,16,3,0,0,0,0,1,0.76,-0.303,0.0,0.00%,-3.39,-0.05,6.0,1t start tie,3t 3 out d5,,TOR,2.6666666666666665,L,4,9
11,12,139,2019-09-02,TOR,ATL,GS-4,L(4-3),4,4.0,1,4,2,5,4,1,0,3.97,19,87,54,12,11,6,4,1,1,0,47.0,,,1,0,0,14,0,0,0,0,0,1,0.75,-0.184,0.0,0.00%,-1.78,9.4,18.0,1b start tie,4b 3 out d3,,ATL,1.5,L,3,6
12,13,144,2019-09-08,TOR,TBR,GS-5,L(4-4),5,4.1,7,6,6,2,2,1,0,4.55,22,72,49,13,3,7,11,5,2,0,25.0,,,0,0,0,20,3,1,0,0,0,0,1.05,-0.27699999999999997,0.0,0.00%,-2.77,-3.65,1.0,1b start tie,5b -23 1 out d2,,TBR,2.1951219512195124,L,3,8
13,14,149,2019-09-14,TOR,NYY,GS-4,L(4-5),5,3.2,7,3,3,2,4,1,1,4.7,19,73,45,12,9,5,7,5,1,0,37.0,,,0,1,0,16,2,0,0,0,0,0,1.08,-0.145,0.0,0.00%,-1.38,4.25,14.0,1t start tie,4t 1-3 2 out d3,,TOR,2.8125,L,3,13
14,15,154,2019-09-20,TOR,NYY,GS-5,,5,5.0,4,3,3,1,6,2,0,4.75,20,88,52,10,9,3,10,2,4,0,52.0,,,0,0,0,19,1,0,0,0,0,0,0.97,-0.139,0.0,0.00%,-0.29,14.25,24.0,1b start tie,5b 3 out d1,,NYY,1.0,W,4,3
15,16,159,2019-09-25,TOR,BAL,GS-6,W(5-5),4,6.0,4,0,0,2,5,0,0,4.38,22,78,45,13,7,4,11,7,2,0,67.0,,,1,0,0,20,0,0,0,2,0,0,1.13,0.355,0.0,0.00%,3.22,23.9,45.0,1t start tie,6t 3 out a2,,TOR,1.0,W,3,2
