,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,15,142,2000-09-10,COL,LAD,5-6,,99,1.2,6,6,6,2,1,1,0,32.4,13,51,30,9,4,3,7,5,0,0,,0.0,0.0,1,0,0,11,2,0,0,0,0,0,0.17,-0.069,0.04,-0.01%,-4.75,5t --- 0 out d5,6t --- 2 out d11,,COL,6.666666666666668,L,1,12
1,16,149,2000-09-17,COL,LAD,8-GF(8),,6,1.0,1,0,0,0,0,0,0,20.25,3,5,3,0,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.01,0.001,0.0,0.00%,0.53,8b --- 0 out d6,8b end d 6,,LAD,1.0,L,6,12
2,17,151,2000-09-20,COL,SDP,5-6,,2,2.0,3,3,3,2,1,0,0,17.36,11,41,24,4,5,3,5,3,1,0,,0.0,0.0,0,0,0,9,0,1,0,0,0,0,0.06,-0.016,0.0,0.00%,-1.6,5t --- 0 out d8,6t 3 out d10,,COL,2.5,L,11,15
3,18,143,2001-09-08,NYN,FLA,1-5,,99,4.2,4,1,1,0,2,0,0,1.93,16,51,37,10,4,7,7,4,1,0,,3.0,0.0,0,0,0,16,1,0,0,1,0,0,1.12,0.218,0.24,0.03%,2.6,1b 123 1 out tie,5b 3 out d1,,FLA,0.9523809523809524,W,9,7
4,19,162,2001-10-07,NYN,MON,8-GF,,28,2.0,2,1,1,0,2,0,0,2.7,9,30,22,2,6,5,2,1,0,0,,0.0,0.0,0,0,0,9,1,0,0,0,0,1,0.07,-0.013000000000000001,0.0,0.00%,0.0,8t --- 0 out d4,9t end d 5,,NYM,1.0,L,0,5
5,20,18,2002-04-20,NYN,MON,6-6,,99,1.0,2,1,1,0,0,0,0,9.0,5,25,16,2,3,3,2,1,0,0,,0.0,0.0,1,0,0,5,0,0,0,0,0,0,0.86,-0.075,1.15,-0.06%,-0.49,6b --- 0 out d1,6b 3 out d2,,MON,2.0,L,5,7
6,21,29,2002-05-05,TOR,ANA,5-8,,14,3.2,2,0,0,0,2,0,0,1.93,11,37,23,8,3,5,4,2,0,0,,2.0,0.0,0,1,1,11,1,0,0,1,0,0,0.08,0.017,0.03,0.00%,2.68,5t 12- 1 out d7,8t 3 out d7,,TOR,0.625,L,2,8
7,22,32,2002-05-09,TOR,SEA,7-8,,3,1.0,1,0,0,3,0,0,0,1.59,6,25,9,3,1,2,1,1,0,0,,1.0,0.0,1,0,0,3,0,0,0,0,0,0,1.28,0.003,0.38,0.00%,0.29,7b -2- 1 out d1,8b 12- 1 out a3,,SEA,4.0,L,7,8
8,23,34,2002-05-11,TOR,OAK,7-7,,1,1.0,0,0,0,0,1,0,0,1.35,3,10,6,4,0,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.01,0.00%,0.53,7b --- 0 out d5,7b 3 out d5,,OAK,0.0,L,4,7
9,24,35,2002-05-12,TOR,OAK,8-GF,S(1),0,1.1,3,1,1,0,0,0,0,2.25,7,22,14,4,0,2,5,4,0,0,,2.0,0.0,0,0,0,7,1,0,0,0,0,0,0.32,0.052000000000000005,0.08,0.01%,-0.01,8b 12- 2 out a3,9b end a 7,,OAK,2.727272727272727,W,11,4
10,25,37,2002-05-15,TOR,SEA,8-8,H(1),2,0.1,0,1,0,0,0,0,0,2.16,2,5,3,0,0,1,1,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,1,2.33,-0.006999999999999999,0.73,0.00%,-0.01,8t 1-- 0 out a2,8t 12- 1 out a2,,TOR,0.0,L,6,8
11,26,38,2002-05-16,TOR,SEA,7-GF,,0,2.1,3,1,1,1,0,1,0,2.53,10,35,22,7,2,4,5,3,0,0,,3.0,3.0,0,0,0,9,1,0,0,1,0,0,0.0,-0.002,0.0,0.00%,-2.05,7t 123 2 out d9,9t end d13,,TOR,1.9047619047619049,L,2,15
12,27,40,2002-05-18,TOR,OAK,8-8,H(2),1,0.1,0,0,0,0,0,0,0,2.45,1,6,4,2,0,0,1,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.3,0.008,0.07,0.00%,0.12,8t --- 2 out a3,8t 3 out a3,,TOR,0.0,W,6,3
13,28,42,2002-05-20,TOR,NYY,7-GF(8),,1,1.2,0,0,0,0,0,0,0,2.13,5,16,10,3,0,3,2,0,0,0,,1.0,1.0,0,0,0,4,0,0,0,0,1,0,0.23,-0.006999999999999999,0.08,0.00%,0.52,7b --3 1 out d2,8b end d 3,,NYY,0.0,L,3,6
14,29,44,2002-05-22,TOR,NYY,8-8,,1,0.1,0,0,0,0,0,0,0,2.08,1,5,2,0,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.04,0.001,0.01,0.00%,0.11,8b --- 2 out a6,8b 3 out a6,,NYY,0.0,W,8,3
15,30,46,2002-05-25,TOR,CLE,8-8,,2,0.2,0,0,0,1,1,0,0,1.98,3,14,6,1,2,0,1,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,0.57,0.026000000000000002,0.11,0.00%,0.73,8t -2- 1 out d3,8t 3 out d3,,TOR,5.0,L,0,3
16,31,49,2002-05-28,TOR,BOS,GS-3,,2,3.0,4,2,2,1,5,1,0,2.7,14,66,42,16,6,4,4,1,1,0,47.0,,,0,0,0,13,0,0,0,0,0,0,0.84,0.013000000000000001,0.1,0.00%,-0.3,1t start tie,3t 3 out a2,,TOR,1.6666666666666667,L,4,6
17,32,54,2002-06-03,TOR,TBD,GS-5,W(1-0),5,5.0,5,1,1,1,7,0,0,2.49,21,82,47,15,10,2,11,6,3,0,59.0,,,0,0,0,20,1,0,0,0,0,0,1.15,0.184,0.09,0.01%,1.83,1t start tie,5t 3 out a1,,TOR,1.2,W,6,1
18,33,59,2002-06-08,TOR,COL,GS-7,W(2-0),4,7.0,3,1,1,1,3,0,1,2.2,25,94,64,20,6,12,8,6,0,0,69.0,,,0,0,0,22,1,0,0,1,1,0,0.96,0.28600000000000003,0.11,0.02%,2.96,1t start tie,7t 3 out d1,,TOR,0.5714285714285714,W,3,1
19,34,63,2002-06-12,TOR,SFG,7-7,,3,0.1,1,0,0,1,0,0,0,2.17,3,12,4,1,0,0,2,1,0,0,,3.0,2.0,0,0,0,2,1,0,1,0,0,0,0.53,-0.043,0.08,0.00%,-1.17,7t 123 1 out d3,7t 123 2 out d5,,TOR,20.0,L,3,6
20,35,64,2002-06-14,TOR,MON,7-GF(8),,1,2.0,3,2,2,1,1,1,0,2.61,10,29,16,4,2,4,4,1,1,0,,0.0,0.0,0,0,0,9,1,0,1,0,0,0,0.05,-0.003,0.01,0.00%,-0.98,7b --- 0 out d4,8b end d 6,,MON,2.0,L,2,8
21,36,65,2002-06-15,TOR,MON,7-7,,0,0.2,1,0,0,0,0,0,0,2.56,3,15,9,1,2,0,3,1,0,0,,3.0,2.0,0,0,0,3,0,0,0,0,0,0,0.13,-0.01,0.01,0.00%,-0.42,7b 123 1 out d4,7b 3 out d6,,MON,5.0,L,3,9
