Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2000-04-03,SFG,FLA,7-GF(8),,99,2.0,3,1,1,0,2,0,0,4.50,9,34,24,3,4,4,3,1,0,0,,0,0,1,0,0,9,0,0,0,0,0,0,.32,-0.002,.30,0.00%,0.05,7b --- 0 out d2,8b end d 3,,FLA,1.5,L,4,6
2,4,2000-04-06,SFG,FLA,8-8,H(1),2,0.2,2,2,2,1,1,0,0,10.13,5,23,13,3,2,1,2,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.30,-0.073,1.32,-0.04%,-0.93,8b --- 0 out a3,8b 12- 2 out a2,,FLA,15.0,L,4,5
3,6,2000-04-08,SFG,ATL,6-7,,1,1.1,0,0,0,0,0,0,0,6.75,4,15,8,2,0,3,1,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.52,0.054,.53,0.03%,1.38,6b 123 2 out d3,7b 3 out d2,,ATL,0.0,L,5,7
4,7,2000-04-09,SFG,ATL,6-6,,0,0.1,0,0,0,0,1,0,0,6.23,1,4,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.63,0.017,.61,0.01%,0.47,6b 12- 2 out d3,6b 3 out d3,,ATL,0.0,L,3,9
5,9,2000-04-12,SFG,LAD,7-7,BL(0-1),2,0.0,3,3,3,0,0,0,0,12.46,3,15,10,3,0,0,3,3,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.31,-0.335,2.22,-0.19%,-2.00,7t --- 0 out a1,7t 12- 0 out tie,,SFG,inf,L,5,6
6,10,2000-04-13,SFG,LAD,5-7,,0,2.1,5,4,4,2,2,0,0,13.50,14,55,34,8,4,0,10,6,2,0,,0,0,1,0,0,12,1,0,0,0,0,0,.27,-0.030,.25,-0.02%,-1.03,5t --- 0 out d4,7t 123 1 out d5,,SFG,3.333333333333333,L,7,11
7,38,2000-05-18,SFG,ATL,6-6,,34,0.1,0,0,0,0,0,0,0,12.86,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.77,0.051,1.57,0.03%,0.54,6b 1-3 2 out d1,6b 3 out d1,,ATL,0.0,L,2,3
8,39,2000-05-19,SFG,MIL,7-7,BS(2),0,0.0,3,3,3,1,0,0,0,16.71,4,11,4,1,0,0,3,3,0,0,,1,1,0,0,0,3,1,2,0,0,0,0,2.26,-0.530,1.77,-0.25%,-4.00,7b -2- 1 out a1,7b -2- 1 out d3,,MIL,inf,L,10,11
9,40,2000-05-20,SFG,MIL,8-GF(8),,0,1.0,0,0,0,0,0,0,0,14.63,3,14,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.54,8b --- 0 out d7,8b end d 7,,MIL,0.0,L,0,7
10,138,2000-09-05,ANA,DET,5-7,,99,2.1,1,0,0,0,3,0,0,11.32,8,27,20,10,3,4,1,1,0,0,,2,0,1,0,0,8,0,0,0,0,0,0,.25,0.041,.08,0.01%,1.60,5b 12- 2 out d6,7b 3 out d3,,DET,0.47619047619047616,L,5,7
