Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,139,2015-09-08,ATL,PHI,GS-6,L(0-1),99,6.0,4,2,2,1,2,0,0,3.00,20,74,48,11,2,13,3,1,0,1,57,,,0,1,0,19,1,1,0,2,0,0,.77,-0.001,.00,0.00%,0.70,1b start tie,6b 3 out d2,,PHI,0.8333333333333334,L,0,5,,
2,144,2015-09-13,ATL,NYM,GS-7,,4,6.1,5,4,4,2,2,1,2,4.38,26,90,55,17,4,9,11,6,0,0,47,,,0,1,0,22,1,0,0,1,0,0,1.00,-0.041,.00,0.00%,0.01,1t start tie,7t 1-3 1 out a1,,ATL,1.1475409836065575,L,7,10,,
3,149,2015-09-19,ATL,PHI,GS-7,,5,7.0,2,1,1,2,5,0,0,3.26,23,98,61,20,9,10,6,2,1,0,72,,,0,0,0,21,0,0,0,2,0,0,.78,0.217,.00,0.00%,2.15,1t start tie,7t 3 out d1,,ATL,0.5714285714285714,W,2,1,,
4,154,2015-09-25,ATL,MIA,GS-3,L(0-2),5,2.0,9,7,7,1,0,1,0,5.91,15,48,27,7,0,9,5,5,0,0,9,,,0,1,0,14,2,0,0,0,0,0,1.23,-0.464,.00,0.00%,-4.93,1b start a 4,3b 123 0 out tie,,MIA,5.0,L,11,12,,
5,159,2015-10-01,ATL,WSN,GS-7,L(0-3),5,7.0,5,1,1,0,10,1,0,4.76,25,97,62,22,8,12,3,2,0,0,73,,,0,0,1,25,0,0,0,0,0,0,.72,0.217,.00,0.00%,2.15,1t start tie,7t 3 out d1,,ATL,0.7142857142857143,L,0,3,,
6,13,2016-04-19,ATL,LAD,4-7,W(1-0),99,3.2,3,1,1,0,4,0,0,2.45,14,47,36,17,5,5,5,2,0,0,,2,0,0,0,0,14,0,0,0,0,0,0,.55,0.099,.36,0.04%,1.35,4t 12- 1 out a4,7t 3 out a5,,ATL,0.9375,W,8,1,,
7,17,2016-04-23,ATL,NYM,8-GF,,3,2.0,6,3,3,1,3,2,0,6.35,13,45,26,11,4,1,8,4,0,0,,0,0,0,0,0,12,1,1,1,0,0,0,.22,-0.015,.13,-0.01%,-2.03,8t --- 0 out d3,9t end d 6,,ATL,3.5,L,2,8,,
8,20,2016-04-26,ATL,BOS,8-GF,,2,2.0,6,5,5,0,1,0,0,10.57,12,41,29,9,2,6,5,1,1,0,,0,0,0,0,0,12,4,1,0,0,0,0,.06,-0.006,.02,0.00%,-4.03,8t --- 0 out d4,9t end d 9,,ATL,3.0,L,4,11,,
9,53,2016-06-02,ATL,SFG,6-7,,36,2.0,2,0,0,0,1,0,0,8.38,8,30,22,6,1,6,1,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.06,0.008,.00,0.00%,0.97,6t --- 0 out d6,7t 3 out d6,,ATL,1.0,L,0,6,,
10,63,2016-06-13,ATL,CIN,6-6,BS(1),10,1.0,3,2,2,1,0,0,0,9.28,7,27,13,3,1,3,3,3,0,0,,0,0,0,0,0,6,0,0,1,0,0,0,2.13,-0.279,.02,0.00%,-1.52,6t --- 0 out a1,6t 3 out d1,,ATL,4.0,L,8,9,,
