,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,40,2003-05-15,CHN,MIL,17-GF(17),S(1),99,1.0,0,0,0,0,3,0,0,0.0,3,18,14,1,5,0,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.21,0.09300000000000001,1.55,0.07%,0.51,17b --- 0 out a2,17b end a 2,,MIL,0.0,W,4,2
1,2,41,2003-05-16,CHN,STL,7-GF(8),,0,2.0,0,0,0,0,1,0,0,0.0,6,26,16,7,1,1,4,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.12,0.019,0.19,0.02%,1.0,7b --- 0 out d3,8b end d 3,,STL,0.0,L,4,7
2,3,45,2003-05-21,CHN,PIT,6-7,,4,1.2,1,0,0,0,2,0,0,0.0,5,19,12,6,2,1,2,1,0,0,,2.0,1.0,0,0,0,5,0,0,0,0,0,0,0.17,-0.006999999999999999,0.22,-0.01%,0.47,6b 12- 1 out d4,7b 3 out d5,,PIT,0.8333333333333334,L,2,5
3,4,50,2003-05-26,CHN,PIT,9-GF,,4,1.0,1,0,0,0,3,0,0,0.0,4,18,13,2,5,1,0,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,9t --- 0 out d10,9t end d10,,CHC,1.0,L,0,10
4,5,54,2003-05-31,CHN,HOU,15-GF(16),W(1-0),4,2.0,0,0,0,0,4,0,0,0.0,6,31,19,8,5,2,0,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.85,0.284,2.95,0.27%,1.05,15t --- 0 out tie,16t end tie,,CHC,0.0,W,1,0
5,6,64,2003-06-12,CHN,BAL,3-7,,11,5.0,3,2,2,2,0,2,0,1.42,19,79,48,9,6,6,11,0,4,0,,0.0,0.0,0,0,0,17,0,0,0,1,0,0,0.18,-0.012,0.24,-0.01%,0.7,3b --- 0 out d4,7b 3 out d5,,BAL,1.0,L,1,6
6,7,69,2003-06-17,CHN,CIN,10-GF(10),,4,0.1,1,0,0,0,0,0,0,1.38,2,7,4,1,0,0,2,2,0,0,,1.0,1.0,0,0,0,2,1,0,0,0,0,0,3.5,-0.303,5.81,-0.30%,-0.65,10b -2- 1 out tie,10b end d 1,,CIN,10.0,L,1,2
7,8,71,2003-06-19,CHN,CIN,7-7,,1,1.0,1,0,0,1,0,0,0,1.29,4,18,10,2,3,1,2,2,0,0,,1.0,1.0,0,0,0,3,0,0,0,1,0,0,0.83,-0.022000000000000002,1.38,-0.02%,0.11,7b -2- 0 out d1,7b 3 out d2,,CIN,2.0,L,1,3
8,9,72,2003-06-20,CHN,CHW,2-5,,0,4.0,6,6,5,5,4,0,0,3.5,22,96,55,15,8,6,7,3,0,0,,0.0,0.0,0,0,0,16,3,0,0,1,0,0,0.14,-0.073,0.19,-0.06%,-3.91,2t --- 0 out d5,5t 3 out d11,,CHC,2.75,L,3,12
9,10,76,2003-06-25,CHN,MIL,10-GF(10),L(1-1),4,1.0,4,6,5,2,2,2,0,5.68,9,29,19,6,5,0,5,2,0,0,,0.0,0.0,0,0,0,7,0,1,0,0,0,0,0.61,-0.49700000000000005,0.88,-0.43%,-5.48,10t --- 0 out tie,10t end d 6,,CHC,6.0,L,6,12
10,11,101,2003-07-24,CHN,PHI,7-8,,28,1.1,2,2,2,1,0,0,0,6.2,7,19,12,2,0,2,4,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.13,-0.022000000000000002,0.12,-0.01%,-1.16,7t --- 0 out d7,8t 1-3 1 out d5,,CHC,2.727272727272727,L,6,14
11,12,134,2003-08-30,CHN,MIL,3-6,,36,4.0,3,4,4,3,7,1,0,6.66,18,81,46,20,5,4,4,1,2,0,,0.0,0.0,0,0,0,15,2,0,0,0,0,0,0.26,-0.122,0.58,-0.16%,-1.91,3t --- 0 out d3,6t 3 out d7,,CHC,1.5,L,5,9
12,13,140,2003-09-04,CHN,STL,6-7,H(1),4,1.1,1,1,1,2,1,0,0,6.66,7,37,19,8,1,2,2,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,1.67,0.047,5.19,0.09%,0.35,6t --- 0 out a1,7t -2- 1 out a1,,CHC,2.727272727272727,W,7,6
13,14,154,2003-09-19,CHN,PIT,8-GF(8),,14,1.0,1,1,1,3,1,0,0,6.75,7,28,12,2,4,1,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,1,0,0,0,0.18,-0.013000000000000001,0.72,-0.03%,-0.47,8b --- 0 out d3,8b end d 4,2.0,PIT,4.0,L,6,10
14,15,162,2003-09-28,CHN,PIT,9-GF,,8,1.0,1,0,0,0,2,0,0,6.51,3,12,8,2,3,1,0,0,0,0,,0.0,0.0,0,1,0,3,0,0,0,0,0,0,0.87,0.040999999999999995,0.0,0.00%,0.52,9t --- 0 out d1,9t end d 1,,CHC,1.0,L,2,3
