,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,147,56,2000-06-05,ATL,TOR,8-GF,,99,2.0,1,0,0,0,4,0,0,0.0,7,25,18,9,4,1,2,1,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.02,0.002,0.02,0.00%,1.12,8t --- 0 out d7,9t end d 6,,ATL,0.5,L,3,9
1,148,57,2000-06-06,ATL,TOR,8-8,,0,1.0,0,0,0,0,1,0,0,0.0,3,14,8,3,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.75,0.059000000000000004,0.9,0.04%,0.56,8t --- 0 out d1,8t 3 out d1,,ATL,0.0,W,7,6
2,149,60,2000-06-10,ATL,BOS,9-9,,3,0.0,0,0,0,2,0,0,0,0.0,2,12,4,2,0,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.18,-0.012,0.2,-0.01%,-1.02,9t --- 0 out a6,9t 12- 0 out a6,,ATL,inf,W,6,0
3,150,61,2000-06-11,ATL,BOS,9-GF,,0,0.2,0,0,0,0,0,0,0,0.0,1,3,3,1,0,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,1,0,0,0.45,0.022000000000000002,0.48,0.01%,0.58,9t 1-- 1 out d2,9t end d 2,,ATL,0.0,L,3,5
4,151,63,2000-06-13,ATL,PIT,10-GF(10),L(0-1),1,0.0,1,1,1,0,0,1,0,2.45,1,9,6,1,0,0,1,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2.31,-0.35200000000000004,2.46,-0.23%,-1.0,10b --- 0 out tie,10b end d 1,,PIT,inf,L,6,7
5,152,67,2000-06-17,ATL,PHI,7-GF(8),,3,2.0,3,2,2,1,0,0,0,4.76,10,39,21,6,1,3,6,3,1,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.09,-0.006,0.11,-0.01%,-0.88,7b --- 0 out d5,8b end d 6,,PHI,2.0,L,3,9
6,153,71,2000-06-21,ATL,CHC,9-GF,,3,0.2,1,0,0,0,0,0,0,4.26,3,7,5,1,1,0,3,1,0,0,,3.0,2.0,0,0,0,3,0,0,0,0,0,0,0.08,-0.003,0.09,0.00%,-0.36,9t 123 1 out d5,9t end d 7,,ATL,5.0,L,1,8
7,154,76,2000-06-27,ATL,MON,7-7,,5,1.0,0,0,0,0,0,0,0,3.68,3,13,7,2,0,1,2,1,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.06,0.004,0.08,0.00%,0.58,7b --- 0 out d5,7b 3 out d5,,MON,0.0,L,4,6
8,155,79,2000-06-30,ATL,NYM,8-8,,2,0.2,4,4,4,0,0,0,0,7.88,6,22,17,5,1,2,4,3,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.18,-0.015,0.25,-0.01%,-1.92,8b --- 0 out a7,8b 12- 2 out a5,,NYM,20.0,L,8,11
9,156,80,2000-07-01,ATL,NYM,7-GF(8),,0,2.0,2,2,1,2,2,1,0,7.2,11,44,26,9,2,3,4,1,2,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,1,0.04,0.0,0.06,0.00%,-0.92,7b --- 0 out d6,8b end d 8,,NYM,2.0,L,1,9
10,157,29,2001-05-06,PIT,COL,GS-5,,99,5.0,9,2,2,3,0,0,0,3.6,25,72,43,11,0,10,12,6,0,0,38.0,,,0,0,0,22,0,0,1,0,0,0,1.29,0.018000000000000002,0.74,0.01%,0.71,1t start tie,5t 3 out d2,,PIT,2.4,W,4,3
11,158,37,2001-05-14,PIT,MIL,GS-5,L(0-1),7,4.2,9,8,8,2,3,0,0,9.31,25,104,64,21,7,7,13,8,1,0,15.0,,,0,0,0,22,2,0,0,0,0,0,1.17,-0.506,0.46,-0.12%,-3.96,1b start a 3,5b 1-3 2 out d1,,MIL,2.619047619047619,L,8,11
12,159,42,2001-05-20,PIT,MIL,GS-4,,5,3.2,7,6,6,1,1,0,0,10.8,18,54,32,8,4,8,8,4,0,0,23.0,,,0,0,0,17,1,0,1,1,0,0,1.01,-0.155,0.23,-0.02%,-1.64,1t start tie,4t 123 2 out d3,,PIT,2.5,W,8,7
13,160,47,2001-05-26,PIT,ATL,GS-3,L(0-2),5,2.2,8,6,6,0,0,2,0,12.38,16,43,28,9,0,6,10,5,1,0,18.0,,,1,0,0,16,3,1,0,0,0,0,0.83,-0.32799999999999996,0.1,-0.02%,-3.72,1b start tie,3b -2- 2 out d4,,ATL,3.636363636363636,L,3,9
