Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,62,2000-06-17,NYY,CHW,GS-2,L(0-1),99,1.2,7,6,6,2,0,1,0,32.40,14,45,26,3,2,3,9,4,1,0,15,,,0,0,0,11,2,0,0,0,1,0,1.15,-0.350,1.74,-0.32%,-5.08,1t start tie,2t 1-- 2 out d6,,NYY,7.5,L,9,10
2,63,2000-06-18,NYY,CHW,7-GF,,0,2.1,2,0,0,0,0,0,0,13.50,9,27,18,4,1,4,5,3,0,0,,3,0,0,0,0,9,1,0,0,0,0,0,.00,0.000,.00,0.00%,2.02,7t 123 2 out d13,9t end d13,,NYY,0.9523809523809523,L,4,17
3,67,2000-06-22,NYY,BOS,GS-3,L(0-2),3,2.2,6,4,4,2,1,0,0,13.50,15,50,29,8,1,5,7,4,0,0,29,,,0,0,0,12,3,0,1,0,1,0,1.21,-0.261,2.24,-0.29%,-2.65,1b start a 2,3b 12- 2 out d2,,BOS,3.6363636363636362,L,2,4
4,8,2001-04-11,CLE,CHW,4-7,,99,3.1,3,1,1,0,1,1,0,2.70,13,41,29,6,4,5,7,2,1,0,,1,0,0,0,0,13,1,0,0,0,0,0,.12,0.007,.13,0.00%,1.06,4b -2- 2 out d5,7b 3 out d4,,CHW,0.9677419354838709,L,6,7
5,50,2001-05-30,CLE,DET,8-9,,48,1.2,5,3,3,1,1,0,0,7.20,12,54,36,11,4,7,3,2,0,0,,0,0,0,0,0,10,2,0,0,0,1,1,.06,-0.009,.08,-0.01%,-2.49,8b --- 0 out a7,9b 1-3 2 out a4,,DET,5.0,W,8,4
6,54,2001-06-04,CLE,MIN,2-6,,4,4.1,3,0,0,2,6,0,0,3.86,18,80,51,9,10,8,2,1,0,0,,2,2,1,0,0,16,1,0,1,0,0,0,.26,-0.007,.34,-0.01%,0.85,2b -23 2 out d4,6b 3 out d4,,MIN,1.2195121951219514,L,10,11
7,64,2001-06-15,CLE,PIT,5-6,,10,2.0,1,0,0,0,1,0,0,3.18,7,22,15,3,1,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.17,0.026,.19,0.02%,1.08,5b --- 0 out d4,6b 3 out d4,,PIT,0.5,L,3,6
8,65,2001-06-16,CLE,PIT,6-8,,0,2.0,2,1,1,0,1,0,0,3.38,8,19,15,3,3,2,5,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.65,0.024,.78,0.02%,-0.27,6b --- 0 out d1,8b 1-3 0 out d1,,PIT,1.0,L,4,6
9,68,2001-06-20,CLE,MIN,5-6,W(1-0),3,1.0,2,0,0,1,1,0,0,3.14,6,13,8,2,1,2,2,1,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.37,0.020,2.32,0.02%,0.55,5t 123 2 out d2,6t 123 2 out a2,,CLE,3.0,W,4,2
10,70,2001-06-22,CLE,KCR,7-7,H(1),1,1.0,0,0,0,0,1,0,0,2.93,3,13,8,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.15,0.092,1.45,0.07%,0.58,7b --- 0 out a2,7b 3 out a2,,KCR,0.0,W,6,5
11,72,2001-06-24,CLE,KCR,7-7,H(2),1,1.0,2,0,0,0,0,0,0,2.76,5,18,13,3,1,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.98,0.092,2.48,0.07%,0.58,7b --- 0 out a2,7b 3 out a2,,KCR,2.0,W,4,2
12,73,2001-06-25,CLE,NYY,7-7,H(3),0,0.1,1,1,1,0,1,0,0,3.24,2,8,5,1,2,1,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,2.44,-0.038,3.36,-0.03%,-0.17,7b --- 0 out a1,7b -2- 1 out a1,,NYY,10.0,L,7,8
13,76,2001-06-29,CLE,KCR,7-GF,,3,3.0,2,0,0,1,1,0,0,2.75,12,40,27,6,3,5,5,3,0,0,,0,0,0,0,0,11,0,0,1,0,0,0,.58,0.092,.76,0.07%,1.65,7t --- 0 out d2,9t end d 2,,CLE,1.0,L,3,5
14,80,2001-07-03,CLE,BOS,GS-6,W(2-0),3,6.0,5,1,1,2,4,1,0,2.45,22,90,54,21,6,8,8,4,0,0,60,,,0,0,0,20,0,0,0,3,0,0,.82,0.247,1.45,0.26%,2.29,1t start tie,6t 3 out a4,,CLE,1.1666666666666667,W,9,1
15,85,2001-07-08,CLE,STL,GS-5,,4,5.0,5,3,3,1,2,1,1,2.93,21,82,53,18,4,10,7,2,2,0,46,,,1,0,0,19,0,0,0,1,0,0,1.04,-0.073,1.63,-0.07%,-0.26,1t start tie,5t 3 out d1,,CLE,1.2,L,3,4
16,89,2001-07-15,CLE,HOU,GS-5,L(2-1),6,4.1,5,4,4,4,7,0,1,3.60,22,95,54,17,20,3,7,5,0,0,40,,,0,1,0,17,1,0,1,0,0,0,1.35,-0.097,2.13,-0.09%,-0.85,1b start a 1,5b 123 1 out d1,,HOU,2.1951219512195124,L,3,5
