,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,3,2000-04-05,MIL,CIN,7-7,,99,0.0,1,0,0,0,0,0,0,---,1,2,2,1,0,0,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,0,0,2.13,-0.146,2.31,-0.10%,-0.9,7b 1-- 1 out a2,7b -23 1 out a2,,CIN,inf,W,8,5
1,2,4,2000-04-06,MIL,CIN,6-6,,0,1.0,0,0,0,0,1,0,0,0.00,3,12,10,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.16,0.013000000000000001,0.19,0.01%,0.57,6b --- 0 out d4,6b 3 out d4,,CIN,0.0,L,1,5
2,3,5,2000-04-07,MIL,STL,7-7,H(1),0,0.1,0,0,0,0,0,0,0,0.00,1,4,2,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.55,0.095,3.89,0.06%,0.47,7b 12- 2 out a1,7b 3 out a1,,STL,0.0,W,9,1
3,4,8,2000-04-10,MIL,FLA,7-7,H(2),2,0.1,0,0,0,1,0,0,0,0.00,2,11,5,1,1,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.5,-0.004,1.42,0.00%,-0.02,7t --- 0 out a1,7t 1-- 1 out a1,,MIL,10.0,W,4,3
4,5,9,2000-04-12,MIL,FLA,8-8,,1,1.0,1,1,1,1,0,1,0,3.38,4,13,6,2,1,1,2,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,0.3,-0.027999999999999997,0.29,-0.02%,-0.46,8t --- 0 out d3,8t 3 out d4,,MIL,2.0,L,4,11
5,6,13,2000-04-16,MIL,ATL,8-8,,3,0.0,1,0,0,0,0,0,0,3.38,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.26,-0.035,1.25,-0.02%,-0.4,8t 1-- 1 out d1,8t 12- 1 out d1,,MIL,inf,L,1,2
6,7,14,2000-04-18,MIL,NYM,7-7,,1,1.0,0,0,0,1,1,0,0,2.45,4,18,9,3,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.54,7b --- 0 out d8,7b 3 out d8,,NYM,1.0,L,7,10
7,8,19,2000-04-23,MIL,MON,4-6,,4,2.1,0,0,0,2,3,0,0,1.50,9,40,24,9,5,3,1,0,0,0,,3,2,0,0,0,7,0,0,0,0,0,0,0.86,-0.077,0.75,-0.04%,-0.02,4b 123 2 out d1,6b 3 out d3,,MON,0.9523809523809524,L,4,6
8,9,20,2000-04-25,MIL,STL,7-8,,1,1.0,0,1,1,1,0,0,1,2.57,4,17,8,2,1,0,2,1,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,0.43,0.018000000000000002,0.43,0.01%,0.17,7b --- 0 out d2,8b 1-- 0 out d2,,STL,1.0,L,2,7
9,10,22,2000-04-27,MIL,STL,9-GF,,1,1.0,1,2,2,2,1,1,0,4.50,6,28,13,4,4,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.25,0.004,0.21,0.00%,-1.43,9b --- 0 out a6,9b end a 4,,STL,3.0,W,8,4
10,11,24,2000-04-29,MIL,HOU,4-5,,1,1.0,3,3,3,5,1,0,0,7.00,11,50,21,8,4,2,3,2,1,0,,3,3,0,0,0,6,1,0,0,0,0,0,0.27,-0.10300000000000001,0.19,-0.04%,-5.46,4t 123 2 out d4,5t 123 2 out d10,,MIL,8.0,L,3,10
