,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,122,2012-08-20,PIT,SDP,8-GF(8),,99,1.0,2,0,0,0,3,0,0,0.0,5,19,12,3,1,0,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.18,0.011000000000000001,0.27,0.01%,0.43,8b --- 0 out d2,8b end d 2,,SDP,2.0,L,1,3,,
1,2,133,2012-09-02,PIT,MIL,5-6,,12,1.0,4,1,1,0,0,0,0,4.5,7,25,17,4,1,4,3,3,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,0.31,-0.042,0.36,-0.03%,-1.5,5b --- 0 out d4,6b 12- 0 out d4,,MIL,4.0,L,8,12,,
2,3,137,2012-09-07,PIT,CHC,6-6,,4,0.0,1,0,0,1,0,0,0,4.5,2,10,4,1,0,0,1,0,0,0,,3,2,0,0,0,1,1,0,0,0,0,0,0.13,-0.012,0.13,-0.01%,-2.0,6t 123 0 out d5,6t 123 0 out d7,,PIT,inf,L,2,12,,
3,4,143,2012-09-14,PIT,CHC,4-4,,6,0.0,1,0,0,0,0,0,0,4.5,1,2,1,0,0,0,1,1,0,0,,3,2,0,0,0,1,1,0,0,0,0,0,2.63,-0.162,1.55,-0.06%,-1.83,4b 123 2 out d1,4b -23 2 out d3,,CHC,inf,L,4,7,,
4,5,145,2012-09-16,PIT,CHC,8-GF(8),,1,0.1,1,0,0,0,0,0,0,3.86,2,7,5,2,0,0,2,1,0,0,,2,2,1,0,0,2,0,0,0,0,0,0,0.35,-0.044000000000000004,0.24,-0.02%,-1.51,8b 1-3 2 out d2,8b end d 4,,CHC,10.0,L,9,13,,
5,6,150,2012-09-21,PIT,HOU,8-GF(8),,4,1.0,0,0,0,2,2,0,0,2.7,5,23,12,4,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.48,8b --- 0 out d6,8b end d 6,,HOU,2.0,L,1,7,,
6,7,153,2012-09-24,PIT,NYM,7-7,,2,1.0,0,0,0,0,2,0,0,2.08,3,13,7,2,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.45,7b --- 0 out d6,7b 3 out d6,,NYM,0.0,L,2,6,,
7,8,161,2012-10-02,PIT,ATL,7-7,,7,0.1,1,0,0,0,0,0,0,1.93,1,5,3,1,1,0,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,0,0,0.37,0.01,0.0,0.00%,0.21,7t 1-- 2 out a4,7t 3 out a4,,PIT,10.0,W,5,1,,
8,9,1,2013-04-01,PIT,CHC,6-7,,99,1.1,0,0,0,0,2,0,0,0.0,4,19,15,5,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.19,0.019,0.2,0.01%,0.51,6t --- 2 out d3,7t 3 out d3,,PIT,0.0,L,1,3,,
9,10,7,2013-04-08,PIT,ARI,5-7,H(1),6,3.0,0,0,0,0,2,0,1,0.0,9,35,21,4,4,4,2,0,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,1.36,0.26,1.12,0.13%,1.36,5b --- 0 out a1,7b 3 out a1,,ARI,0.0,W,5,3,,
10,11,11,2013-04-13,PIT,CIN,6-7,H(2),4,1.2,3,0,0,2,2,0,0,0.0,9,40,21,5,2,2,3,2,0,0,,0,0,0,1,0,7,1,0,0,0,0,0,2.16,0.069,2.24,0.04%,0.39,6t --- 0 out a1,7t 1-3 2 out a1,,PIT,4.166666666666667,W,3,1,,
11,12,13,2013-04-15,PIT,STL,2-5,,1,3.1,1,2,2,2,1,0,0,1.93,13,55,36,8,3,5,5,2,0,0,,1,0,0,0,0,11,1,0,0,1,0,1,0.11,-0.003,0.13,0.00%,-0.45,2t -2- 2 out d7,5t 3 out d6,,PIT,0.9677419354838708,L,6,10,,
12,13,15,2013-04-18,PIT,ATL,5-6,,2,1.1,0,0,0,2,1,0,0,1.69,6,30,17,2,1,2,1,0,0,0,,1,0,0,0,0,3,0,0,1,0,0,0,1.91,0.092,1.91,0.06%,0.62,5t 1-- 2 out d1,6t 3 out tie,,PIT,1.818181818181818,L,4,6,,
13,14,18,2013-04-21,PIT,ATL,6-7,W(1-0),2,1.1,1,0,0,1,1,0,0,1.5,4,17,9,2,1,1,1,0,0,0,,2,0,0,1,0,3,1,0,0,1,0,0,2.13,0.152,2.06,0.09%,0.96,6t 12- 1 out tie,7t -2- 2 out a1,,PIT,1.818181818181818,W,4,2,,
14,15,22,2013-04-25,PIT,PHI,6-7,W(2-0),3,2.0,0,0,0,0,2,0,0,1.29,6,24,15,2,4,1,3,2,1,0,,2,1,0,0,0,5,0,0,0,0,1,0,1.19,0.113,1.23,0.07%,1.22,6b 1-3 0 out d1,7b 3 out tie,,PHI,0.0,W,6,4,,
15,16,25,2013-04-28,PIT,STL,8-GF,,2,2.0,0,0,0,1,0,0,0,1.13,7,37,27,4,3,4,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.19,0.023,0.25,0.02%,0.9,8b --- 0 out a4,9b end a 9,,STL,0.5,W,9,0,,
16,17,28,2013-05-01,PIT,MIL,5-7,,2,2.1,1,1,1,1,3,0,1,1.47,10,42,27,8,6,3,2,0,1,0,,0,0,1,0,0,8,0,0,0,0,0,0,0.63,-0.073,0.82,-0.06%,-0.77,5b --- 0 out d2,7b 1-3 1 out d2,,MIL,0.9523809523809524,W,6,4,,
17,18,30,2013-05-04,PIT,WSN,6-7,BS(1),2,1.2,1,0,0,3,3,0,0,1.35,10,38,22,3,9,2,2,0,0,0,,2,2,0,0,0,7,0,0,0,0,0,1,2.68,-0.133,3.2,-0.10%,-0.92,6t 12- 0 out a2,7t 123 2 out tie,,PIT,3.333333333333333,L,4,5,,
18,19,32,2013-05-07,PIT,SEA,6-6,H(3),2,1.0,1,0,0,0,1,0,0,1.29,4,14,10,4,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.86,0.057999999999999996,0.93,0.04%,0.42,6t --- 0 out a2,6t 3 out a2,,PIT,1.0,W,4,1,,
19,20,36,2013-05-11,PIT,NYM,8-8,,3,1.0,0,0,0,0,2,0,0,1.23,3,14,11,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.42,8b --- 0 out a10,8b 3 out a10,,NYM,0.0,W,11,2,,
20,21,37,2013-05-12,PIT,NYM,6-7,BW(3-0),0,1.1,1,1,1,1,4,0,0,1.54,6,29,20,7,5,0,1,0,0,0,,1,0,2,0,0,5,0,0,0,0,0,0,2.16,-0.134,2.48,-0.09%,-0.39,6b 1-- 2 out a1,7b 3 out tie,,NYM,1.818181818181818,W,3,2,,
21,22,41,2013-05-16,PIT,MIL,6-7,H(4),3,1.1,0,0,0,0,0,0,0,1.46,4,18,11,4,1,3,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,0.67,0.07,0.81,0.05%,0.87,6t 1-3 2 out a2,7t 3 out a6,,PIT,0.0,W,7,1,,
22,23,42,2013-05-17,PIT,HOU,9-GF,W(4-0),0,1.0,0,0,0,1,1,0,0,1.4,3,15,9,4,1,1,0,0,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,1.99,0.121,2.22,0.08%,0.42,9t --- 0 out tie,9t end tie,,PIT,1.0,W,5,4,,
23,24,45,2013-05-21,PIT,CHC,7-7,H(5),3,1.0,2,0,0,0,1,0,0,1.35,5,24,16,5,3,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.9,0.061,2.33,0.05%,0.42,7t --- 0 out a2,7t 3 out a2,,PIT,2.0,W,5,4,,
24,25,47,2013-05-23,PIT,CHC,7-8,H(6),1,1.1,1,0,0,0,1,0,0,1.29,5,26,20,3,2,2,2,1,0,0,,2,1,0,0,0,5,0,0,0,0,0,0,1.36,0.055999999999999994,1.67,0.04%,-0.13,7t 1-3 2 out a3,8t 3 out a2,,PIT,0.9090909090909092,W,4,2,,
