Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,65,2013-06-12,LAD,ARI,7-7,BS(1),99,0.2,3,1,1,1,1,0,0,13.50,6,25,14,4,0,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.95,-0.254,.74,-0.06%,-1.29,7t --- 0 out a1,7t 123 2 out tie,,LAD,20.0,L,6,8
2,67,2013-06-15,LAD,PIT,8-8,H(1),2,0.2,1,1,1,1,2,0,0,13.50,4,19,12,3,0,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.13,-0.001,.83,0.00%,0.03,8b --- 0 out a2,8b 12- 2 out a2,,PIT,10.0,W,5,3
3,70,2013-06-19,LAD,NYY,7-8,,3,2.0,0,0,0,0,0,0,0,5.40,6,24,16,2,0,2,4,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,0.017,.04,0.00%,0.97,7b --- 0 out a6,8b 3 out a6,2,NYY,0.0,W,6,0
4,81,2013-06-30,LAD,PHI,9-9,,10,0.2,2,1,1,0,1,0,0,6.75,4,13,9,3,2,0,3,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,.01,0.00%,-0.77,9t --- 0 out a6,9t 1-- 2 out a5,,LAD,10.0,W,6,1
5,84,2013-07-04,LAD,COL,6-7,,3,2.0,1,1,1,1,4,1,0,6.00,7,35,21,9,5,1,1,0,0,0,,0,0,0,1,0,6,0,0,0,0,0,0,.12,-0.001,.14,0.00%,0.05,6b --- 0 out d4,7b 3 out d5,,COL,1.0,L,5,9
6,90,2013-07-10,LAD,ARI,10-12,,5,3.0,1,0,0,2,3,0,0,4.00,11,59,34,11,6,2,4,2,1,0,,0,0,0,0,0,9,0,0,0,1,0,0,2.11,0.383,3.82,0.42%,1.36,10b --- 0 out tie,12b 3 out tie,,ARI,1.0,W,7,5
7,96,2013-07-20,LAD,WSN,9-9,W(1-0),9,1.0,0,0,0,0,1,0,0,3.60,3,16,10,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.74,0.129,2.51,0.11%,0.46,9b --- 0 out tie,9b 3 out tie,,WSN,0.0,W,3,1
8,98,2013-07-22,LAD,TOR,9-GF,,1,1.0,1,0,0,0,2,0,0,3.27,4,19,14,3,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.49,9b --- 0 out a9,9b end a 9,,TOR,1.0,W,14,5
9,100,2013-07-24,LAD,TOR,7-7,,1,0.1,0,0,0,1,0,0,0,3.18,2,10,3,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.58,0.064,4.18,0.06%,0.32,7b -2- 2 out tie,7b 3 out tie,,TOR,10.0,W,8,3
10,107,2013-08-01,LAD,CHC,6-7,H(2),7,1.1,0,0,0,0,2,0,0,2.84,4,16,12,4,4,1,1,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.41,0.139,2.15,0.13%,0.86,6b 12- 2 out a2,7b 3 out a2,,CHC,0.0,W,6,4
11,110,2013-08-04,LAD,CHC,6-7,H(3),2,1.2,0,0,0,0,2,0,0,2.51,5,22,18,5,3,1,2,0,2,0,,3,0,0,0,0,5,0,0,0,0,0,0,2.82,0.365,3.79,0.29%,1.96,6b 123 1 out a1,7b 3 out a1,,CHC,0.0,W,1,0
12,113,2013-08-07,LAD,STL,6-7,,2,2.0,3,1,1,0,2,0,0,2.76,9,37,27,6,6,2,5,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.38,0.015,.42,0.01%,-0.11,6b --- 0 out a6,7b 3 out a5,,STL,1.5,W,13,4
13,116,2013-08-10,LAD,TBR,8-GF,,2,2.0,0,0,0,0,1,0,0,2.45,6,30,19,4,3,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.09,0.013,.09,0.01%,0.85,8t --- 0 out a5,9t end a 5,,LAD,0.0,W,5,0
14,120,2013-08-14,LAD,NYM,6-7,,3,2.0,0,0,0,1,3,0,0,2.21,7,37,24,5,4,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.29,0.038,.17,0.01%,0.85,6t --- 0 out d4,7t 3 out d2,,LAD,0.5,W,5,4
15,124,2013-08-19,LAD,MIA,8-8,,4,0.1,1,1,1,0,1,1,0,2.61,2,10,6,1,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.31,-0.073,.18,-0.03%,-0.86,8b --- 1 out d1,8b --- 2 out d2,,MIA,10.0,L,2,6
16,125,2013-08-20,LAD,MIA,6-7,W(2-0),0,1.1,2,0,0,0,2,0,0,2.45,5,23,17,4,2,3,0,0,0,0,,3,0,0,0,0,5,0,0,0,1,0,0,2.72,0.186,1.61,0.07%,1.19,6b 123 2 out tie,7b 3 out tie,,MIA,1.8181818181818181,W,6,4
17,130,2013-08-25,LAD,BOS,6-7,,4,2.0,3,3,3,1,1,2,0,3.38,10,49,32,5,7,1,7,2,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.35,-0.137,.13,-0.03%,-2.15,6t --- 0 out d2,7t 3 out d5,,LAD,2.0,L,1,8
18,138,2013-09-03,LAD,COL,9-GF,S(1),8,0.1,0,0,0,0,1,0,0,3.33,1,6,4,2,1,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.56,0.016,.13,0.00%,0.24,9b 1-- 2 out a3,9b end a 3,,COL,0.0,W,7,4
19,140,2013-09-06,LAD,CIN,6-7,,2,2.0,0,0,0,0,5,0,0,3.08,6,21,17,4,8,0,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.55,0.081,.14,0.01%,0.90,6b --- 0 out d1,7b 3 out d1,,CIN,0.0,L,2,3
20,142,2013-09-08,LAD,CIN,8-8,,1,1.0,0,0,0,0,2,0,0,2.96,3,17,8,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.100,.41,0.02%,0.45,8b --- 0 out tie,8b 3 out tie,,CIN,0.0,L,2,3
21,144,2013-09-10,LAD,ARI,10-GF(11),W(3-0),1,1.1,0,0,0,0,1,0,0,2.83,4,12,10,2,3,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.57,0.151,.36,0.02%,0.51,10t --- 2 out tie,11t end tie,,LAD,0.0,W,5,3
22,146,2013-09-12,LAD,SFG,8-8,,1,0.0,1,0,0,1,0,0,0,2.83,2,13,7,3,0,0,1,1,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,2.96,-0.223,.61,-0.03%,-0.96,8t --- 0 out a1,8t 12- 0 out a1,,LAD,inf,W,3,2
23,147,2013-09-13,LAD,SFG,8-8,,0,1.0,1,1,1,0,1,1,0,3.03,4,18,12,4,1,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.49,-0.093,.11,-0.01%,-0.58,8t --- 0 out d1,8t 3 out d2,,LAD,1.0,L,2,4
24,156,2013-09-22,LAD,SDP,7-8,H(4),8,2.0,0,0,0,2,2,0,0,2.84,9,34,18,6,0,4,1,0,0,0,,0,0,1,0,0,7,0,0,0,0,0,1,3.01,0.222,.56,0.03%,0.81,7b --- 0 out a1,8b 3 out a1,,SDP,1.0,W,1,0
25,159,2013-09-26,LAD,SFG,6-7,,3,2.0,0,0,0,1,2,0,0,2.67,6,26,15,5,4,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,1.44,0.148,.29,0.02%,0.82,6b --- 0 out tie,7b 3 out tie,,SFG,0.5,L,2,3
26,162,2013-09-29,LAD,COL,7-7,,2,1.0,0,0,0,1,1,0,0,2.60,4,13,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.09,0.047,.00,0.00%,0.43,7t --- 0 out d1,7t 3 out d1,,LAD,1.0,L,1,2
27,2,2014-03-23,LAD,ARI,6-6,,99,1.0,1,0,0,1,0,0,0,0.00,4,12,6,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.48,0.012,.53,0.01%,0.45,6b --- 0 out a6,6b 3 out a6,,ARI,2.0,W,7,5
28,4,2014-04-01,LAD,SDP,7-7,H(1),8,1.0,0,0,0,0,1,0,0,0.00,4,15,10,1,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.92,0.098,2.21,0.07%,0.41,7b --- 0 out a1,7b 3 out a1,,SDP,0.0,W,3,2
29,6,2014-04-04,LAD,SFG,7-8,,2,2.0,0,0,0,0,4,0,0,0.00,6,31,18,6,5,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.09,0.014,.11,0.01%,0.85,7t --- 0 out d4,8t 3 out d4,,LAD,0.0,L,4,8
30,8,2014-04-06,LAD,SFG,7-7,H(2),1,1.0,0,0,0,0,3,0,0,0.00,3,10,9,1,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.039,.67,0.03%,0.42,7t --- 0 out a3,7t 3 out a3,,LAD,0.0,W,6,2
31,9,2014-04-08,LAD,DET,7-7,,1,1.0,0,0,0,0,1,0,0,0.00,3,11,8,5,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.12,0.081,1.15,0.05%,0.42,7t --- 0 out tie,7t 3 out tie,,LAD,0.0,W,3,2
32,12,2014-04-12,LAD,ARI,7-7,,3,1.0,0,0,0,1,3,0,0,0.00,4,24,12,4,1,0,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.46,0.016,.57,0.01%,0.45,7b --- 0 out a5,7b 3 out a5,,ARI,1.0,W,8,5
33,14,2014-04-15,LAD,SFG,6-6,BS(1),2,1.0,1,1,0,1,1,0,0,0.00,5,21,12,2,2,1,2,1,0,0,,0,0,0,1,0,3,0,0,0,0,1,1,2.08,-0.136,2.85,-0.11%,-0.58,6b --- 0 out a1,6b 3 out tie,,SFG,2.0,L,2,3
34,17,2014-04-18,LAD,ARI,8-9,,2,1.1,0,1,1,3,1,0,0,0.96,7,26,12,2,5,2,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.91,-0.281,2.28,-0.20%,-0.98,8t --- 0 out tie,9t 12- 1 out d1,,LAD,2.727272727272727,L,2,4
35,21,2014-04-22,LAD,PHI,7-7,,3,1.0,0,0,0,0,2,0,0,0.87,3,18,10,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.65,0.047,.76,0.03%,0.42,7t --- 0 out d1,7t 3 out d1,,LAD,0.0,L,2,3
36,23,2014-04-24,LAD,PHI,7-7,,1,1.0,0,0,0,1,0,0,0,0.79,3,10,5,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.17,0.047,1.37,0.03%,0.42,7t --- 0 out d1,7t 3 out d1,,LAD,1.0,L,3,7
37,25,2014-04-26,LAD,COL,8-8,H(3),1,1.0,0,0,0,3,2,0,0,0.73,6,30,14,3,8,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.10,0.035,2.72,0.03%,0.42,8t --- 0 out a3,8t 3 out a3,,LAD,3.0,W,6,3
38,27,2014-04-30,LAD,MIN,7-7,H(4),3,0.1,0,0,0,0,0,0,0,0.71,1,4,1,0,0,0,1,0,1,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.43,0.062,2.60,0.04%,0.75,7b 123 2 out a4,7b 3 out a4,,MIN,0.0,W,6,4
39,31,2014-05-03,LAD,MIA,8-8,H(5),2,1.0,1,0,0,2,1,0,0,0.66,6,23,13,2,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,3.98,0.132,4.70,0.09%,0.44,8b --- 0 out a1,8b 3 out a1,,MIA,3.0,W,9,7
40,33,2014-05-05,LAD,WSN,6-6,,1,1.0,0,0,0,1,2,0,0,0.61,4,18,10,3,2,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.51,0.026,.60,0.02%,0.46,6b --- 0 out d2,6b 3 out d2,,WSN,1.0,L,0,4
