Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2000-04-03,CHW,TEX,8-GF(8),,99,1.0,0,0,0,0,0,0,0,0.00,3,12,7,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.60,8b --- 0 out d9,8b end d 9,,TEX,0.0,L,4,10
2,2,2000-04-04,CHW,TEX,6-6,,0,0.0,2,3,2,1,0,0,0,18.00,3,9,4,1,0,0,2,2,0,0,,1,1,0,0,0,2,1,0,1,0,0,0,1.58,-0.246,1.54,-0.14%,-2.25,6b -2- 1 out tie,6b 12- 1 out d2,,TEX,inf,L,8,12
3,5,2000-04-07,CHW,OAK,8-8,H(1),2,0.2,0,0,0,0,2,0,0,10.80,2,11,7,2,4,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,3.58,0.175,3.69,0.11%,0.72,8b 1-- 0 out a1,8b 1-- 2 out a1,,OAK,0.0,W,7,6
4,6,2000-04-08,CHW,OAK,7-8,H(2),0,1.2,1,0,0,0,3,0,0,5.40,6,26,16,9,2,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.62,0.085,.67,0.06%,0.89,7b --- 0 out a3,8b 1-- 2 out a4,,OAK,0.8333333333333334,W,7,3
5,9,2000-04-12,CHW,TBD,9-GF,,3,1.0,1,0,0,0,0,0,0,4.15,4,23,15,3,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.004,.06,0.00%,0.59,9b --- 0 out a6,9b end a 6,,TBD,1.0,W,7,1
6,10,2000-04-13,CHW,TBD,7-7,H(3),0,1.0,1,0,0,0,0,0,0,3.38,3,9,7,1,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.45,0.115,2.73,0.08%,0.59,7b --- 0 out a1,7b 3 out a1,,TBD,1.0,L,5,6
7,11,2000-04-14,CHW,ANA,7-7,,0,1.0,0,0,0,0,2,0,0,2.84,3,21,14,4,3,1,0,0,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,.57,0.047,.61,0.03%,1.12,7t -23 0 out a6,7t 3 out a5,,CHW,0.0,W,9,4
8,13,2000-04-16,CHW,ANA,7-7,,1,0.2,0,0,0,1,1,0,0,2.57,3,17,9,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.56,0.024,.64,0.02%,0.34,7t --- 0 out d2,7t 1-- 2 out d2,,CHW,5.0,L,1,3
9,16,2000-04-21,CHW,DET,7-8,,4,1.1,1,0,0,0,2,0,0,2.16,5,26,18,7,2,2,1,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.46,0.054,.59,0.04%,1.36,7t 12- 1 out a5,8t 1-- 2 out a5,,CHW,0.9090909090909091,W,7,2
10,18,2000-04-23,CHW,DET,6-8,,1,1.2,2,0,0,0,0,0,0,1.80,7,28,19,6,3,4,3,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.48,0.013,.61,0.01%,-0.12,6t 1-- 1 out a4,8t 1-3 0 out a5,,CHW,1.6666666666666667,W,9,4
11,21,2000-04-26,CHW,BAL,6-7,H(4),2,1.2,2,0,0,1,1,0,0,1.54,8,35,20,7,1,4,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.10,0.067,1.44,0.05%,0.94,6t --- 1 out a3,7t 3 out a4,,CHW,2.5,W,11,6
12,23,2000-04-28,CHW,DET,8-8,H(5),1,0.1,0,0,0,0,0,0,0,1.50,1,2,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.93,0.050,2.50,0.04%,0.18,8b --- 1 out a1,8b --- 2 out a1,,DET,0.0,W,3,2
13,24,2000-04-29,CHW,DET,8-8,,0,0.0,1,0,0,0,0,0,0,1.50,1,4,2,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.31,-0.037,1.66,-0.03%,-0.14,8b --- 2 out a1,8b 1-- 2 out a1,,DET,inf,W,2,1
14,25,2000-04-30,CHW,DET,8-8,H(6),0,0.1,0,0,0,0,0,0,0,1.46,1,4,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.47,0.072,3.18,0.06%,0.25,8b 1-- 2 out a1,8b 3 out a1,,DET,0.0,L,3,4
15,27,2000-05-02,CHW,TOR,7-7,BL(0-1),1,0.1,3,3,2,1,0,0,0,2.84,6,23,14,3,4,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.62,-0.443,3.33,-0.34%,-3.08,7t --- 0 out a1,7t 123 1 out d1,,CHW,40.0,L,1,4
16,30,2000-05-06,CHW,KCR,8-GF(8),,3,1.0,1,1,1,0,1,1,0,3.29,4,15,9,4,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,-0.003,.03,0.00%,-0.39,8b --- 0 out d5,8b end d 6,,KCR,1.0,L,5,11
17,31,2000-05-07,CHW,KCR,7-8,L(0-2),0,0.2,0,1,1,1,0,0,0,3.77,3,16,11,3,2,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.77,0.028,2.73,0.03%,0.49,7b 12- 2 out d2,8b 1-- 1 out tie,,KCR,5.0,L,8,12
18,32,2000-05-08,CHW,BOS,6-6,,0,1.0,0,0,0,0,2,0,0,3.52,3,12,8,0,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.70,0.057,.91,0.04%,0.62,6b --- 0 out d1,6b 3 out d1,,BOS,0.0,L,2,3
19,34,2000-05-10,CHW,BOS,6-GF(6),,1,0.1,0,0,0,0,0,0,0,3.45,1,3,3,1,1,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.76,0.047,2.25,0.04%,0.85,6b 123 2 out d2,6b end d 2,,BOS,0.0,L,3,5
20,35,2000-05-12,CHW,MIN,9-9,,1,0.1,0,0,0,0,0,0,0,3.38,1,4,2,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.59,0.125,6.59,0.11%,0.49,9t 12- 2 out tie,9t 3 out tie,,CHW,0.0,L,3,4
21,36,2000-05-13,CHW,MIN,9-GF,W(1-2),0,0.2,0,0,0,0,1,0,0,3.24,1,6,3,0,1,0,0,0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,1.55,0.078,2.16,0.07%,1.02,9t 12- 1 out d1,9t end d 1,,CHW,0.0,W,4,3
22,37,2000-05-14,CHW,MIN,7-7,W(2-2),0,1.0,0,0,0,0,1,0,0,3.06,3,9,6,1,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.096,1.69,0.08%,0.61,7t --- 0 out tie,7t 3 out tie,,CHW,0.0,W,5,3
23,40,2000-05-19,CHW,TOR,8-8,H(7),4,0.1,2,1,1,0,0,0,0,3.50,3,7,5,0,1,1,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.60,-0.095,2.11,-0.08%,-1.01,8b --- 0 out a3,8b 1-- 1 out a2,,TOR,20.0,W,5,3
24,42,2000-05-21,CHW,TOR,7-7,H(8),1,0.1,0,0,0,0,1,0,0,3.44,1,5,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.83,0.056,2.46,0.05%,0.37,7b -2- 2 out a2,7b 3 out a2,,TOR,0.0,W,2,1
25,44,2000-05-23,CHW,NYY,7-8,,1,1.0,0,0,0,1,1,0,0,3.26,4,15,10,2,2,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.16,0.015,.23,0.01%,0.61,7t 1-- 2 out a5,8t 1-- 2 out a6,,CHW,1.0,W,8,2
26,47,2000-05-26,CHW,CLE,7-7,H(9),2,0.2,0,0,0,0,1,0,0,3.15,2,8,6,2,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.80,0.043,1.35,0.04%,0.33,7t --- 1 out a2,7t 3 out a2,,CHW,0.0,W,5,3
27,50,2000-05-29,CHW,SEA,7-7,,2,0.2,0,0,0,0,0,0,0,3.05,1,2,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,.91,0.044,1.24,0.04%,0.98,7b 12- 1 out d2,7b 3 out d2,,SEA,0.0,L,4,5
28,52,2000-05-31,CHW,SEA,7-7,,1,0.1,1,0,0,1,0,0,0,3.00,3,14,6,1,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.57,-0.055,2.20,-0.05%,-0.41,7b --- 0 out tie,7b 12- 1 out tie,,SEA,20.0,W,4,3
29,53,2000-06-02,CHW,HOU,6-6,H(10),1,0.1,2,0,0,1,0,0,0,2.95,4,15,9,2,2,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,2.67,-0.168,3.59,-0.14%,-1.83,6b 12- 1 out a4,6b 123 2 out a2,,HOU,30.0,W,7,4
30,56,2000-06-05,CHW,CIN,7-7,,2,0.0,1,0,0,0,0,0,0,2.95,1,3,2,0,0,0,1,1,0,0,,2,1,0,0,0,1,1,0,0,0,0,0,2.74,-0.191,3.69,-0.16%,-1.50,7b 12- 1 out a3,7b -23 1 out a2,,CIN,inf,W,4,3
31,58,2000-06-07,CHW,CIN,6-6,H(11),1,0.1,0,0,0,0,1,0,0,2.91,1,6,3,0,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.86,0.077,3.80,0.06%,0.48,6b 12- 2 out a1,6b 3 out a1,,CIN,0.0,W,6,4
32,59,2000-06-09,CHW,CHC,7-7,H(12),1,0.2,0,0,0,0,1,0,0,2.82,2,6,5,1,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.50,0.081,2.00,0.06%,0.48,7t --- 0 out a1,7t --- 2 out a1,,CHW,0.0,W,6,5
33,60,2000-06-10,CHW,CHC,8-8,H(13),0,0.2,1,0,0,1,0,0,0,2.74,4,16,8,3,1,3,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,3.30,-0.045,4.26,-0.04%,-0.55,8t 1-- 0 out a2,8t 1-3 2 out a1,,CHW,10.0,W,4,3
34,61,2000-06-11,CHW,CHC,7-7,H(14),0,0.2,1,1,1,0,1,0,0,3.04,3,12,9,3,2,0,2,1,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,2.65,0.047,3.42,0.04%,0.15,7t 12- 0 out a3,7t 12- 2 out a2,,CHW,5.0,L,5,6
35,63,2000-06-13,CHW,CLE,8-9,BS(2),1,1.1,1,0,0,1,1,0,0,2.88,6,29,18,5,3,2,2,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,3.68,0.000,5.85,0.00%,0.29,8b 1-- 0 out a1,9b --- 1 out tie,,CLE,1.8181818181818181,W,4,3
36,65,2000-06-15,CHW,NYY,8-8,,1,1.0,0,0,0,0,0,0,0,2.77,3,14,9,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.08,0.00%,0.59,8b --- 0 out a7,8b 3 out a7,,NYY,0.0,W,12,3
37,67,2000-06-17,CHW,NYY,6-6,,1,0.1,2,1,1,0,1,0,0,3.08,3,10,6,2,2,0,2,2,0,0,,3,3,0,0,0,3,1,0,0,0,0,0,.87,-0.091,.78,-0.05%,-3.17,6b 123 2 out a7,6b 3 out a3,,NYY,20.0,W,10,9
38,69,2000-06-19,CHW,CLE,9-GF,,1,1.0,0,0,0,0,1,0,0,2.96,3,11,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,.10,0.00%,0.61,9t --- 0 out a5,9t end a 5,,CHW,0.0,W,6,1
