,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,3,2018-03-31,,BOS,4-8,,99,4.0,4,1,1,3,3,0,0,2.25,20,73,43,11,3,3,11,5,3,0,,1.0,1.0,1,0,0,17,2,0,0,0,0,1,0.78,-0.055,0.85,-0.04%,-0.25,8.8,18.0,4t -2- 1 out d1,8t 12- 1 out d2,,TBR,1.75,L,2,3
1,2,7,2018-04-05,,BOS,12-GF(12),,4,0.0,1,0,0,1,0,0,0,2.25,2,9,5,1,0,0,1,1,0,0,,2.0,1.0,1,0,0,1,0,0,0,0,0,0,4.89,-0.174,4.32,-0.09%,-1.39,-1.2,0.0,12b 1-3 1 out tie,12b end d 1,,BOS,inf,L,2,3
2,3,9,2018-04-08,,BOS,3-6,,2,4.0,2,1,1,3,3,0,0,2.25,17,73,44,14,5,3,8,2,1,0,,0.0,0.0,0,0,0,14,0,0,0,0,0,0,1.63,0.153,1.18,0.07%,1.13,10.0,18.0,3b --- 0 out a1,6b 3 out a3,,BOS,1.25,L,7,8
3,4,15,2018-04-15,,PHI,GS-5,L(0-1),6,4.2,3,5,2,2,2,0,1,2.84,21,88,58,12,5,5,11,4,2,0,44.0,,,0,0,0,18,2,0,0,0,0,1,1.24,-0.249,0.57,-0.07%,-1.88,6.9,14.0,1t start tie,5t --3 2 out d1,,TBR,1.1904761904761905,L,4,10
4,5,19,2018-04-20,,MIN,8-9,,4,1.1,1,1,1,0,2,1,0,3.21,5,12,10,3,3,0,3,1,2,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,1.18,-0.27699999999999997,0.54,-0.08%,-0.4,4.4,7.0,8t --- 2 out tie,9t 3 out d1,,TBR,0.9090909090909092,W,8,7
5,6,21,2018-04-22,,MIN,5-7,,1,1.1,1,2,2,1,0,0,1,4.11,7,26,17,4,1,0,5,1,2,0,,1.0,0.0,0,0,0,5,1,0,0,0,0,0,1.25,-0.12,0.63,-0.04%,-0.66,-2.8,-2.0,5t 1-- 2 out tie,7t 1-- 0 out a3,,TBR,1.818181818181818,W,8,6
6,7,25,2018-04-28,,BOS,3-6,W(1-1),5,4.0,3,2,2,0,6,1,0,4.19,15,48,36,10,3,4,5,1,1,0,,3.0,0.0,0,0,0,15,1,0,0,0,0,0,1.51,0.19699999999999998,1.29,0.10%,1.97,19.2,36.0,3b 123 0 out a1,6b 3 out a1,,BOS,0.75,W,12,6
7,8,30,2018-05-04,,TOR,3-7,W(2-1),5,5.0,1,0,0,0,4,0,0,3.33,16,58,40,12,4,6,6,3,1,0,,0.0,0.0,0,0,0,16,0,0,0,0,0,0,0.92,0.302,0.65,0.13%,2.48,22.65,39.0,3t --- 0 out d1,7t 3 out a2,,TBR,0.2,W,6,2
8,9,34,2018-05-09,,ATL,GS-5,L(2-2),4,5.0,6,5,5,0,7,1,1,4.3,22,79,52,11,9,7,7,3,2,0,42.0,,,2,0,0,20,0,0,0,0,1,0,0.78,-0.27,0.43,-0.09%,-2.52,11.05,21.0,1t start tie,5t 3 out d5,,TBR,1.2,L,2,5
9,10,39,2018-05-14,,KCR,GS-5,W(3-2),4,5.0,5,1,1,3,4,1,0,3.93,21,83,50,15,4,6,8,5,0,0,54.0,,,0,0,0,18,0,0,0,2,0,0,1.26,0.16899999999999998,0.53,0.04%,1.56,16.45,36.0,1b start a 1,5b 3 out tie,,KCR,1.6,W,2,1
