Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
61,4,2000-04-07,COL,FLA,GS-6,L(0-1),99,5.2,4,3,3,3,5,0,0,4.76,22,86,51,12,11,6,8,3,1,0,51,,,0,2,0,19,2,1,0,0,0,0,1.30,0.123,1.18,0.07%,1.54,1b start a 1,6b -23 2 out tie,,FLA,1.346153846153846,L,3,4
62,9,2000-04-12,COL,CIN,GS-6,,4,6.0,6,3,3,2,3,0,0,4.63,25,90,58,10,8,7,14,7,2,0,49,,,0,0,0,23,0,1,0,1,0,0,1.01,0.137,.89,0.07%,1.20,1t start tie,6t 3 out a1,,COL,1.3333333333333333,W,7,5
63,14,2000-04-17,COL,ARI,GS-7,W(1-1),4,7.0,7,1,1,2,2,0,0,3.38,29,106,69,14,6,9,16,5,1,0,59,,,1,0,0,27,0,0,0,1,0,0,.49,0.186,.59,0.13%,3.08,1b start a 5,7b 3 out a7,,ARI,1.2857142857142858,W,9,1
64,19,2000-04-22,COL,STL,GS-5,,4,5.0,5,6,5,3,2,2,0,4.56,24,72,40,7,7,10,9,3,0,0,34,,,0,0,0,19,1,0,0,0,0,1,.83,-0.328,.80,-0.19%,-3.17,1b start a 1,5b 3 out d1,,STL,1.6,W,7,6
65,24,2000-04-29,COL,NYM,GS-4,L(1-2),6,3.2,9,6,6,1,1,0,0,5.93,19,55,29,7,0,8,9,7,2,0,19,,,0,0,0,16,2,1,0,2,0,1,1.22,-0.170,1.13,-0.09%,-1.74,1t start tie,4t 12- 2 out d2,,COL,3.125,L,6,13
66,29,2000-05-05,COL,SFG,GS-7,L(1-3),5,7.0,2,1,1,0,3,1,0,4.98,23,71,49,11,3,6,14,3,3,0,72,,,0,0,0,22,1,0,0,0,0,0,.71,0.227,.74,0.14%,2.65,1b start tie,7b 3 out d1,,SFG,0.2857142857142857,L,0,5
67,33,2000-05-10,COL,HOU,GS-6,L(1-4),4,5.2,7,5,5,2,7,2,0,5.40,25,97,60,17,10,3,13,5,1,0,40,,,1,0,0,23,1,2,1,1,0,0,.49,-0.185,.40,-0.09%,-1.77,1b start tie,6b -2- 2 out d5,,HOU,1.7307692307692306,L,1,5
68,37,2000-05-16,COL,NYM,GS-7,,5,7.0,9,3,3,1,5,2,0,5.17,28,97,69,18,11,13,9,5,2,0,51,,,0,1,0,26,3,0,0,1,0,0,1.29,0.045,1.22,0.03%,0.77,1b start tie,7b 3 out tie,,NYM,1.4285714285714286,W,4,3
69,41,2000-05-21,COL,PHI,GS-4,L(1-5),4,4.0,4,4,4,2,3,1,0,5.47,17,86,51,9,8,5,7,2,1,0,39,,,0,1,0,15,0,0,0,0,0,0,1.18,-0.162,1.22,-0.10%,-1.76,1b start tie,4b 3 out d4,,PHI,1.5,L,3,4
70,45,2000-05-26,COL,PIT,GS-8,L(1-6),4,8.0,8,2,2,2,2,0,0,5.03,33,102,63,13,8,17,12,7,0,0,58,,,0,0,0,31,3,0,0,1,0,0,1.32,0.262,1.34,0.16%,3.60,1t start tie,8t 3 out d1,,COL,1.25,L,1,2
