,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,105,2013-07-30,HOU,BAL,8-GF(8),,99,0.2,0,0,0,1,0,0,0,0.0,3,8,4,1,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.017,0.0,0.00%,0.26,8b --- 1 out d1,8b end d 1,,BAL,5.0,L,3,4
1,2,107,2013-08-01,HOU,BAL,8-GF(8),,1,1.0,0,0,0,0,0,0,0,0.0,3,14,8,1,2,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.0,0.00%,0.5,8b --- 0 out d3,8b end d 3,,BAL,0.0,L,3,6
2,3,108,2013-08-02,HOU,MIN,11-11,,0,1.0,0,0,0,0,0,0,0,0.0,3,13,8,4,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.8,0.135,0.0,0.00%,0.49,11b --- 0 out tie,11b 3 out tie,,MIN,0.0,L,3,4
3,4,112,2013-08-06,HOU,BOS,7-8,,3,1.2,1,0,0,1,3,0,0,0.0,7,26,16,6,4,3,0,0,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,0.13,-0.005,0.0,0.00%,0.37,7t 12- 1 out d5,8t 3 out d6,,HOU,1.6666666666666667,L,10,15
4,5,113,2013-08-07,HOU,BOS,6-7,,0,1.0,2,2,2,0,1,1,0,3.38,5,22,14,7,1,1,3,3,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.35,-0.021,0.0,0.00%,-0.86,6t 123 2 out tie,7t --- 2 out a1,,HOU,2.0,L,5,7
5,6,114,2013-08-09,HOU,TEX,7-8,BL(0-1),1,0.1,1,2,2,1,0,0,0,6.35,3,11,5,2,1,1,1,1,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,2.57,-0.27699999999999997,0.0,0.00%,-1.16,7t 1-- 2 out a1,8t 1-- 0 out tie,,HOU,20.0,L,5,9
6,7,118,2013-08-13,HOU,OAK,8-8,,3,0.2,3,3,3,0,2,1,0,9.95,5,25,16,4,4,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.42,-0.14800000000000002,0.0,0.00%,-2.62,8b --- 0 out a4,8b --- 2 out a1,,OAK,15.0,W,5,4
7,8,121,2013-08-16,HOU,LAA,7-8,H(1),2,1.1,1,0,0,0,1,0,0,8.22,4,18,12,5,2,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,1.67,0.22899999999999998,0.0,0.00%,1.38,7b 1-3 1 out a2,8b 1-- 2 out a2,,LAA,0.9090909090909092,W,8,2
8,9,122,2013-08-17,HOU,LAA,8-8,,0,1.0,1,0,0,0,0,0,0,7.27,4,13,7,2,0,2,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.49,0.10099999999999999,0.0,0.00%,0.46,8b --- 0 out tie,8b 3 out tie,,LAA,1.0,L,5,6
9,10,125,2013-08-20,HOU,TEX,8-GF(8),,2,0.2,2,1,1,1,1,0,0,7.71,5,12,6,1,1,1,2,1,0,0,,0,0,2,0,0,4,0,0,1,0,0,0,0.92,-0.071,0.0,0.00%,-0.74,8b --- 1 out d1,8b end d 2,,TEX,15.0,L,2,4
