Year,Team,Wins,Losses,W-L-pct,Avg_Attendance
2000.0,LAN,86.0,76.0,0.5308641975308642,35699.94375
2001.0,LAN,86.0,76.0,0.5308641975308642,35078.89506172839
2002.0,LAN,92.0,70.0,0.5679012345679012,34668.95652173913
2003.0,LAN,85.0,77.0,0.5246913580246914,33715.166666666664
2004.0,LAN,93.0,69.0,0.5740740740740741,37452.246913580246
2005.0,LAN,71.0,91.0,0.4382716049382716,38526.876543209866
2006.0,LAN,88.0,74.0,0.5432098765432098,39408.09937888199
2007.0,LAN,82.0,80.0,0.5061728395061729,40433.4012345679
2008.0,LAN,84.0,78.0,0.5185185185185185,40383.06172839506
2009.0,LAN,95.0,67.0,0.5864197530864198,39988.90740740741
2010.0,LAN,80.0,82.0,0.4938271604938271,38922.71428571428
2011.0,LAN,82.0,79.0,0.5093167701863354,34421.50310559006
2012.0,LAN,86.0,76.0,0.5308641975308642,36866.167701863356
2013.0,LAN,92.0,70.0,0.5679012345679012,40782.55555555556
2014.0,LAN,94.0,68.0,0.5802469135802469,40262.93827160494
2015.0,LAN,92.0,70.0,0.5679012345679012,40502.46913580247
2016.0,LAN,91.0,71.0,0.5617283950617284,39339.58641975308
2017.0,LAN,104.0,58.0,0.6419753086419753,40035.66049382716
2018.0,LAN,92.0,71.0,0.5644171779141104,40111.67484662576
2019.0,LAN,106.0,56.0,0.654320987654321,41246.475308641966
2000.0,PIT,69.0,93.0,0.4259259259259259,26443.132075471694
2001.0,PIT,62.0,100.0,0.382716049382716,29197.062893081762
2002.0,PIT,72.0,89.0,0.4472049689440994,24742.66037735849
2003.0,PIT,75.0,87.0,0.46296296296296297,24624.700636942674
2004.0,PIT,72.0,89.0,0.4472049689440994,25813.790849673198
2005.0,PIT,67.0,95.0,0.41358024691358025,28070.8625
2006.0,PIT,67.0,95.0,0.41358024691358025,27586.49068322981
2007.0,PIT,68.0,94.0,0.41975308641975306,28590.28125
2008.0,PIT,67.0,95.0,0.41358024691358025,26949.4099378882
2009.0,PIT,62.0,99.0,0.38509316770186336,24970.92546583851
2010.0,PIT,57.0,105.0,0.35185185185185186,25259.487654320987
2011.0,PIT,72.0,90.0,0.4444444444444444,27580.45
2012.0,PIT,79.0,83.0,0.4876543209876543,28744.397515527948
2013.0,PIT,94.0,68.0,0.5802469135802469,30865.981366459622
2014.0,PIT,88.0,74.0,0.5432098765432098,31715.98125
2015.0,PIT,98.0,64.0,0.6049382716049383,31947.981481481478
2016.0,PIT,78.0,83.0,0.484472049689441,29067.0
2017.0,PIT,75.0,87.0,0.46296296296296297,28164.944444444438
2018.0,PIT,82.0,79.0,0.5093167701863354,25155.056603773584
2019.0,PIT,69.0,93.0,0.4259259259259259,25241.796296296296
2000.0,CHN,65.0,97.0,0.4012345679012346,34714.51875
2001.0,CHN,88.0,74.0,0.5432098765432098,35053.9875
2002.0,CHN,67.0,95.0,0.41358024691358025,33439.38364779873
2003.0,CHN,88.0,74.0,0.5432098765432098,35219.4875
2004.0,CHN,89.0,73.0,0.5493827160493827,38138.30817610063
2005.0,CHN,79.0,83.0,0.4876543209876543,37599.776397515525
2006.0,CHN,66.0,96.0,0.4074074074074074,36412.47204968944
2007.0,CHN,85.0,77.0,0.5246913580246914,38103.55555555556
2008.0,CHN,97.0,64.0,0.6024844720496895,38547.260869565216
2009.0,CHN,83.0,78.0,0.515527950310559,37256.49689440994
2010.0,CHN,75.0,87.0,0.46296296296296297,35043.271604938265
2011.0,CHN,71.0,91.0,0.4382716049382716,35028.09259259259
2012.0,CHN,61.0,101.0,0.3765432098765432,34037.635802469136
2013.0,CHN,66.0,96.0,0.4074074074074074,32392.5
2014.0,CHN,73.0,89.0,0.4506172839506173,32919.253086419754
2015.0,CHN,97.0,65.0,0.5987654320987654,35488.062111801235
2016.0,CHN,103.0,58.0,0.639751552795031,37479.376543209866
2017.0,CHN,92.0,70.0,0.5679012345679012,36980.62345679013
2018.0,CHN,95.0,68.0,0.5828220858895705,35834.29012345678
2019.0,CHN,84.0,78.0,0.5185185185185185,35831.327160493835
2000.0,HOU,72.0,90.0,0.4444444444444444,34178.47826086957
2001.0,HOU,93.0,69.0,0.5740740740740741,32621.763975155278
2002.0,HOU,84.0,78.0,0.5185185185185185,29363.012345679013
2003.0,HOU,87.0,75.0,0.5370370370370371,28943.864197530864
2004.0,HOU,92.0,70.0,0.5679012345679012,34465.236024844715
