Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,CHA,95,67,0.5864197530864198,26695.11111111111,3,1
2001,CHA,83,79,0.5123456790123457,24692.534161490683,1,3
2002,CHA,81,81,0.5,23156.54938271605,1,2
2003,CHA,86,76,0.5308641975308642,25476.12962962963,3,2
2004,CHA,83,79,0.5123456790123457,24876.05625,4,2
2005,CHA,99,63,0.6111111111111112,28548.273291925467,1,1
2006,CHA,90,72,0.5555555555555556,33399.567901234564,1,3
2007,CHA,72,90,0.4444444444444444,31139.654320987655,4,4
2008,CHA,89,74,0.5460122699386503,30565.438271604937,4,1
2009,CHA,79,83,0.4876543209876543,28570.88125,1,3
2010,CHA,88,74,0.5432098765432098,26703.5900621118,1,2
2011,CHA,79,83,0.4876543209876543,26980.74074074074,1,3
2012,CHA,85,77,0.5246913580246914,27127.37037037037,2,2
2013,CHA,63,99,0.3888888888888889,24735.36645962733,1,5
2014,CHA,73,89,0.4506172839506173,24755.4875,1,4
2015,CHA,76,86,0.4691358024691358,25649.383647798742,3,4
2016,CHA,78,84,0.48148148148148145,25028.52795031056,1,4
2017,CHA,67,95,0.41358024691358025,24583.56875,4,4
2018,CHA,62,100,0.38271604938271603,23175.575,1,4
2019,CHA,72,89,0.4472049689440994,22942.53164556962,4,3
