Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,MIA,76,86,0.4691358024691358,20941.625,5,4
2002,MIA,79,83,0.4876543209876543,17807.73125,4,4
2003,MIA,91,71,0.5617283950617284,21012.167701863353,3,2
2004,MIA,83,79,0.5123456790123457,25649.150943396227,1,3
2005,MIA,83,79,0.5123456790123457,27832.888198757762,1,3
2006,MIA,78,84,0.48148148148148145,22806.96894409938,3,4
2007,MIA,71,91,0.4382716049382716,24116.716049382718,1,5
2008,MIA,84,77,0.5217391304347826,25001.075,3,3
2009,MIA,87,75,0.5370370370370371,24687.849056603773,1,2
2010,MIA,80,82,0.49382716049382713,24722.782608695652,4,3
2011,MIA,72,90,0.4444444444444444,24920.5125,1,5
2012,MIA,69,93,0.42592592592592593,29182.44099378882,5,5
2013,MIA,62,100,0.38271604938271603,24805.47204968944,4,5
2014,MIA,77,85,0.47530864197530864,25139.567901234568,1,4
2015,MIA,71,91,0.4382716049382716,25400.44099378882,3,3
2016,MIA,79,82,0.4906832298136646,24979.670807453414,3,3
2017,MIA,77,85,0.47530864197530864,24750.683229813665,4,2
2018,MIA,63,98,0.391304347826087,19347.525,4,5
2019,MIA,57,105,0.35185185185185186,18858.96894409938,3,5
