Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,OAK,102,60,0.6296296296296297,27327.695652173912,3,2
2002,OAK,103,59,0.6358024691358025,28308.54938271605,1,1
2003,OAK,96,66,0.5925925925925926,27129.360248447207,1,1
2004,OAK,91,71,0.5617283950617284,29546.80864197531,1,2
2005,OAK,88,74,0.5432098765432098,27958.35185185185,4,2
2006,OAK,93,69,0.5740740740740741,28271.88198757764,2,1
2007,OAK,76,86,0.4691358024691358,28217.85185185185,3,3
2008,OAK,75,86,0.4658385093167702,25192.325,4,3
2009,OAK,75,87,0.46296296296296297,23258.658385093167,4,4
2010,OAK,81,81,0.5,23614.75925925926,4,2
2011,OAK,74,88,0.4567901234567901,24505.621118012423,4,3
2012,OAK,94,68,0.5802469135802469,25353.59259259259,4,1
2013,OAK,96,66,0.5925925925925926,25822.74074074074,4,1
2014,OAK,88,74,0.5432098765432098,26912.875776397515,3,2
2015,OAK,68,94,0.41975308641975306,25677.9012345679,1,5
2016,OAK,69,93,0.42592592592592593,24147.87037037037,3,5
2017,OAK,75,87,0.46296296296296297,23956.28125,1,5
2018,OAK,97,65,0.5987654320987654,24058.888198757762,1,2
2019,OAK,97,65,0.5987654320987654,24121.617283950618,5,2
